commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Aadorf,8473,0.18,0.28,0.39,0.16,0.51,0.84
Aarau,20177,0.15,0.35,0.32,0.18,0.49,0.8
Aarberg,4273,0.17,0.3,0.34,0.19,0.5,0.9
Aarburg,7232,0.19,0.32,0.35,0.14,0.51,0.58
Aarwangen,4252,0.19,0.25,0.38,0.17,0.5,0.86
Abtwil,957,0.23,0.3,0.4,0.07,0.5,0.88
Aclens,532,0.21,0.32,0.34,0.13,0.52,0.73
Acquarossa,1862,0.17,0.22,0.36,0.25,0.5,0.88
Adelboden,3472,0.19,0.26,0.33,0.21,0.49,0.93
Adligenswil,5399,0.21,0.23,0.39,0.17,0.5,0.9
Adlikon,577,0.18,0.25,0.39,0.17,0.49,0.94
Adliswil,18261,0.17,0.31,0.33,0.18,0.5,0.67
Aedermannsdorf,549,0.21,0.23,0.39,0.17,0.54,0.97
Aefligen,1064,0.17,0.28,0.39,0.16,0.5,0.93
Aegerten,1816,0.17,0.24,0.38,0.22,0.51,0.85
Aesch (BL),10209,0.17,0.25,0.38,0.2,0.49,0.77
Aesch (LU),1012,0.18,0.27,0.39,0.16,0.5,0.9
Aesch (ZH),1184,0.19,0.24,0.35,0.22,0.51,0.85
Aeschi (SO),1210,0.14,0.3,0.4,0.16,0.51,0.95
Aeschi bei Spiez,2166,0.19,0.26,0.36,0.18,0.5,0.96
Aeugst am Albis,1972,0.2,0.22,0.43,0.15,0.5,0.86
Affeltrangen,2415,0.21,0.28,0.37,0.13,0.52,0.85
Affoltern am Albis,11362,0.18,0.3,0.36,0.16,0.5,0.74
Affoltern im Emmental,1152,0.17,0.24,0.38,0.21,0.5,0.97
Agarn,803,0.19,0.27,0.38,0.16,0.51,0.91
Agiez,292,0.22,0.32,0.32,0.14,0.48,0.84
Agno,4303,0.17,0.27,0.36,0.2,0.47,0.68
Aigle,9889,0.2,0.31,0.33,0.16,0.49,0.61
Aire-la-Ville,1118,0.24,0.26,0.39,0.11,0.5,0.81
Airolo,1556,0.15,0.26,0.36,0.24,0.51,0.76
Alberswil,603,0.21,0.32,0.35,0.12,0.5,0.88
Albinen,257,0.11,0.23,0.37,0.3,0.47,0.88
Albula/Alvra,1347,0.15,0.26,0.38,0.22,0.5,0.88
Alchenstorf,574,0.19,0.24,0.37,0.2,0.5,0.96
Allaman,403,0.18,0.25,0.38,0.19,0.53,0.73
Alle,1718,0.23,0.23,0.35,0.2,0.49,0.89
Allmendingen,542,0.17,0.22,0.38,0.23,0.51,0.93
Allschwil,20243,0.16,0.27,0.35,0.22,0.48,0.76
Alpnach,5811,0.18,0.31,0.37,0.14,0.52,0.85
Alpthal,596,0.2,0.22,0.41,0.17,0.53,0.92
Altbüron,979,0.2,0.28,0.37,0.15,0.52,0.92
Altdorf (UR),8998,0.17,0.29,0.34,0.2,0.49,0.86
Altendorf,6584,0.18,0.28,0.4,0.14,0.52,0.79
Alterswil,2000,0.18,0.28,0.37,0.17,0.5,0.95
Altikon,638,0.19,0.21,0.43,0.17,0.51,0.93
Altishofen,1569,0.23,0.35,0.31,0.12,0.52,0.83
Altnau,2158,0.21,0.26,0.39,0.15,0.5,0.81
Alto Malcantone,1373,0.18,0.22,0.39,0.21,0.49,0.92
Altstätten,11164,0.19,0.29,0.35,0.18,0.5,0.75
Altwis,406,0.26,0.25,0.38,0.11,0.51,0.91
Amden,1749,0.16,0.23,0.37,0.24,0.49,0.91
Amlikon-Bissegg,1313,0.19,0.27,0.4,0.15,0.52,0.91
Ammerswil,685,0.22,0.24,0.41,0.13,0.53,0.85
Amriswil,12760,0.19,0.31,0.34,0.16,0.5,0.7
Amsoldingen,785,0.19,0.23,0.38,0.2,0.49,0.97
Andeer,902,0.18,0.23,0.34,0.26,0.47,0.87
Andelfingen,2100,0.21,0.27,0.33,0.19,0.49,0.87
Andermatt,1393,0.14,0.27,0.38,0.21,0.53,0.8
Andiast,208,0.14,0.25,0.37,0.24,0.51,0.91
Andwil (SG),1924,0.25,0.25,0.37,0.14,0.49,0.93
Anières,2349,0.23,0.26,0.36,0.15,0.5,0.68
Anniviers,2644,0.17,0.25,0.37,0.2,0.51,0.8
Anwil,587,0.23,0.22,0.42,0.13,0.48,0.93
Appenzell,5729,0.17,0.3,0.34,0.19,0.51,0.81
Apples,1306,0.22,0.24,0.36,0.19,0.48,0.84
Aranno,325,0.21,0.2,0.42,0.18,0.47,0.85
Arbaz,1144,0.16,0.24,0.35,0.24,0.51,0.84
Arbedo-Castione,4574,0.17,0.28,0.37,0.18,0.5,0.7
Arboldswil,539,0.19,0.21,0.4,0.2,0.5,0.95
Arbon,14151,0.17,0.28,0.35,0.19,0.5,0.69
Arch,1518,0.19,0.23,0.4,0.18,0.49,0.92
Arconciel,782,0.23,0.27,0.39,0.12,0.5,0.89
Ardon,2964,0.22,0.29,0.35,0.14,0.51,0.64
Arisdorf,1614,0.2,0.22,0.4,0.19,0.49,0.91
Aristau,1384,0.18,0.27,0.43,0.11,0.52,0.86
Arlesheim,9113,0.18,0.21,0.37,0.24,0.46,0.81
Arnex-sur-Nyon,199,0.26,0.26,0.4,0.09,0.53,0.77
Arnex-sur-Orbe,597,0.19,0.3,0.35,0.16,0.51,0.89
Arni (AG),1868,0.2,0.24,0.43,0.12,0.51,0.86
Arni (BE),935,0.18,0.29,0.36,0.17,0.52,0.97
Arogno,960,0.18,0.2,0.4,0.21,0.49,0.87
Arosa,3301,0.13,0.27,0.38,0.21,0.52,0.78
Arth,11061,0.19,0.3,0.36,0.16,0.51,0.75
Arzier-Le Muids,2442,0.23,0.21,0.43,0.13,0.49,0.7
Ascona,5421,0.14,0.2,0.37,0.3,0.47,0.71
Assens,1035,0.22,0.26,0.36,0.15,0.49,0.89
Astano,297,0.15,0.19,0.42,0.24,0.47,0.85
Attalens,3172,0.25,0.26,0.38,0.11,0.5,0.85
Attelwil,283,0.19,0.27,0.41,0.14,0.49,0.98
Attinghausen,1592,0.23,0.27,0.34,0.15,0.51,0.94
Attiswil,1374,0.17,0.22,0.38,0.23,0.5,0.91
Au (SG),7227,0.18,0.3,0.35,0.17,0.5,0.64
Aubonne,3068,0.21,0.27,0.36,0.16,0.49,0.69
Auboranges,273,0.24,0.23,0.4,0.13,0.5,0.89
Auenstein,1568,0.16,0.24,0.42,0.18,0.5,0.92
Augst,858,0.1,0.24,0.41,0.24,0.51,0.84
Ausserberg,642,0.18,0.22,0.37,0.23,0.5,0.94
Auswil,460,0.18,0.3,0.35,0.18,0.52,0.98
Autafond,71,0.24,0.24,0.35,0.17,0.54,1.0
Autigny,768,0.22,0.31,0.35,0.12,0.5,0.89
Auw,1869,0.25,0.28,0.36,0.11,0.51,0.85
Avegno Gordevio,1466,0.2,0.25,0.36,0.19,0.5,0.91
Avenches,3816,0.2,0.31,0.35,0.15,0.5,0.65
Avers,172,0.19,0.17,0.41,0.23,0.46,0.93
Avry,1846,0.22,0.29,0.38,0.11,0.5,0.83
Avully,1770,0.21,0.29,0.36,0.13,0.5,0.8
Avusy,1426,0.23,0.23,0.39,0.15,0.5,0.87
Ayent,3789,0.16,0.24,0.36,0.23,0.5,0.87
Baar,22572,0.18,0.29,0.36,0.16,0.5,0.72
Bachenbülach,4046,0.19,0.27,0.36,0.17,0.5,0.76
Bachs,610,0.17,0.26,0.41,0.16,0.51,0.91
Bad Ragaz,5681,0.15,0.29,0.35,0.2,0.5,0.72
Bad Zurzach,4172,0.15,0.25,0.38,0.22,0.5,0.63
Baden,18548,0.16,0.35,0.33,0.15,0.51,0.74
Bagnes,7918,0.17,0.28,0.35,0.2,0.51,0.69
Baldingen,274,0.16,0.26,0.48,0.1,0.5,0.92
Balerna,3357,0.15,0.25,0.35,0.24,0.49,0.77
Balgach,4536,0.18,0.3,0.35,0.16,0.5,0.76
Ballaigues,987,0.21,0.24,0.33,0.22,0.49,0.85
Ballens,484,0.2,0.26,0.35,0.18,0.5,0.86
Ballwil,2611,0.23,0.28,0.36,0.13,0.5,0.94
Balm bei Günsberg,190,0.16,0.19,0.51,0.14,0.56,0.94
Balsthal,5835,0.19,0.28,0.36,0.17,0.51,0.69
Baltschieder,1268,0.22,0.28,0.39,0.1,0.5,0.93
Bangerten,153,0.18,0.21,0.45,0.16,0.48,0.97
Bannwil,689,0.18,0.22,0.41,0.19,0.51,0.91
Barberêche,530,0.17,0.25,0.38,0.2,0.53,0.84
Bardonnex,2219,0.19,0.26,0.38,0.17,0.49,0.77
Bargen (BE),1001,0.17,0.27,0.4,0.16,0.49,0.91
Bargen (SH),290,0.15,0.23,0.44,0.17,0.57,0.77
Bas-Intyamon,1225,0.22,0.28,0.34,0.16,0.5,0.82
Bas-Vully,2032,0.19,0.23,0.4,0.17,0.51,0.8
Basadingen-Schlattingen,1770,0.2,0.23,0.42,0.16,0.5,0.86
Basel,167312,0.15,0.32,0.34,0.2,0.48,0.64
Basse-Allaine,1271,0.2,0.24,0.33,0.22,0.49,0.93
Bassersdorf,11350,0.19,0.31,0.36,0.14,0.5,0.77
Bassins,1303,0.27,0.23,0.39,0.11,0.51,0.75
Bauen,172,0.12,0.33,0.38,0.18,0.51,0.93
Baulmes,1015,0.19,0.27,0.37,0.17,0.5,0.83
Bauma,4658,0.19,0.27,0.39,0.16,0.5,0.85
Bavois,878,0.2,0.34,0.36,0.1,0.51,0.82
Beatenberg,1149,0.14,0.21,0.38,0.28,0.5,0.84
Beckenried,3387,0.18,0.26,0.39,0.17,0.51,0.89
Bedano,1529,0.2,0.26,0.37,0.17,0.5,0.82
Bedigliora,639,0.18,0.23,0.4,0.19,0.51,0.89
Bedretto,90,0.04,0.19,0.53,0.23,0.53,0.82
Beggingen,505,0.2,0.22,0.39,0.19,0.5,0.93
Begnins,1656,0.21,0.24,0.39,0.16,0.47,0.73
Beinwil (Freiamt),1069,0.24,0.28,0.35,0.13,0.49,0.92
Beinwil (SO),271,0.2,0.23,0.37,0.21,0.53,0.98
Beinwil am See,2964,0.18,0.24,0.39,0.19,0.5,0.9
Belfaux,2992,0.23,0.34,0.32,0.12,0.5,0.73
Bellach,5161,0.16,0.27,0.36,0.21,0.5,0.73
Bellevue,3247,0.25,0.32,0.32,0.12,0.49,0.6
Bellikon,1563,0.18,0.19,0.46,0.17,0.49,0.91
Bellinzona,17954,0.16,0.28,0.35,0.2,0.47,0.7
Bellmund,1582,0.21,0.23,0.4,0.16,0.5,0.94
Bellwald,435,0.14,0.23,0.4,0.23,0.54,0.84
Belmont-sur-Lausanne,3545,0.23,0.26,0.38,0.13,0.51,0.73
Belmont-sur-Yverdon,358,0.22,0.32,0.34,0.11,0.53,0.88
Belp,11346,0.18,0.28,0.36,0.19,0.49,0.88
Belprahon,314,0.19,0.18,0.37,0.26,0.51,0.96
Benken (SG),2803,0.23,0.27,0.37,0.12,0.5,0.89
Benken (ZH),827,0.17,0.26,0.44,0.13,0.51,0.89
Bennwil,643,0.23,0.24,0.36,0.17,0.52,0.94
Bercher,1148,0.23,0.24,0.39,0.14,0.5,0.83
Berg (SG),838,0.21,0.22,0.39,0.18,0.49,0.93
Berg (TG),3256,0.22,0.26,0.38,0.15,0.51,0.87
Berg am Irchel,578,0.13,0.24,0.42,0.2,0.51,0.91
Bergdietikon,2524,0.16,0.25,0.38,0.2,0.49,0.84
Bergün/Bravuogn,455,0.16,0.28,0.34,0.22,0.52,0.87
Berikon,4489,0.19,0.26,0.39,0.16,0.5,0.84
Beringen,4118,0.18,0.26,0.37,0.2,0.5,0.81
Berken,43,0.07,0.19,0.47,0.28,0.47,1.0
Berlingen,866,0.12,0.18,0.44,0.26,0.5,0.76
Bern,128807,0.14,0.36,0.33,0.18,0.48,0.76
Berneck,3797,0.19,0.28,0.36,0.17,0.5,0.82
Bernex,9758,0.2,0.27,0.35,0.18,0.49,0.78
Berolle,298,0.26,0.24,0.41,0.09,0.51,0.9
Beromünster,6111,0.23,0.29,0.33,0.15,0.5,0.89
Besenbüren,576,0.24,0.24,0.41,0.11,0.5,0.95
Bettenhausen,679,0.15,0.23,0.42,0.2,0.49,0.96
Bettens,434,0.26,0.31,0.36,0.07,0.51,0.87
Bettingen,1150,0.16,0.23,0.37,0.24,0.48,0.75
Bettlach,4835,0.16,0.26,0.38,0.2,0.5,0.84
Bettmeralp,439,0.13,0.28,0.41,0.17,0.51,0.89
