id,commune,FA18,FA40,FA65,FA100,FS18,FS40,FS65,FS100,MA18,MA40,MA65,MA100,MS18,MS40,MS65,MS100
1,Aeugst am Albis,24,45,56,5,149,169,376,161,26,41,57,6,178,165,361,140
2,Affoltern am Albis,268,571,460,136,739,1126,1553,962,298,643,586,127,749,1119,1491,723
3,Bonstetten,73,149,109,20,501,560,895,369,70,162,136,27,520,522,844,330
4,Hausen am Albis,50,69,86,16,309,345,628,295,54,74,105,19,292,301,571,252
5,Hedingen,68,95,88,10,309,365,632,254,41,93,125,20,318,390,613,229
6,Kappel am Albis,13,24,26,2,102,93,170,70,19,17,33,3,93,106,173,70
7,Knonau,28,69,52,3,169,183,350,152,28,69,76,6,194,200,310,148
8,Maschwanden,8,18,14,1,52,77,95,56,16,14,21,1,66,69,111,46
9,Mettmenstetten,55,103,111,20,362,458,779,331,67,119,135,20,395,468,718,331
10,Obfelden,97,157,152,35,389,477,773,373,92,173,199,28,445,473,728,336
11,Ottenbach,26,47,49,12,192,270,490,195,25,41,61,14,231,234,453,207
12,Rifferswil,7,9,21,1,119,102,176,87,7,14,16,2,105,104,175,54
13,Stallikon,68,110,107,10,248,279,563,248,55,98,149,20,238,284,557,263
14,Wettswil am Albis,72,128,118,21,400,395,749,503,64,104,127,36,410,423,759,406
21,Adlikon,6,13,9,0,61,67,106,47,3,8,9,0,46,70,112,51
22,Benken (ZH),7,17,17,3,60,81,163,62,12,18,20,1,75,85,162,49
23,Berg am Irchel,4,10,6,2,34,59,113,56,0,10,14,5,39,62,104,61
24,Buch am Irchel,5,18,10,1,106,99,174,58,7,13,17,2,92,107,162,56
25,Dachsen,18,46,47,14,180,183,330,171,33,58,69,17,190,186,325,141
26,Dorf,4,15,6,2,57,71,124,44,1,12,11,1,67,59,124,48
27,Feuerthalen,79,150,127,33,255,335,460,297,68,172,164,31,229,355,512,231
28,Flaach,16,29,27,1,112,143,234,114,19,46,47,3,116,135,227,94
29,Flurlingen,20,41,39,5,108,122,242,127,22,45,41,12,119,137,249,97
30,Andelfingen,24,50,45,9,206,251,291,218,20,54,60,11,204,242,301,167
31,Henggart,23,33,26,8,237,262,394,193,19,51,49,10,236,194,364,176
32,Humlikon,2,5,6,2,46,51,90,47,1,1,9,2,59,51,79,47
33,Kleinandelfingen,23,37,49,3,179,220,356,168,17,50,71,5,184,207,348,145
34,Laufen-Uhwiesen,13,29,44,2,143,129,275,175,17,34,43,11,143,125,291,157
35,Marthalen,22,42,32,2,156,248,320,171,17,44,50,6,168,242,324,146
36,Oberstammheim,7,20,14,2,105,104,210,115,12,16,15,3,104,134,205,87
37,Ossingen,9,24,24,2,133,126,244,123,9,21,24,4,149,134,254,111
38,Rheinau,14,35,61,8,87,93,232,129,23,46,73,9,97,108,210,90
39,Thalheim an der Thur,3,18,17,2,81,77,167,75,9,17,24,2,104,81,178,60
40,Trüllikon,6,14,16,2,69,97,183,102,8,18,23,4,92,108,162,107
41,Truttikon,1,4,3,1,58,36,96,40,3,3,7,1,44,46,81,39
42,Unterstammheim,11,18,17,3,87,81,146,84,10,19,19,2,81,103,149,64
43,Volken,3,8,7,0,37,31,59,20,2,4,11,0,36,44,56,21
44,Waltalingen,4,6,9,3,55,71,136,57,3,13,9,2,62,74,130,41
51,Bachenbülach,92,175,148,53,292,361,586,333,101,167,201,61,310,381,524,293
52,Bassersdorf,213,537,398,87,851,1192,1620,784,255,550,531,112,914,1116,1584,660
53,Bülach,438,954,707,194,1206,2148,2425,1513,455,1003,866,217,1286,2139,2204,1136
54,Dietlikon,168,354,254,78,489,741,1051,703,173,361,325,98,552,704,978,547
55,Eglisau,105,209,182,23,405,468,692,355,118,218,220,30,413,475,708,345
56,Embrach,202,448,358,75,679,856,1263,632,254,446,473,96,655,914,1233,529
57,Freienstein-Teufen,21,51,45,11,191,217,416,178,26,61,79,15,194,219,412,174
58,Glattfelden,90,207,160,28,382,474,740,321,101,278,224,33,368,442,734,256
59,Hochfelden,26,42,58,11,198,203,348,136,33,56,67,10,184,201,320,131
60,Höri,78,131,132,37,174,243,327,170,86,147,188,46,159,261,354,130
61,Hüntwangen,8,23,25,4,81,84,183,88,6,16,21,4,108,102,191,71
62,Kloten,470,1126,811,205,1032,1687,2161,1513,478,1306,1152,207,1089,1783,2221,1130
63,Lufingen,26,55,59,10,164,168,325,103,33,59,85,9,201,174,357,87
64,Nürensdorf,86,154,122,38,365,517,917,506,75,150,167,50,393,494,886,465
65,Oberembrach,12,24,14,4,86,122,195,84,17,31,27,1,77,126,196,76
66,Opfikon,693,1638,982,216,808,1523,1398,990,726,1796,1358,231,857,1628,1557,772
67,Rafz,67,175,141,17,334,394,641,336,71,166,163,21,373,396,649,298
68,Rorbas,71,152,106,17,208,284,369,142,76,150,134,22,220,237,409,107
69,Wallisellen,412,996,654,126,903,1525,1798,1250,406,1057,872,147,931,1579,1791,923
70,Wasterkingen,11,9,13,0,45,46,124,42,7,9,19,0,44,47,111,41
71,Wil (ZH),7,28,28,0,102,131,248,125,10,26,35,7,127,129,247,107
72,Winkel,44,105,92,27,311,377,747,348,39,107,131,39,302,421,754,328
81,Bachs,0,11,13,1,45,61,115,46,6,7,13,5,54,58,109,54
82,Boppelsen,8,40,25,3,115,105,235,107,15,29,25,5,145,83,234,110
83,Buchs (ZH),130,282,237,41,455,663,908,321,131,341,281,38,485,675,903,281
84,Dällikon,112,206,154,24,239,355,530,276,124,248,207,42,259,362,518,248
85,Dänikon,61,114,79,10,149,172,293,96,65,114,93,8,119,195,280,99
86,Dielsdorf,177,339,276,44,367,586,759,425,153,378,298,59,351,612,728,364
87,Hüttikon,5,14,21,3,57,67,134,55,10,17,26,5,51,69,119,50
88,Neerach,20,64,70,11,193,284,597,244,22,68,104,16,193,278,587,257
89,Niederglatt,130,235,184,43,321,454,676,324,136,241,231,43,306,462,672,263
90,Niederhasli,233,439,348,68,627,961,1243,608,263,463,403,78,704,887,1211,508
91,Niederweningen,44,103,70,11,267,263,509,175,54,83,100,10,274,269,498,147
92,Oberglatt,237,514,319,60,432,699,720,293,263,511,409,65,457,666,739,255
93,Oberweningen,26,76,64,9,136,170,306,113,42,78,81,12,145,166,284,117
94,Otelfingen,56,119,91,16,228,275,395,209,61,99,109,26,251,264,425,176
95,Regensberg,2,12,20,1,37,43,76,45,8,13,29,4,53,33,75,38
96,Regensdorf,598,1115,860,214,1010,1551,1999,1301,616,1153,1143,244,1107,1541,2008,1017
97,Rümlang,196,469,316,75,443,767,917,578,214,510,441,70,488,776,881,411
98,Schleinikon,4,10,10,3,58,83,134,47,6,17,12,2,64,92,150,38
99,Schöfflisdorf,21,49,36,6,106,112,234,141,21,34,51,8,96,126,238,110
100,Stadel,22,51,41,2,190,225,386,182,25,58,63,4,174,218,378,140
101,Steinmaur,76,174,94,15,188,324,500,291,71,215,149,21,228,325,457,265
102,Weiach,13,42,32,4,69,123,198,83,31,44,54,4,77,102,206,75
