,canton,population,id,abbr
0,Zurich,1073065,0,ZH
1,Berne,857915,1,BE
2,Lucerne,325336,2,LU
3,Uri,31864,3,UR
4,Schwytz,122299,4,SZ
5,Obwald,31609,5,OW
6,Nidwald,36363,6,NW
7,Glaris,30798,7,GL
8,Zoug,88446,8,ZG
9,Fribourg,238449,9,FR
10,Soleure,208749,10,SO
11,Bâle-Ville,124274,11,BS
12,Bâle-Campagne,221378,12,BL
13,Schaffhouse,59542,13,SH
14,Appenzell Rh.-Ext.,45763,14,AR
15,Appenzell Rh.-Int.,14169,15,AI
16,Saint-Gall,380500,16,SG
17,Grisons,160497,17,GR
18,Argovie,491344,18,AG
19,Thurgovie,200849,19,TG
20,Tessin,253633,20,TI
21,Vaud,509124,21,VD
22,Valais,256485,22,VS
23,Neuchâtel,132575,23,NE
24,Genève,281897,24,GE
25,Jura,62284,25,JU
