id,commune,FA18,FA40,FA65,FA100,FS18,FS40,FS65,FS100,MA18,MA40,MA65,MA100,MS18,MS40,MS65,MS100
1,Aeugst am Albis,22,38,52,6,151,180,380,165,25,47,56,7,177,183,350,142
2,Affoltern am Albis,271,587,485,138,732,1126,1545,1005,304,659,591,132,744,1169,1468,751
3,Bonstetten,81,144,112,21,502,576,888,388,71,150,141,27,526,519,828,352
4,Hausen am Albis,49,78,80,18,301,330,639,295,52,75,103,18,297,302,576,264
5,Hedingen,63,95,84,9,326,343,636,260,49,98,122,24,316,383,603,248
6,Kappel am Albis,17,26,28,2,106,95,175,72,19,21,32,3,92,99,177,69
7,Knonau,29,69,62,3,173,187,353,158,29,61,82,7,208,209,315,152
8,Maschwanden,6,17,12,0,49,78,93,53,11,15,18,0,65,68,108,48
9,Mettmenstetten,54,98,117,25,382,497,781,359,67,136,139,27,402,493,738,354
10,Obfelden,106,172,151,38,399,472,775,395,108,169,204,35,437,460,737,351
11,Ottenbach,27,49,57,12,191,271,486,208,24,47,55,13,224,230,446,228
12,Rifferswil,9,14,23,1,133,100,192,87,10,11,21,2,119,95,176,64
13,Stallikon,71,127,118,10,257,283,580,263,63,106,151,20,253,299,576,278
14,Wettswil am Albis,83,147,117,23,429,427,754,524,72,108,137,38,426,453,770,412
21,Adlikon,7,15,10,0,66,72,115,55,5,14,8,1,51,72,120,51
22,Benken (ZH),6,19,19,4,61,83,164,67,15,17,26,1,78,85,166,49
23,Berg am Irchel,4,8,12,2,34,52,110,60,2,6,17,6,32,61,104,63
24,Buch am Irchel,6,18,12,1,112,112,176,57,5,15,19,2,95,114,161,61
25,Dachsen,22,38,45,15,171,180,341,172,30,57,68,17,187,176,326,143
26,Dorf,3,10,6,2,49,71,125,46,0,9,11,2,66,60,115,49
27,Feuerthalen,84,143,141,35,262,357,463,302,77,169,166,33,239,353,510,232
28,Flaach,18,31,29,1,111,134,226,119,21,50,52,2,109,130,231,95
29,Flurlingen,21,38,40,6,106,123,248,127,27,39,40,11,118,149,241,104
30,Andelfingen,23,47,46,9,211,252,302,215,22,56,60,14,204,234,309,166
31,Henggart,23,35,28,10,223,257,402,198,16,38,45,11,226,199,353,185
32,Humlikon,2,8,5,2,44,52,91,50,1,4,9,2,60,46,76,52
33,Kleinandelfingen,28,42,52,4,175,227,345,173,22,55,72,5,193,193,351,144
34,Laufen-Uhwiesen,8,32,50,3,137,133,280,174,16,30,43,11,140,122,291,163
35,Marthalen,21,38,36,2,151,242,314,180,17,45,48,6,160,233,311,152
36,Oberstammheim,8,21,15,2,110,103,209,120,11,17,19,3,111,130,202,93
37,Ossingen,14,30,20,1,123,135,256,121,12,20,28,5,150,135,260,116
38,Rheinau,14,38,62,9,85,103,229,127,18,45,75,9,97,108,208,94
39,Thalheim an der Thur,2,16,13,2,78,87,166,73,4,13,20,1,100,88,175,66
40,Trüllikon,5,14,15,1,67,93,182,105,4,21,25,2,94,114,159,114
41,Truttikon,1,5,5,1,57,42,96,39,4,3,8,0,43,49,83,37
42,Unterstammheim,12,18,16,2,88,89,148,89,13,23,21,2,79,111,145,70
43,Volken,3,6,8,0,36,31,59,21,2,2,13,0,40,40,54,24
44,Waltalingen,4,11,10,3,53,64,139,58,2,12,9,2,63,75,132,41
51,Bachenbülach,91,170,149,58,286,363,555,351,95,153,201,59,313,365,527,297
52,Bassersdorf,217,541,422,94,851,1211,1626,803,263,574,541,124,899,1114,1606,694
53,Bülach,470,973,738,213,1247,2169,2434,1573,492,1038,893,229,1318,2179,2243,1182
54,Dietlikon,169,354,274,83,497,735,1027,731,173,348,334,103,559,715,967,555
55,Eglisau,110,222,191,26,400,459,705,368,116,222,239,33,397,470,714,353
56,Embrach,207,441,366,83,678,815,1251,661,261,462,488,96,639,905,1224,559
57,Freienstein-Teufen,26,50,48,11,181,215,422,178,22,65,87,17,188,205,411,179
58,Glattfelden,92,216,179,28,381,497,736,338,114,276,247,34,368,444,723,282
59,Hochfelden,22,42,57,11,192,197,353,137,28,50,67,11,190,195,309,133
60,Höri,80,134,134,37,172,223,326,168,86,140,198,48,157,257,344,141
61,Hüntwangen,8,21,21,4,81,74,190,90,6,18,26,4,104,97,193,77
62,Kloten,464,1168,861,212,1046,1683,2140,1511,483,1300,1179,212,1102,1728,2218,1144
63,Lufingen,33,66,71,11,171,202,339,105,36,61,92,13,209,193,374,96
64,Nürensdorf,85,160,124,37,363,523,915,519,82,150,176,47,409,500,901,477
65,Oberembrach,13,28,13,5,75,112,198,90,18,24,29,1,70,126,192,85
66,Opfikon,745,1832,1043,222,854,1760,1455,1007,788,2045,1462,239,890,1877,1611,787
67,Rafz,78,185,144,21,337,396,657,343,78,174,177,20,364,405,653,311
68,Rorbas,70,143,110,16,214,292,377,141,77,149,133,24,231,241,407,117
69,Wallisellen,431,1002,687,132,938,1569,1775,1269,438,1055,928,151,955,1575,1813,939
70,Wasterkingen,9,10,10,1,45,48,120,46,6,5,20,0,43,51,112,47
71,Wil (ZH),9,29,32,0,101,130,245,132,9,32,34,7,130,133,240,118
72,Winkel,48,106,98,28,324,398,748,358,39,122,138,42,297,397,765,338
81,Bachs,0,12,11,2,40,60,111,49,5,9,14,4,53,52,107,56
82,Boppelsen,10,31,27,3,115,119,236,114,14,38,28,6,146,92,235,109
83,Buchs (ZH),131,285,256,43,454,686,899,343,134,363,291,45,501,663,897,303
84,Dällikon,111,205,163,26,236,353,533,287,134,254,211,42,247,377,516,257
85,Dänikon,49,99,82,8,136,169,287,101,57,111,90,10,123,187,276,105
86,Dielsdorf,175,346,270,56,376,565,755,437,153,364,306,62,368,587,718,381
87,Hüttikon,13,24,23,3,91,90,142,57,10,23,39,4,84,92,136,50
88,Neerach,21,71,72,11,179,285,582,266,25,64,112,18,196,293,586,266
89,Niederglatt,135,225,204,45,334,445,671,325,127,253,239,45,318,449,685,267
90,Niederhasli,219,440,368,66,636,957,1246,628,263,437,421,80,698,901,1205,535
91,Niederweningen,43,96,73,11,244,270,498,179,52,68,112,9,270,274,495,159
92,Oberglatt,225,529,338,62,452,713,723,319,282,542,415,73,472,664,745,264
93,Oberweningen,27,65,68,7,134,158,306,119,38,72,82,11,143,170,287,113
94,Otelfingen,54,115,91,17,240,260,402,210,62,101,107,23,244,250,428,180
95,Regensberg,3,11,19,1,34,37,76,47,8,12,30,4,44,28,75,39
96,Regensdorf,593,1172,913,231,1042,1634,2003,1331,637,1214,1190,253,1115,1646,2017,1044
