,Code commune,Population: Habitants (2014),Population: Variation en % (2010-2014),Population: Densité de la population par km² (2014),Population: Etrangers en % (2014),Répartition par âge en %: 0-19 ans (2014),Répartition par âge en %: 20-64 ans (2014),Répartition par âge en %: 65 ans ou plus (2014),Mouvement de la population (en ‰): Taux brut de nuptialité (2014),Mouvement de la population (en ‰): Taux brut de divortialité (2014),Mouvement de la population (en ‰): Taux brut de natalité (2014),Mouvement de la population (en ‰): Taux brut de mortalité (2014),Ménage: Ménages privés (2014),Ménage: Taille moyenne des ménages en personnes (2014),Surface: Surface totale en km² (2004/09),Surface: Surfaces d'habitat et d'infrastructure en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface agricole en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface boisée en % (2004/09),Surface: Surface improductive en % (2004/09),Economie 1): Emplois total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Economie 1): Etablissements total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Constructions et logements: Taux de logements vacants (2015),Constructions et logements: Nouveaux logements construits pour 1000 habitants (2013),Protection sociale: Taux d'aide sociale (2014),Partis politiques en % (élections au Conseil national): PLR 2) (2015),Partis politiques en % (élections au Conseil national): PDC (2015),Partis politiques en % (élections au Conseil national): PS (2015),Partis politiques en % (élections au Conseil national): UDC (2015),Partis politiques en % (élections au Conseil national): PEV/PCS (2015),Partis politiques en % (élections au Conseil national): PVL (2015),Partis politiques en % (élections au Conseil national): PBD (2015),Partis politiques en % (élections au Conseil national): PST/Sol. (2015),Partis politiques en % (élections au Conseil national): PES (2015),Partis politiques en % (élections au Conseil national): Petits partis de droite (2015),Partis politiques en % (élections au Conseil national): Autres (2015),Infractions en ‰ de la population totale: selon le Code pénal (CP) (2014),Infractions en ‰ de la population totale: selon la Loi sur les stupéfiants et les produits psychotropes (LStup) (2014),Infractions en ‰ de la population totale: selon la Loi sur les étrangers (LEtr) (2014)
Suisse,,8237666,4.6699586055,205.9788806827,24.260014912,20.1968858655,62.0120917745,17.79102236,5.1157404058,2.043927029,10.4152718242,7.8081260906,3584789,2.25022170063566,41285,7.4569167305,58422,35.8838218772,-85071,31.3158824608,25.3433789315,4962608,164360,1093804,3704444,654806,56720,95380,502706,1.1929795768,6.1631786502,3.21861,16.3967242019,11.6459372458,18.8409523593,29.3859546718,2.1036022148,4.625862433,4.1037505305,0.8555973601,7.0570598846,2.6342632417,2.3502975631,64.6302025239,9.949591081,4.8582054887
Aeugst am Albis,1,1959,7.4013157895,247.6611883692,13.2720775906,21.4905564063,62.5829504849,15.9264931087,4.5789875349999996,1.5263291783000001,9.6667514627,7.6316458916,796,2.4434673367,7.87,12.5794155019,21,51.334180432,-22,30.876747141,5.209656925,428,37,15,376,142,15,12,115,2.0547945204999998,0,0.5578093306,18.691659999,2.0764277822,18.645940488,30.929249057,3.4670629024,8.4352497428,2.6174419934,0.1676382063,7.0750942965,4.8881776965,3.006058,35.4969574037,3.5496957404,0
Affoltern am Albis,2,11552,4.1565233072,1090.8404154863,26.7399584488,20.1783240997,62.9501385042,16.8715373961,5.1494654157,2.6183722453,10.8226052804,6.1095352389,4862,2.3274372685999998,10.6,30.7547169811,94,40.0943396226,-93,28.2075471698,0.9433962264,6160,54,1237,4869,910,25,127,758,0.8216176739000001,14.5208131655,2.8865616474999998,14.226623564,4.5853867581,19.080314139,33.785785487,5.4648270465,7.3578595318,4.1642988234,0.1900485369,6.211047037,1.7681966816,3.165612,63.9795828566,10.1205667517,4.5762562704
Bonstetten,3,5287,2.4811009886,711.5746971736,14.1100813316,24.5129563079,61.3769623605,14.1100813316,5.4991940836,2.2755285863,14.2220536645,3.9821750261,2203,2.3931003177,7.45,15.5704697987,24,55.4362416107,-21,28.5906040268,0.4026845638,924,42,133,749,270,14,29,227,0.6372132540000001,3.6121673004,0.6463878327,16.472635622,3.3785405665,20.403264522,29.100156025,3.1430028805,11.862397984,3.8031084974000002,0.11251800290000001,6.6610657705000005,1.9158065290000001,3.147504,26.8060836502,2.0912547529,0.5703422053
Hausen am Albis,4,3467,3.1845238095,254.9264705882,13.6429189501,22.8151139314,60.3691952697,16.815690799,3.1893302406,2.6094520151,9.5679907219,4.9289649174,1418,2.4160789845,13.68,12.6461988304,33,55.7748538012,-31,29.0204678363,2.5584795322,946,108,135,703,256,41,34,181,0.9445843829,13.9900903527,1.0492567765,12.793652209,2.8819150359,19.393304507,34.937369055,2.5698747381000002,8.7482726341,4.6560870147,0.1939107565,8.0216645121,1.825435742,3.978514,21.5680559604,5.8292043136,2.3316817254
Hedingen,5,3651,7.0674486804,559.1117917305,14.7904683648,22.514379622,63.4072856752,14.0783347028,3.0361578802,3.0361578802,8.5564449351,4.6922439967,1499,2.4249499666,6.53,19.9081163859,44,46.248085758,-43,33.2312404288,0.6125574273000001,1485,34,763,688,196,12,25,159,1.6393442623,18.6369958275,0.9457579972000001,15.80582681,3.9181664111,22.478008232,30.114599306,3.5892986845,9.6259381809,3.7688644984,0.2279880558,6.4663868937,1.8400451941,2.164878,21.9749652295,2.5034770515,0
Kappel am Albis,6,1014,10.4575163399,128.0303030303,13.510848126199999,25.1479289941,60.5522682446,14.2998027613,2.0304568528,4.0609137056,7.1065989848,8.1218274112,414,2.4347826087,7.83,8.3014048531,12,69.9872286079,-12,20.5619412516,1.1494252874,347,55,83,209,96,22,21,53,7.7605321508,14.6443514644,0.4184100418,10.9525418,2.7444688397,10.285424759,48.615098801,6.6036142543,5.6240499916,5.1342678602,0.3124472218,4.382705624,2.7698023982,2.575578,31.3807531381,6.2761506276,0
Knonau,7,2037,13.1666666667,314.8377125193,16.2493863525,23.0240549828,61.8065783014,15.1693667158,3.9564787339,1.978239367,9.3966369931,5.4401582591,813,2.4956949569,6.51,17.9723502304,19,62.2119815668,-21,17.2043010753,2.6113671275,497,66,103,328,123,26,17,80,0.44593088070000003,1.4947683109,0.6477329347,11.456580276,3.1260518344,18.436553349,32.876135981,6.1679569169,10.421575227,5.9449680242,0.008414675200000001,5.8019185459,3.4373948166,2.32245,34.8779272546,3.9860488291,0
Maschwanden,8,665,7.9545454545,141.7910447761,13.984962406,23.9097744361,60.4511278195,15.6390977444,6.0195635816,1.5048908954,9.0293453725,6.0195635816,267,2.4831460674,4.68,8.9743589744,-5,59.615384615400004,0,23.7179487179,7.6923076923,148,50,43,55,58,20,7,31,1.6722408027,1.5060240964,0,4.8901371221000005,3.5023955064,22.732529324,43.383446225,3.7336857756,4.857095655,3.4528333058,0.6443086073000001,5.1709895919,2.1146538906,5.517925,12.0481927711,0,0
Mettmenstetten,9,4473,5.420692906,343.2847275518,14.0845070423,22.1327967807,62.150681869,15.7165213503,6.7446043165,1.7985611511,10.5665467626,5.1708633094,1796,2.4498886414,13.05,15.938697318000001,65,64.214559387,-70,18.6206896552,1.2260536398,1522,152,588,782,295,47,54,194,1.2024048096,3.1652724395,1.2208907981000001,13.184717459,3.6491554216,18.80028206,35.671015097,3.4680598737,9.6205006571,4.3527036123,0.1330170839,5.0594570339,3.5690246482,2.492067,40.2441781596,4.2957268822,0
