,id,German,French,Italian,Romansh
0,1,1412,12,5,1
1,2,7215,58,41,13
2,3,3282,29,27,11
3,4,2706,16,16,1
4,5,2420,21,17,9
5,6,802,5,1,0
6,7,1267,7,9,0
7,8,521,2,0,0
8,9,3278,17,17,3
9,10,3430,29,20,13
10,11,1947,18,11,4
11,12,679,4,2,1
12,13,2211,36,5,4
13,14,3263,45,19,7
14,21,563,1,0,0
15,22,642,9,3,0
16,23,529,2,2,1
17,24,694,1,0,0
18,25,1376,9,9,2
19,26,541,2,0,0
20,27,2445,11,15,2
21,28,1030,4,1,4
22,29,1118,8,1,1
23,30,1372,3,4,0
24,31,1453,8,3,0
25,32,375,4,1,2
26,33,1592,7,5,1
27,34,1265,6,2,1
28,35,1662,10,1,7
29,36,1008,4,5,0
30,37,1147,2,4,3
31,38,1329,11,3,1
32,39,572,1,1,0
33,40,909,1,2,0
34,41,406,0,2,1
35,42,787,2,0,1
36,43,242,0,1,0
37,44,642,3,1,0
38,51,2079,39,21,5
39,52,5805,81,69,8
40,53,10462,128,111,17
41,54,4678,76,47,14
42,55,2399,26,9,5
43,56,5596,73,42,24
44,57,1812,15,8,2
45,58,2749,15,17,7
46,59,1314,20,8,1
47,60,1498,11,20,0
48,61,739,4,4,0
49,62,11490,272,170,40
50,63,977,12,6,0
51,64,3829,44,14,4
52,65,928,10,4,0
53,66,6815,142,137,33
54,67,2775,12,7,4
55,68,1730,28,10,7
56,69,8827,124,96,28
57,70,529,4,0,1
58,71,1216,7,1,0
59,72,2864,45,18,7
60,81,538,6,2,0
61,82,885,5,2,7
62,83,3341,39,26,9
63,84,2391,24,18,2
64,85,1330,8,13,1
65,86,3619,43,34,8
66,87,433,2,2,0
67,88,2087,38,5,4
68,89,2923,27,15,6
69,90,5739,82,46,4
70,91,1862,26,12,5
71,92,3374,39,35,14
72,93,1095,9,8,2
73,94,1555,17,9,1
74,95,425,3,0,0
75,96,9642,129,105,36
76,97,4083,48,44,12
77,98,593,3,2,1
78,99,979,8,1,3
79,100,1570,6,5,1
80,101,2223,18,7,4
81,102,880,4,2,1
82,111,3701,12,18,6
83,112,4830,28,21,8
84,113,4996,21,28,9
85,114,1772,4,6,0
86,115,7612,37,40,19
87,116,2651,17,17,3
88,117,7723,36,28,14
89,118,8121,48,75,14
90,119,1043,6,5,1
91,120,6227,19,47,12
92,121,13383,91,138,29
93,131,11179,240,126,42
94,132,1715,13,9,2
95,133,12065,136,146,28
96,134,772,7,2,1
97,135,5447,117,64,10
98,136,5048,71,66,11
99,137,3856,58,27,5
100,138,8376,78,79,16
101,139,3705,81,39,9
102,140,1687,13,2,1
103,141,11916,197,135,45
104,142,14693,297,131,31
105,151,3617,57,37,10
106,152,4574,93,28,13
107,153,5868,37,30,11
108,154,9865,185,108,23
109,155,6683,62,50,20
110,156,9173,156,72,23
111,157,3095,22,19,8
112,158,9420,94,65,16
113,159,4240,45,36,13
114,160,3617,70,29,8
115,161,9117,207,101,29
116,172,3799,31,21,13
117,173,2734,19,9,5
118,174,11030,99,76,40
119,175,380,0,0,1
120,176,3128,32,30,5
121,177,7470,35,62,11
122,178,3428,21,14,4
123,180,2600,12,10,1
124,181,1578,5,4,3
125,182,835,4,2,0
126,191,15735,298,186,36
127,192,5991,45,38,14
128,193,5063,86,30,10
129,194,4204,68,25,11
130,195,6893,134,48,23
131,196,2796,29,9,4
132,197,3234,46,38,6
133,198,21440,185,216,63
134,199,10530,114,100,14
135,200,4239,63,71,16
136,211,594,0,1,0
137,213,1631,19,8,2
138,214,791,3,1,1
139,215,505,1,2,0
140,216,1225,4,2,0
141,217,3034,17,12,5
142,218,670,3,1,0
143,219,2550,18,7,4
144,220,968,8,3,0
145,221,2121,20,9,1
146,222,396,2,1,0
147,223,4001,18,17,3
148,224,1858,11,14,4
149,225,1869,5,9,0
150,226,572,1,4,1
151,227,5694,40,33,6
152,228,3302,15,15,2
153,230,65988,599,560,132
154,231,3619,19,20,2
155,241,852,8,9,1
156,242,4251,56,41,9
157,243,12314,150,207,38
158,244,3686,37,32,4
159,245,4189,76,61,10
160,246,1793,32,16,7
161,247,7336,84,119,31
162,248,2954,67,24,7
163,249,2240,23,23,8
164,250,7257,77,77,20
165,251,2847,31,37,6
