id,inhabitant per km^2
4551,425.78
4001,1636.42
301,539.52
4271,1636.2
321,430.8
4221,230.6
5621,136.41
5048,30.21
561,39.35
1051,772.39
21,86.9
131,2341.15
2421,42.59
401,519.02
731,840.74
2761,1379.59
1021,217.17
241,227.69
2511,222.43
562,70.05
1,250.57
4711,168.18
2,1071.89
951,100.44
6101,104.97
5742,53.38
5141,1728.11
5401,600.43
6601,388.19
5061,16.47
1121,169.38
6102,16.55
3542,14.33
402,86.71
5851,158.04
6771,161.62
630,143.39
2762,2269.39
1401,108.05
1361,25.99
1122,144.4
1201,879.57
1341,321.96
2291,124.38
211,83.07
1123,273.34
4641,322.09
5237,62.61
3251,282.35
1022,140.0
3311,40.66
4881,90.87
4191,214.06
4461,671.23
921,167.38
3701,19.46
30,313.9
1202,22.41
3611,15.26
3441,307.84
6602,613.32
6252,10.88
2841,147.12
3101,339.8
5421,100.69
5143,119.49
6261,59.34
5001,214.74
2881,156.69
4401,2386.34
381,236.82
2171,127.99
6021,145.51
2821,161.56
4222,158.9
2763,1307.46
5701,94.76
5743,78.24
4061,541.45
602,89.82
5144,112.28
3921,21.33
1362,262.73
5091,1088.55
5511,194.92
5146,77.55
2321,323.34
4272,128.64
1203,34.0
971,179.84
3231,1534.39
5422,326.04
2061,142.19
4091,274.13
2822,529.63
6191,43.12
322,100.0
2172,29.22
2173,123.47
4223,218.6
5324,53.62
5451,196.4
3681,1.85
2174,317.73
6603,381.47
6604,274.76
6082,68.84
1701,910.9
51,943.12
81,66.67
3291,223.31
4323,638.9
4021,1407.28
6031,28.06
4301,97.51
5242,1296.14
3232,693.58
5744,109.06
5423,57.08
1023,299.08
2541,34.8
2422,371.89
6281,40.4
532,69.55
323,145.05
2243,58.05
6605,441.15
302,126.87
2931,34.94
2162,36.82
2280,204.22
4536,112.95
2701,6985.89
6807,55.28
52,1262.51
5703,62.43
1204,45.38
5745,45.01
297,157.95
5746,94.41
571,39.32
1501,139.56
5148,796.35
5149,258.7
5063,1.2
2951,39.95
5704,345.72
4224,94.43
2612,11.96
4131,769.87
2175,465.32
2542,981.18
6606,739.64
4022,316.4
5002,940.49
732,415.22
6052,31.71
5581,1363.46
5902,54.99
861,487.58
681,81.77
3312,170.81
22,145.86
2882,98.62
5512,270.75
3211,221.69
4891,247.98
23,81.87
4023,419.27
3521,3.12
4062,834.39
2932,221.16
972,30.71
4801,243.94
351,2496.74
3233,680.47
6607,752.35
5424,31.07
1081,144.84
4226,245.11
973,171.46
5471,115.73
2702,527.52
2543,395.66
6205,14.95
4716,298.44
4227,131.69
6773,25.69
6402,358.09
3781,13.87
5402,70.87
5281,104.21
2513,663.64
4002,360.39
4721,226.91
2764,795.84
371,2494.78
2445,79.19
603,487.99
2063,136.73
6054,2.35
2765,3348.76
5151,394.14
5903,42.89
5513,146.77
242,532.55
4024,368.52
4092,856.75
4093,220.27
4132,291.28
2766,4027.95
4901,107.8
4471,486.82
5154,480.33
6172,5.15
6173,210.32
3531,2.56
5425,60.35
