commune_name,id,mother age 30-34,mother age 35-39,mother age 40-99,total births,mother age 0-25,mother age 25-29
Aadorf,4551,32,14,3,82,14,19
Aarau,4001,102,61,14,232,12,43
Aarberg,301,17,14,1,45,2,11
Aarburg,4271,38,18,3,106,16,31
Aarwangen,321,14,4,0,29,4,7
Abtwil,4221,3,5,0,9,0,1
Aclens,5621,7,0,1,9,0,1
Acquarossa,5048,5,5,1,14,1,2
Adelboden,561,14,7,2,32,1,8
Adligenswil,1051,12,8,5,34,2,7
Adlikon,21,2,0,0,2,0,0
Adliswil,131,113,55,22,273,20,63
Aedermannsdorf,2421,2,1,0,5,0,2
Aefligen,401,8,2,2,16,1,3
Aegerten,731,8,1,1,15,0,5
Aesch (BL),2761,29,22,3,72,7,11
Aesch (LU),1021,4,0,2,10,0,4
Aesch (ZH),241,4,4,1,9,0,0
Aeschi (SO),2511,4,2,0,9,0,3
Aeschi bei Spiez,562,13,2,2,31,2,12
Aeugst am Albis,1,8,5,4,19,0,2
Affeltrangen,4711,9,2,1,26,1,13
Affoltern am Albis,2,38,27,5,124,16,38
Affoltern im Emmental,951,5,4,0,11,0,2
Agarn,6101,2,0,1,5,0,2
Agiez,5742,1,1,0,4,0,2
Agno,5141,17,12,5,47,2,11
Aigle,5401,34,18,7,133,18,56
Aire-la-Ville,6601,3,4,0,11,2,2
Airolo,5061,5,5,1,16,1,4
Alberswil,1121,5,0,1,7,0,1
Albinen,6102,1,1,1,3,0,0
Albula/Alvra,3542,3,2,0,8,1,2
Alchenstorf,402,1,0,0,2,0,1
Allaman,5851,2,0,0,3,0,1
Alle,6771,3,2,1,8,0,2
Allmendingen,630,1,0,0,1,0,0
Allschwil,2762,91,54,22,223,3,53
Alpnach,1401,27,12,6,64,1,18
Alpthal,1361,1,1,0,2,0,0
Altbüron,1122,0,2,1,6,1,2
Altdorf (UR),1201,29,24,5,86,8,20
Altendorf,1341,28,16,8,66,3,11
Alterswil,2291,10,1,2,17,1,3
Altikon,211,2,1,0,4,1,0
Altishofen,1123,11,7,0,22,0,4
Altnau,4641,12,4,2,22,0,4
Alto Malcantone,5237,3,3,1,8,0,1
Altstätten,3251,36,21,6,113,8,42
Altwis,1022,2,0,0,4,0,2
Amden,3311,4,5,1,15,1,4
Amlikon-Bissegg,4881,5,2,0,10,2,1
Ammerswil,4191,2,3,1,7,0,1
Amriswil,4461,42,20,3,131,20,46
Amsoldingen,921,0,4,0,6,1,1
Andeer,3701,2,1,0,5,1,1
Andelfingen,30,9,7,2,25,1,6
Andermatt,1202,2,0,1,6,1,2
Andiast,3611,0,0,0,0,0,0
Andwil (SG),3441,5,6,1,15,0,3
Anières,6602,8,13,1,36,4,10
Anniviers,6252,10,3,3,26,1,9
Anwil,2841,4,1,0,5,0,0
Appenzell,3101,56,25,6,145,17,41
Apples,5421,2,2,0,8,1,3
Aranno,5143,2,1,0,3,0,0
Arbaz,6261,3,3,2,9,1,0
Arbedo-Castione,5001,18,13,5,42,1,5
Arboldswil,2881,3,0,0,3,0,0
Arbon,4401,54,30,7,155,20,44
Arch,381,7,1,0,12,0,4
Arconciel,2171,2,0,0,3,0,1
Ardon,6021,14,8,5,41,1,13
Arisdorf,2821,5,6,0,16,0,5
Aristau,4222,10,3,3,21,0,5
Arlesheim,2763,27,25,7,70,4,7
Arnex-sur-Nyon,5701,0,1,0,1,0,0
Arnex-sur-Orbe,5743,3,1,0,7,1,2
Arni (AG),4061,10,4,1,19,1,3
Arni (BE),602,3,2,0,6,0,1
Arogno,5144,5,0,0,9,1,3
Arosa,3921,11,6,3,25,2,3
Arth,1362,42,30,6,117,18,21
Arzier-Le Muids,5702,4,1,5,12,1,1
Ascona,5091,7,11,1,27,2,6
Assens,5511,5,1,0,7,0,1
Astano,5146,0,0,1,1,0,0
Attalens,2321,12,5,1,27,2,7
Attelwil,4272,2,0,0,3,0,1
Attinghausen,1203,7,4,0,20,1,8
Attiswil,971,5,7,2,20,0,6
Au (SG),3231,33,10,3,71,9,16
Aubonne,5422,13,7,3,26,1,2
Auboranges,2061,3,1,0,5,1,0
Auenstein,4091,3,0,2,7,0,2
Augst,2822,1,3,1,6,1,0
Ausserberg,6191,1,1,0,2,0,0
Auswil,322,1,0,0,4,1,2
Autafond,2172,0,0,0,0,0,0
Autigny,2173,1,2,1,9,2,3
Auw,4223,7,5,0,19,1,6
Avegno Gordevio,5324,1,3,0,7,1,2
Avenches,5451,16,6,3,44,4,15
Avers,3681,1,0,0,1,0,0
Avry,2174,9,5,0,26,1,11
Avully,6603,6,8,2,22,0,6
Avusy,6604,3,5,1,10,0,1
Ayent,6082,13,6,0,25,1,5
Baar,1701,95,51,18,242,16,62
Bachenbülach,51,15,7,3,40,3,12
Bachs,81,4,3,0,10,0,3
Bad Ragaz,3291,23,16,2,50,2,7
Bad Zurzach,4323,11,5,0,24,2,6
Baden,4021,110,74,15,240,9,32
Bagnes,6031,34,23,2,75,3,13
Baldingen,4301,0,0,0,1,0,1
Balerna,5242,11,6,2,24,0,5
Balgach,3232,21,7,1,36,1,6
Ballaigues,5744,5,0,0,9,1,3
Ballens,5423,1,0,0,1,0,0
Ballwil,1023,13,3,3,28,1,8
Balm bei Günsberg,2541,1,1,0,2,0,0
Balsthal,2422,16,12,5,66,6,27
Baltschieder,6281,6,1,3,18,2,6
Bangerten,532,0,0,0,0,0,0
Bannwil,323,3,1,0,4,0,0
Barberêche,2243,2,1,0,3,0,0
Bardonnex,6605,7,7,6,24,0,4
Bargen (BE),302,2,2,0,6,1,1
Bargen (SH),2931,0,0,0,0,0,0
Bas-Intyamon,2162,4,6,0,19,2,7
Bas-Vully,2280,11,5,1,23,0,6
Basadingen-Schlattingen,4536,8,2,1,18,1,6
Basel,2701,717,482,145,1834,142,348
Basse-Allaine,6807,6,1,1,13,1,4
Bassersdorf,52,46,33,10,133,10,34
Bassins,5703,1,2,2,6,1,0
Bauen,1204,1,0,0,1,0,0
Baulmes,5745,4,4,0,11,1,2
Bauma,297,14,13,2,54,6,19
Bavois,5746,5,4,2,13,1,1
Beatenberg,571,4,1,0,9,1,3
Beckenried,1501,17,10,1,36,4,4
Bedano,5148,4,6,1,14,0,3
Bedigliora,5149,1,1,1,4,0,1
Bedretto,5063,0,0,0,0,0,0
Beggingen,2951,2,0,0,4,0,2
Begnins,5704,5,3,2,15,0,5
Beinwil (Freiamt),4224,5,4,1,10,0,0
Beinwil (SO),2612,0,1,0,2,0,1
Beinwil am See,4131,11,9,0,27,3,4
Belfaux,2175,14,10,1,36,3,8
Bellach,2542,21,11,1,54,6,15
Bellevue,6606,16,8,5,33,0,4
Bellikon,4022,2,5,0,9,0,2
Bellinzona,5002,79,55,9,202,13,46
Bellmund,732,7,7,1,16,0,1
Bellwald,6052,1,1,0,2,0,0
Belmont-sur-Lausanne,5581,9,10,1,27,1,6
Belmont-sur-Yverdon,5902,1,1,0,3,0,1
Belp,861,50,28,4,126,9,35
Belprahon,681,0,0,0,0,0,0
Benken (SG),3312,6,7,2,22,2,5
Benken (ZH),22,2,1,1,6,0,2
Bennwil,2882,3,2,2,8,0,1
Bercher,5512,5,3,0,16,2,6
Berg (SG),3211,2,0,0,4,0,2
Berg (TG),4891,13,8,1,31,3,6
Berg am Irchel,23,2,2,1,7,0,2
Bergdietikon,4023,12,6,5,35,1,11
Bergün/Bravuogn,3521,4,0,0,6,0,2
Berikon,4062,25,13,4,52,3,7
Beringen,2932,17,5,2,34,3,7
Berken,972,0,0,0,0,0,0
Berlingen,4801,2,1,3,7,0,1
Bern,351,632,475,96,1514,72,239
Berneck,3233,22,5,1,38,4,6
Bernex,6607,34,21,7,84,5,17
Berolle,5424,0,0,1,3,1,1
Beromünster,1081,37,19,2,79,3,18
Besenbüren,4226,3,0,0,5,0,2
Bettenhausen,973,3,2,1,7,0,1
Bettens,5471,8,4,0,14,0,2
Bettingen,2702,4,2,2,11,1,2
Bettlach,2543,15,10,0,44,5,14
Bettmeralp,6205,2,1,0,6,0,3
