commune_id,FDP/PLR (PRD),CVP/PDC,SP/PS,SVP/UDC,GLP/PVL,GPS/PES,Other/Autres
1,4906.0,545.0,4894.0,8118.0,2214.0,1857.0,3713.0
2,15271.0,4922.0,20481.0,36266.0,7898.0,6667.0,15836.0
3,10980.0,2252.0,13600.0,19397.0,7907.0,4440.0,8080.0
4,5740.0,1293.0,8701.0,15675.0,3925.0,3599.0,5933.0
5,7834.0,1942.0,11141.0,14926.0,4771.0,3205.0,5745.0
6,1297.0,325.0,1218.0,5757.0,666.0,519.0,2060.0
7,2723.0,743.0,4382.0,7814.0,2477.0,1379.0,4250.0
8,296.0,212.0,1376.0,2626.0,294.0,313.0,936.0
9,8227.0,2277.0,11731.0,22258.0,6003.0,3157.0,8745.0
10,7795.0,3509.0,9152.0,19564.0,3996.0,2004.0,8063.0
11,5983.0,1469.0,6612.0,12397.0,2920.0,1711.0,4440.0
12,1424.0,263.0,3228.0,4662.0,1378.0,1645.0,2676.0
13,7500.0,1380.0,7024.0,16130.0,2646.0,1592.0,3593.0
14,15829.0,2869.0,9165.0,20442.0,5882.0,2935.0,6582.0
21,704.0,82.0,792.0,5411.0,373.0,365.0,1796.0
22,1043.0,153.0,1147.0,4208.0,369.0,907.0,1779.0
23,1067.0,290.0,773.0,5055.0,797.0,425.0,1673.0
24,1614.0,250.0,943.0,6429.0,1190.0,285.0,1792.0
25,2787.0,1191.0,4562.0,7390.0,2039.0,1599.0,3482.0
26,907.0,171.0,911.0,4256.0,279.0,227.0,1908.0
27,3531.0,1231.0,7737.0,12164.0,2034.0,1899.0,4649.0
28,2052.0,227.0,2064.0,9507.0,707.0,603.0,3499.0
29,3126.0,780.0,4054.0,5179.0,1668.0,1193.0,2464.0
30,5138.0,727.0,3681.0,10659.0,3252.0,2101.0,5708.0
31,4221.0,691.0,4820.0,11815.0,2674.0,1548.0,5508.0
32,1010.0,119.0,629.0,3361.0,507.0,186.0,908.0
33,3458.0,436.0,3897.0,11711.0,2378.0,1480.0,4109.0
34,3581.0,833.0,2390.0,8512.0,1530.0,946.0,3640.0
35,2170.0,574.0,3107.0,13280.0,1964.0,2231.0,4480.0
36,5419.0,296.0,1843.0,7185.0,1133.0,1191.0,2689.0
37,2241.0,501.0,2307.0,8034.0,1419.0,955.0,2773.0
38,1236.0,1243.0,3440.0,5076.0,1117.0,1588.0,2954.0
39,1128.0,37.0,1272.0,6395.0,459.0,421.0,2133.0
40,1118.0,83.0,2051.0,7234.0,664.0,796.0,2514.0
41,719.0,96.0,1006.0,3216.0,331.0,486.0,2134.0
42,3072.0,218.0,1872.0,5615.0,1212.0,1128.0,1946.0
43,648.0,20.0,351.0,2600.0,224.0,135.0,628.0
44,1394.0,47.0,1265.0,4127.0,626.0,548.0,1424.0
51,5480.0,1158.0,5747.0,12275.0,2487.0,1280.0,6227.0
52,13593.0,4735.0,17731.0,36812.0,6832.0,4615.0,14888.0
53,22226.0,5364.0,33224.0,59900.0,11302.0,9503.0,27235.0
54,11600.0,2274.0,15171.0,23307.0,7492.0,3271.0,9726.0
