commune_id,FDP/PLR (PRD),CVP/PDC,SP/PS,SVP/UDC,GLP/PVL,BDP/PBD,GPS/PES,Other/Autres
1,18.69,2.08,18.65,30.93,8.44,2.62,7.08,11.54
2,14.23,4.59,19.08,33.79,7.36,4.16,6.21,10.59
3,16.47,3.38,20.4,29.1,11.86,3.8,6.66,8.32
4,12.79,2.88,19.39,34.94,8.75,4.66,8.02,8.56
5,15.81,3.92,22.48,30.11,9.63,3.77,6.47,7.82
6,10.95,2.74,10.29,48.62,5.62,5.13,4.38,12.26
7,11.46,3.13,18.44,32.88,10.42,5.94,5.8,11.94
8,4.89,3.5,22.73,43.38,4.86,3.45,5.17,12.0
9,13.18,3.65,18.8,35.67,9.62,4.35,5.06,9.66
10,14.41,6.49,16.92,36.17,7.39,4.36,3.71,10.56
11,16.84,4.13,18.61,34.89,8.22,4.91,4.82,7.6
12,9.32,1.72,21.13,30.52,9.02,3.57,10.77,13.95
13,18.81,3.46,17.62,40.46,6.64,4.07,3.99,4.96
14,24.85,4.5,14.39,32.09,9.23,4.08,4.61,6.25
21,7.39,0.86,8.32,56.82,3.92,6.63,3.83,12.24
22,10.86,1.59,11.94,43.81,3.84,9.63,9.44,8.89
23,10.59,2.88,7.67,50.15,7.91,8.23,4.22,8.35
24,12.91,2.0,7.54,51.42,9.52,7.41,2.28,6.92
25,12.09,5.17,19.79,32.06,8.85,5.75,6.94,9.35
26,10.47,1.97,10.52,49.15,3.22,5.45,2.62,16.59
27,10.62,3.7,23.27,36.59,6.12,5.09,5.71,8.89
28,11.0,1.22,11.06,50.95,3.79,5.4,3.23,13.35
29,16.93,4.22,21.96,28.05,9.03,5.08,6.46,8.26
30,16.43,2.33,11.77,34.09,10.4,5.39,6.72,12.88
31,13.5,2.21,15.41,37.78,8.55,4.78,4.95,12.84
32,15.03,1.77,9.36,50.01,7.54,4.32,2.77,9.2
33,12.59,1.59,14.19,42.63,8.66,6.68,5.39,8.29
34,16.71,3.89,11.15,39.72,7.14,8.43,4.41,8.56
35,7.8,2.06,11.17,47.76,7.06,7.06,8.02,9.06
36,27.43,1.5,9.33,36.37,5.73,3.97,6.03,9.65
37,12.29,2.75,12.65,44.07,7.78,5.97,5.24,9.23
38,7.42,7.46,20.66,30.48,6.71,8.66,9.54,9.09
