pre_id,pre_name,post_id,post_name,date
2028,Montagny-la-Ville,2029,Montagny (FR),01.01.2000
2029,Montagny-les-Monts,2029,Montagny (FR),01.01.2000
2249,Corsalettes,2200,Grolley,01.01.2000
2267,Kleingurmels,2262,Gurmels,01.01.2000
4542,Willisdorf,4545,Diessenhofen,01.01.2000
6053,Biel (VS),6073,Grafschaft,01.10.2000
6068,Ritzingen,6073,Grafschaft,01.10.2000
6069,Selkingen,6073,Grafschaft,01.10.2000
6108,Guttet,6117,Guttet-Feschel,01.10.2000
6106,Feschel,6117,Guttet-Feschel,01.10.2000
2161,Vuippens,2140,Marsens,01.01.2001
2215,Onnens (FR),2234,La Brillaz,01.01.2001
2202,Lentigny,2234,La Brillaz,01.01.2001
2204,Lovens,2234,La Brillaz,01.01.2001
2110,Villarsiviriaux,2114,Villorsonnens,01.01.2001
2107,Villargiroud,2114,Villorsonnens,01.01.2001
2070,Chavannes-sous-Orsonnens,2114,Villorsonnens,01.01.2001
2093,Orsonnens,2114,Villorsonnens,01.01.2001
2141,Maules,2152,Sâles,01.01.2001
2151,Rueyres-Treyfayes,2152,Sâles,01.01.2001
2150,Romanens,2152,Sâles,01.01.2001
2152,Sâles (Gruyère),2152,Sâles,01.01.2001
2103,Vauderens,2102,Ursy,01.01.2001
2064,Bionnens,2102,Ursy,01.01.2001
2091,Mossel,2102,Ursy,01.01.2001
2077,Gillarens,2097,Rue,01.01.2001
2095,Promasens,2097,Rue,01.01.2001
2188,Ecuvillens,2233,Hauterive (FR),01.01.2001
2219,Posieux,2233,Hauterive (FR),01.01.2001
2181,Corjolens,2174,Avry,01.01.2001
2174,Avry-sur-Matran,2174,Avry,01.01.2001
5092,Auressio,5137,Isorno,13.04.2001
5093,Berzona,5137,Isorno,13.04.2001
5114,Loco,5137,Isorno,13.04.2001
5228,Vaglio,5226,Capriasca,18.10.2001
5164,Cagiallo,5226,Capriasca,18.10.2001
5190,Lopagno,5226,Capriasca,18.10.2001
5218,Roveredo-Capriasca,5226,Capriasca,18.10.2001
5220,Sala Capriasca,5226,Capriasca,18.10.2001
5226,Tesserete,5226,Capriasca,18.10.2001
5454,Champmartin,5456,Cudrefin,01.01.2002
4278,Mühlethal,4289,Zofingen,01.01.2002
2121,Albeuve,2121,Haut-Intyamon,01.01.2002
2142,Montbovon,2121,Haut-Intyamon,01.01.2002
2144,Neirivue,2121,Haut-Intyamon,01.01.2002
2139,Lessoc,2121,Haut-Intyamon,01.01.2002
3591,Camuns,3599,Suraua,01.01.2002
3599,Surcasti,3599,Suraua,01.01.2002
3601,Tersnaus,3599,Suraua,01.01.2002
3602,Uors-Peiden,3599,Suraua,01.01.2002
2100,Sommentier,2113,Vuisternens-devant-Romont,01.01.2003
