"Beschäftigte, Landwirtschaftliche Betriebe, Landwirtschaftliche Nutzfläche (LN) und Nutztiere auf Klassifizierungsebene 1 nach institutionellen Gliederungen"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Betriebssystem";"Beschäftigte Total";"Tiere - Rinder";"Tiere - Schafe";"Tiere - Ziege";"Tiere - Schweine";"Tiere - Geflügel"
"2013";"- Schweiz";"Betriebssytem - Total";158919;1557474;409493;87935;1484732;10078981
"2013";"- Zürich";"Betriebssytem - Total";11098;93233;17582;2425;38856;438603
"2013";">>  Bezirk Affoltern";"Betriebssytem - Total";794;9315;1712;87;7100;41747
"2013";"......0001 Aeugst am Albis";"Betriebssytem - Total";36;622;143;0;40;144
"2013";"......0002 Affoltern am Albis";"Betriebssytem - Total";51;596;0;0;654;243
"2013";"......0003 Bonstetten";"Betriebssytem - Total";40;314;10;2;0;163
"2013";"......0004 Hausen am Albis";"Betriebssytem - Total";106;1368;308;0;0;5254
"2013";"......0005 Hedingen";"Betriebssytem - Total";31;312;0;2;1516;0
"2013";"......0006 Kappel am Albis";"Betriebssytem - Total";58;1012;123;28;2;4201
"2013";"......0007 Knonau";"Betriebssytem - Total";61;749;116;0;2053;2115
"2013";"......0008 Maschwanden";"Betriebssytem - Total";50;522;0;4;42;18541
"2013";"......0009 Mettmenstetten";"Betriebssytem - Total";149;1889;223;18;1624;5477
"2013";"......0010 Obfelden";"Betriebssytem - Total";65;521;61;0;0;4005
"2013";"......0011 Ottenbach";"Betriebssytem - Total";39;195;71;5;4;244
"2013";"......0012 Rifferswil";"Betriebssytem - Total";43;618;129;0;1075;163
"2013";"......0013 Stallikon";"Betriebssytem - Total";46;551;361;26;90;517
"2013";"......0014 Wettswil am Albis";"Betriebssytem - Total";19;46;167;2;0;680
"2013";">>  Bezirk Andelfingen";"Betriebssytem - Total";1327;8566;672;84;2756;47319
"2013";"......0021 Adlikon";"Betriebssytem - Total";57;429;54;5;3;135
"2013";"......0022 Benken (ZH)";"Betriebssytem - Total";80;323;2;2;790;7267
"2013";"......0023 Berg am Irchel";"Betriebssytem - Total";54;190;0;0;0;23
"2013";"......0024 Buch am Irchel";"Betriebssytem - Total";62;962;0;4;190;16504
"2013";"......0025 Dachsen";"Betriebssytem - Total";20;0;0;0;0;0
"2013";"......0026 Dorf";"Betriebssytem - Total";35;117;24;0;0;37
"2013";"......0027 Feuerthalen";"Betriebssytem - Total";9;0;0;0;0;0
"2013";"......0028 Flaach";"Betriebssytem - Total";100;532;0;0;0;102
"2013";"......0029 Flurlingen";"Betriebssytem - Total";5;12;0;0;0;0
"2013";"......0030 Andelfingen";"Betriebssytem - Total";40;128;251;10;86;128
"2013";"......0031 Henggart";"Betriebssytem - Total";24;20;0;0;92;80
"2013";"......0032 Humlikon";"Betriebssytem - Total";18;46;37;0;0;0
"2013";"......0033 Kleinandelfingen";"Betriebssytem - Total";64;380;7;31;546;335
"2013";"......0034 Laufen-Uhwiesen";"Betriebssytem - Total";61;278;2;2;0;970
"2013";"......0035 Marthalen";"Betriebssytem - Total";106;439;36;6;490;354
"2013";"......0036 Oberstammheim";"Betriebssytem - Total";69;791;0;0;0;94
"2013";"......0037 Ossingen";"Betriebssytem - Total";88;1195;27;6;0;16355
"2013";"......0038 Rheinau";"Betriebssytem - Total";21;125;88;7;39;129
"2013";"......0039 Thalheim an der Thur";"Betriebssytem - Total";59;543;0;0;0;35
