"Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren"

"Bezirk (>>) / Gemeinde (......)";"Fläche - Total 2004/09"
">> Affoltern";11308
"......Aeugst am Albis";787
"......Affoltern am Albis";1060
"......Bonstetten";745
"......Hausen am Albis";1368
"......Hedingen";653
"......Kappel am Albis";783
"......Knonau";651
"......Maschwanden";468
"......Mettmenstetten";1305
"......Obfelden";755
"......Ottenbach";498
"......Rifferswil";657
"......Stallikon";1201
"......Wettswil am Albis";377
">> Andelfingen";16661
"......Adlikon";664
"......Benken (ZH)";567
"......Berg am Irchel";706
"......Buch am Irchel";1012
"......Dachsen";269
"......Dorf";554
"......Feuerthalen";250
"......Flaach";1020
"......Flurlingen";240
"......Andelfingen";669
"......Henggart";306
"......Humlikon";368
"......Kleinandelfingen";1029
"......Laufen-Uhwiesen";625
"......Marthalen";1415
"......Oberstammheim";938
"......Ossingen";1311
"......Rheinau";893
"......Thalheim an der Thur";644
"......Trüllikon";956
"......Truttikon";443
"......Unterstammheim";727
"......Volken";327
"......Waltalingen";728
">> Bülach";18493
"......Bachenbülach";429
"......Bassersdorf";899
"......Bülach";1610
"......Dietlikon";422
"......Eglisau";908
"......Embrach";1274
"......Freienstein-Teufen";833
"......Glattfelden";1231
"......Hochfelden";615
"......Höri";477
"......Hüntwangen";493
"......Kloten";1930
"......Lufingen";519
"......Nürensdorf";1009
"......Oberembrach";1018
"......Opfikon";561
"......Rafz";1072
"......Rorbas";446
"......Wallisellen";646
"......Wasterkingen";394
"......Wil (ZH)";897
"......Winkel";810
">> Dielsdorf";15286
"......Bachs";915
"......Boppelsen";392
"......Buchs (ZH)";588
"......Dällikon";448
"......Dänikon";280
"......Dielsdorf";587
"......Hüttikon";160
"......Neerach";600
"......Niederglatt";360
"......Niederhasli";1131
"......Niederweningen";688
"......Oberglatt";823
"......Oberweningen";488
"......Otelfingen";721
"......Regensberg";238
"......Regensdorf";1463
"......Rümlang";1246
"......Schleinikon";565
"......Schöfflisdorf";399
"......Stadel";1289
"......Steinmaur";947
"......Weiach";958
">> Hinwil";17939
"......Bäretswil";2219
"......Bubikon";1164
"......Dürnten";1021
"......Fischenthal";3016
"......Gossau (ZH)";1828
"......Grüningen";880
"......Hinwil";2231
"......Rüti (ZH)";1008
"......Seegräben";377
"......Wald (ZH)";2524
"......Wetzikon (ZH)";1671
">> Horgen";10424
"......Adliswil";780
"......Hirzel";970
"......Horgen";2113
"......Hütten";724
"......Kilchberg (ZH)";260
"......Langnau am Albis";865
"......Oberrieden";277
"......Richterswil";755
"......Rüschlikon";292
"......Schönenberg (ZH)";1102
"......Thalwil";551
"......Wädenswil";1735
">> Meilen";8460
"......Erlenbach (ZH)";296
"......Herrliberg";896
"......Hombrechtikon";1216
"......Küsnacht (ZH)";1233
"......Männedorf";475
"......Meilen";1191
"......Oetwil am See";607
"......Stäfa";861
"......Uetikon am See";351
"......Zumikon";548
"......Zollikon";786
">> Pfäffikon";16315
"......Bauma";2083
"......Fehraltorf";950
"......Hittnau";1301
"......Illnau-Effretikon";2530
"......Kyburg";761
"......Lindau";1193
"......Pfäffikon";1949
"......Russikon";1428
"......Sternenberg";866
"......Weisslingen";1275
"......Wila";923
"......Wildberg";1056
">> Uster";11239
"......Dübendorf";1361
"......Egg";1450
"......Fällanden";641
"......Greifensee";233
"......Maur";1479
"......Mönchaltorf";763
"......Schwerzenbach";266
"......Uster";2854
"......Volketswil";1401
"......Wangen-Brüttisellen";791
">> Winterthur";25191
"......Altikon";768
"......Bertschikon";963
"......Brütten";665
"......Dägerlen";797
"......Dättlikon";290
"......Dinhard";708
"......Elgg";1556
"......Ellikon an der Thur";500
"......Elsau";804
"......Hagenbuch";816
"......Hettlingen";579
"......Hofstetten (ZH)";885
"......Neftenbach";1509
"......Pfungen";496
"......Rickenbach (ZH)";606
"......Schlatt (ZH)";906
"......Seuzach";760
"......Turbenthal";2524
"......Wiesendangen";949
"......Winterthur";6812
"......Zell (ZH)";1298
">> Dietikon";5998
"......Aesch (ZH)";520
"......Birmensdorf (ZH)";1143
"......Dietikon";928
"......Geroldswil";190
"......Oberengstringen";214
"......Oetwil an der Limmat";277
"......Schlieren";654
"......Uitikon";438
"......Unterengstringen";337
"......Urdorf";757
"......Weiningen (ZH)";540
">> Zürich";8790
"......Zürich";8790
">> Jura bernois";54165
"......Corgémont";1757
"......Cormoret";1351
"......Cortébert";1482
"......Courtelary";2209
"......La Ferrière";1418
"......La Heutte";806
"......Mont-Tramelan";467
"......Orvin";2164
"......Péry";1571
"......Plagne";750
"......Renan (BE)";1261
"......Romont (BE)";700
"......Saint-Imier";2085
"......Sonceboz-Sombeval";1499
"......Sonvilier";2377
"......Tramelan";2485
"......Vauffelin";597
"......Villeret";1626
"......Belprahon";384
"......Bévilard";578
"......Champoz";719
"......Châtelat";416
"......Corcelles (BE)";678
"......Court";2458
"......Crémines";951
"......Eschert";660
"......Grandval";819
"......Loveresse";478
"......Malleray";1020
"......Monible";335
"......Moutier";1962
"......Perrefitte";861
"......Pontenet";270
"......Reconvilier";822
"......Roches (BE)";905
"......Saicourt";1380
"......Saules (BE)";426
"......Schelten";554
"......Seehof";840
"......Sornetan";566
"......Sorvilier";684
"......Souboz";1059
"......Tavannes";1480
"......Rebévelier";355
"......Diesse";945
"......Lamboing";910
"......La Neuveville";681
"......Nods";2663
"......Prêles";701
">> Biel";9755
"......Biel/Bienne";2125
"......Evilard";364
"......Lengnau (BE)";732
"......Meinisberg";445
"......Pieterlen";830
"......Aegerten";216
"......Bellmund";381
"......Brügg";501
"......Ipsach";190
"......Ligerz";178
"......Mörigen";216
"......Nidau";152
"......Orpund";395
"......Port";243
"......Safnern";563
"......Scheuren";210
"......Schwadernau";412
"......Sutz-Lattrigen";361
"......Twann-Tüscherz";1241
">> Seeland";33442
"......Aarberg";792
"......Bargen (BE)";789
"......Grossaffoltern";1510
"......Kallnach";1517
"......Kappelen";1088
"......Lyss";1485
"......Radelfingen";1472
"......Rapperswil (BE)";2038
"......Schüpfen";1980
"......Seedorf (BE)";2094
"......Arch";641
"......Büetigen";362
"......Büren an der Aare";1263
"......Diessbach bei Büren";628
"......Dotzigen";422
"......Leuzigen";1029
"......Meienried";67
"......Oberwil bei Büren";673
"......Rüti bei Büren";650
"......Wengi";706
"......Brüttelen";661
"......Erlach";345
"......Finsterhennen";357
"......Gals";791
"......Gampelen";1080
"......Ins";2390
"......Lüscherz";543
"......Müntschemier";488
"......Siselen";553
"......Treiten";474
"......Tschugg";332
"......Vinelz";463
"......Bangerten";220
"......Bühl";298
"......Epsach";341
"......Hagneck";181
"......Hermrigen";345
"......Jens";460
"......Merzligen";226
"......Studen (BE)";270
"......Täuffelen";440
"......Walperswil";699
"......Worben";279
">> Oberaargau";33104
"......Aarwangen";987
"......Auswil";460
"......Bannwil";475
"......Bleienbach";569
"......Busswil bei Melchnau";284
"......Gondiswil";936
"......Langenthal";1727
"......Lotzwil";623
"......Madiswil";2316
"......Melchnau";1037
"......Obersteckholz";391
"......Oeschenbach";390
"......Reisiswil";197
"......Roggwil (BE)";782
"......Rohrbach";406
"......Rohrbachgraben";648
"......Rütschelen";399
"......Schwarzhäusern";375
"......Thunstetten";968
"......Ursenbach";913
"......Wynau";512
"......Eriswil";1133
"......Huttwil";1728
"......Walterswil (BE)";794
"......Wyssachen";1176
"......Attiswil";764
"......Berken";140
"......Bettenhausen";396
"......Farnern";365
"......Graben";317
"......Heimenhausen";583
"......Hermiswil";105
"......Herzogenbuchsee";982
"......Inkwil";338
"......Niederbipp";1745
"......Niederönz";278
"......Oberbipp";849
"......Ochlenberg";1208
"......Rumisberg";516
"......Seeberg";1578
"......Thörigen";454
"......Walliswil bei Niederbipp";144
"......Walliswil bei Wangen";307
"......Wangen an der Aare";521
"......Wangenried";290
"......Wiedlisbach";755
"......Wolfisberg";243
">> Emmental";69017
"......Aefligen";205
"......Alchenstorf";662
"......Burgdorf";1557
"......Ersigen";874
"......Hasle bei Burgdorf";2187
"......Heimiswil";2337
"......Hellsau";151
"......Hindelbank";672
"......Höchstetten";260
"......Kernenried";332
"......Kirchberg (BE)";905
"......Koppigen";692
"......Krauchthal";1936
"......Lyssach";606
"......Mötschwil";292
"......Niederösch";462
"......Oberburg";1415
"......Oberösch";212
"......Rüdtligen-Alchenflüh";270
"......Rumendingen";248
"......Rüti bei Lyssach";132
"......Willadingen";219
"......Wynigen";2824
"......Bätterkinden";1011
"......Utzenstorf";1696
"......Wiler bei Utzenstorf";380
"......Zielebach";191
"......Eggiwil";6025
"......Langnau im Emmental";4847
"......Lauperswil";2114
"......Röthenbach im Emmental";3681
"......Rüderswil";1718
"......Schangnau";3653
"......Signau";2212
"......Trub";6197
"......Trubschachen";1561
"......Affoltern im Emmental";1147
"......Dürrenroth";1404
"......Lützelflüh";2690
"......Rüegsau";1505
"......Sumiswald";5938
