"Lebendgeburten nach institutionellen Gliederungen, Geschlecht und Staatsangehörigkeit des Kindes und nach Altersklasse der Mutter"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht des Kindes";"Staatsangehörigkeit des Kindes";"Altersklasse der Mutter - Total";"Unter 25 Jahren";"25-29 Jahre"
"2013";"Schweiz";"Knabe";"Staatsangehörigkeit des Kindes - Total";42595;3448;10329
"2013";"Schweiz";"Mädchen";"Staatsangehörigkeit des Kindes - Total";40136;3257;9648
"2013";"- Zürich";"Knabe";"Staatsangehörigkeit des Kindes - Total";8195;574;1656
"2013";"- Zürich";"Mädchen";"Staatsangehörigkeit des Kindes - Total";7801;550;1602
"2013";">> Bezirk Affoltern";"Knabe";"Staatsangehörigkeit des Kindes - Total";274;20;41
"2013";">> Bezirk Affoltern";"Mädchen";"Staatsangehörigkeit des Kindes - Total";229;14;36
"2013";"......0001 Aeugst am Albis";"Knabe";"Staatsangehörigkeit des Kindes - Total";11;0;1
"2013";"......0001 Aeugst am Albis";"Mädchen";"Staatsangehörigkeit des Kindes - Total";8;0;1
"2013";"......0002 Affoltern am Albis";"Knabe";"Staatsangehörigkeit des Kindes - Total";61;7;16
"2013";"......0002 Affoltern am Albis";"Mädchen";"Staatsangehörigkeit des Kindes - Total";46;4;14
"2013";"......0003 Bonstetten";"Knabe";"Staatsangehörigkeit des Kindes - Total";28;2;2
"2013";"......0003 Bonstetten";"Mädchen";"Staatsangehörigkeit des Kindes - Total";25;0;4
"2013";"......0004 Hausen am Albis";"Knabe";"Staatsangehörigkeit des Kindes - Total";18;0;3
"2013";"......0004 Hausen am Albis";"Mädchen";"Staatsangehörigkeit des Kindes - Total";12;0;3
"2013";"......0005 Hedingen";"Knabe";"Staatsangehörigkeit des Kindes - Total";20;3;3
"2013";"......0005 Hedingen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";19;4;1
"2013";"......0006 Kappel am Albis";"Knabe";"Staatsangehörigkeit des Kindes - Total";6;1;0
"2013";"......0006 Kappel am Albis";"Mädchen";"Staatsangehörigkeit des Kindes - Total";3;1;0
"2013";"......0007 Knonau";"Knabe";"Staatsangehörigkeit des Kindes - Total";14;1;1
"2013";"......0007 Knonau";"Mädchen";"Staatsangehörigkeit des Kindes - Total";9;1;0
"2013";"......0008 Maschwanden";"Knabe";"Staatsangehörigkeit des Kindes - Total";7;0;1
"2013";"......0008 Maschwanden";"Mädchen";"Staatsangehörigkeit des Kindes - Total";4;0;0
"2013";"......0009 Mettmenstetten";"Knabe";"Staatsangehörigkeit des Kindes - Total";20;1;5
"2013";"......0009 Mettmenstetten";"Mädchen";"Staatsangehörigkeit des Kindes - Total";22;1;5
"2013";"......0010 Obfelden";"Knabe";"Staatsangehörigkeit des Kindes - Total";20;3;4
"2013";"......0010 Obfelden";"Mädchen";"Staatsangehörigkeit des Kindes - Total";22;2;4
"2013";"......0011 Ottenbach";"Knabe";"Staatsangehörigkeit des Kindes - Total";14;0;2
"2013";"......0011 Ottenbach";"Mädchen";"Staatsangehörigkeit des Kindes - Total";10;0;1
"2013";"......0012 Rifferswil";"Knabe";"Staatsangehörigkeit des Kindes - Total";4;0;0
"2013";"......0012 Rifferswil";"Mädchen";"Staatsangehörigkeit des Kindes - Total";4;0;0
"2013";"......0013 Stallikon";"Knabe";"Staatsangehörigkeit des Kindes - Total";29;1;1
"2013";"......0013 Stallikon";"Mädchen";"Staatsangehörigkeit des Kindes - Total";20;0;2
"2013";"......0014 Wettswil am Albis";"Knabe";"Staatsangehörigkeit des Kindes - Total";22;1;2
"2013";"......0014 Wettswil am Albis";"Mädchen";"Staatsangehörigkeit des Kindes - Total";25;1;1
"2013";">> Bezirk Andelfingen";"Knabe";"Staatsangehörigkeit des Kindes - Total";147;8;34
"2013";">> Bezirk Andelfingen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";141;7;27
"2013";"......0021 Adlikon";"Knabe";"Staatsangehörigkeit des Kindes - Total";3;0;1
"2013";"......0021 Adlikon";"Mädchen";"Staatsangehörigkeit des Kindes - Total";1;0;0
"2013";"......0022 Benken (ZH)";"Knabe";"Staatsangehörigkeit des Kindes - Total";4;2;0
"2013";"......0022 Benken (ZH)";"Mädchen";"Staatsangehörigkeit des Kindes - Total";4;0;1
"2013";"......0023 Berg am Irchel";"Knabe";"Staatsangehörigkeit des Kindes - Total";0;0;0
"2013";"......0023 Berg am Irchel";"Mädchen";"Staatsangehörigkeit des Kindes - Total";2;0;0
"2013";"......0024 Buch am Irchel";"Knabe";"Staatsangehörigkeit des Kindes - Total";5;1;1
"2013";"......0024 Buch am Irchel";"Mädchen";"Staatsangehörigkeit des Kindes - Total";9;0;3
"2013";"......0025 Dachsen";"Knabe";"Staatsangehörigkeit des Kindes - Total";13;0;1
"2013";"......0025 Dachsen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";13;1;1
"2013";"......0026 Dorf";"Knabe";"Staatsangehörigkeit des Kindes - Total";1;0;0
"2013";"......0026 Dorf";"Mädchen";"Staatsangehörigkeit des Kindes - Total";1;0;1
"2013";"......0027 Feuerthalen";"Knabe";"Staatsangehörigkeit des Kindes - Total";23;1;7
"2013";"......0027 Feuerthalen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";16;0;3
"2013";"......0028 Flaach";"Knabe";"Staatsangehörigkeit des Kindes - Total";8;2;2
"2013";"......0028 Flaach";"Mädchen";"Staatsangehörigkeit des Kindes - Total";4;0;2
"2013";"......0029 Flurlingen";"Knabe";"Staatsangehörigkeit des Kindes - Total";4;0;2
"2013";"......0029 Flurlingen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";3;1;1
"2013";"......0030 Andelfingen";"Knabe";"Staatsangehörigkeit des Kindes - Total";14;1;3
"2013";"......0030 Andelfingen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";13;0;2
"2013";"......0031 Henggart";"Knabe";"Staatsangehörigkeit des Kindes - Total";10;0;1
"2013";"......0031 Henggart";"Mädchen";"Staatsangehörigkeit des Kindes - Total";16;1;3
"2013";"......0032 Humlikon";"Knabe";"Staatsangehörigkeit des Kindes - Total";3;0;1
"2013";"......0032 Humlikon";"Mädchen";"Staatsangehörigkeit des Kindes - Total";2;0;1
"2013";"......0033 Kleinandelfingen";"Knabe";"Staatsangehörigkeit des Kindes - Total";11;0;2
"2013";"......0033 Kleinandelfingen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";11;1;0
"2013";"......0034 Laufen-Uhwiesen";"Knabe";"Staatsangehörigkeit des Kindes - Total";5;0;1
"2013";"......0034 Laufen-Uhwiesen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";6;1;1
"2013";"......0035 Marthalen";"Knabe";"Staatsangehörigkeit des Kindes - Total";13;0;6
"2013";"......0035 Marthalen";"Mädchen";"Staatsangehörigkeit des Kindes - Total";10;1;3
"2013";"......0036 Oberstammheim";"Knabe";"Staatsangehörigkeit des Kindes - Total";4;0;0
"2013";"......0036 Oberstammheim";"Mädchen";"Staatsangehörigkeit des Kindes - Total";2;0;0
