"Belegung der Wohnungen nach Gemeinde"

"Jahr";"Gemeinde";"Belegungsart - Total";"Bewohnte Wohnungen unabhängig des Meldeverhältnisses der Personen";"Von Personen mit Niederlassung (Hauptwohnsitz) bewohnte Wohnungen"
"2013";"Schweiz";4234906;3563968;3524532
"2013";"Aeugst am Albis";875;799;796
"2013";"Affoltern am Albis";5427;4758;4734
"2013";"Bonstetten";2320;2191;2181
"2013";"Hausen am Albis";1587;1411;1406
"2013";"Hedingen";1569;1472;1463
"2013";"Kappel am Albis";428;396;393
"2013";"Knonau";880;799;797
"2013";"Maschwanden";300;272;270
"2013";"Mettmenstetten";1964;1759;1757
"2013";"Obfelden";2099;1970;1966
"2013";"Ottenbach";1135;1025;1024
"2013";"Rifferswil";412;374;373
"2013";"Stallikon";1524;1406;1405
"2013";"Wettswil am Albis";2065;1936;1927
"2013";"Adlikon";243;227;227
"2013";"Benken (ZH)";386;348;348
"2013";"Berg am Irchel";270;244;244
"2013";"Buch am Irchel";379;342;342
"2013";"Dachsen";810;768;766
"2013";"Dorf";260;238;238
"2013";"Feuerthalen";1699;1556;1548
"2013";"Flaach";583;549;547
"2013";"Flurlingen";648;599;599
"2013";"Andelfingen";971;873;872
"2013";"Henggart";958;907;907
"2013";"Humlikon";188;170;169
"2013";"Kleinandelfingen";954;848;844
"2013";"Laufen-Uhwiesen";746;695;692
"2013";"Marthalen";892;827;825
"2013";"Oberstammheim";546;492;490
"2013";"Ossingen";607;557;555
"2013";"Rheinau";669;588;585
"2013";"Thalheim an der Thur";386;372;372
"2013";"Trüllikon";480;434;434
"2013";"Truttikon";186;165;165
"2013";"Unterstammheim";380;342;340
"2013";"Volken";130;123;123
"2013";"Waltalingen";290;267;267
"2013";"Bachenbülach";1797;1710;1703
"2013";"Bassersdorf";5028;4712;4688
"2013";"Bülach";8772;8032;7981
"2013";"Dietlikon";3477;3245;3214
"2013";"Eglisau";2125;1992;1983
"2013";"Embrach";3962;3627;3611
"2013";"Freienstein-Teufen";997;924;916
"2013";"Glattfelden";2118;1910;1906
"2013";"Hochfelden";850;798;795
"2013";"Höri";1117;1040;1038
"2013";"Hüntwangen";428;401;400
"2013";"Kloten";9340;8545;8436
"2013";"Lufingen";787;746;743
"2013";"Nürensdorf";2484;2344;2334
"2013";"Oberembrach";500;474;472
"2013";"Opfikon";8024;7429;7292
"2013";"Rafz";1832;1714;1705
"2013";"Rorbas";1135;1038;1028
"2013";"Wallisellen";7307;6804;6737
"2013";"Wasterkingen";260;249;248
"2013";"Wil (ZH)";602;548;546
"2013";"Winkel";1952;1854;1847
"2013";"Bachs";277;232;232
"2013";"Boppelsen";559;535;535
"2013";"Buchs (ZH)";2779;2581;2567
"2013";"Dällikon";1693;1613;1608
"2013";"Dänikon";799;774;772
"2013";"Dielsdorf";2820;2567;2551
"2013";"Hüttikon";292;277;277
"2013";"Neerach";1458;1340;1338
"2013";"Niederglatt";2064;1952;1944
"2013";"Niederhasli";3847;3688;3677
"2013";"Niederweningen";1152;1093;1092
"2013";"Oberglatt";2993;2768;2749
"2013";"Oberweningen";783;712;711
"2013";"Otelfingen";1175;1084;1081
"2013";"Regensberg";263;233;231
"2013";"Regensdorf";7763;7419;7369
"2013";"Rümlang";3380;3140;3112
"2013";"Schleinikon";310;288;286
"2013";"Schöfflisdorf";617;576;575
"2013";"Stadel";949;861;859
"2013";"Steinmaur";1539;1477;1469
"2013";"Weiach";496;442;441
"2013";"Bäretswil";2237;2016;2009
"2013";"Bubikon";2994;2790;2777
"2013";"Dürnten";3190;2858;2842
"2013";"Fischenthal";1060;870;867
"2013";"Gossau (ZH)";4311;4022;4016
"2013";"Grüningen";1465;1387;1379
"2013";"Hinwil";4906;4560;4548
"2013";"Rüti (ZH)";5587;5094;5073
"2013";"Seegräben";620;527;525
"2013";"Wald (ZH)";4452;3912;3893
"2013";"Wetzikon (ZH)";11074;10361;10280
"2013";"Adliswil";9115;8393;8316
"2013";"Hirzel";927;840;834
"2013";"Horgen";9463;8591;8528
"2013";"Hütten";371;330;330
"2013";"Kilchberg (ZH)";4212;3780;3749
"2013";"Langnau am Albis";3425;3216;3203
"2013";"Oberrieden";2415;2259;2249
"2013";"Richterswil";6044;5653;5618
"2013";"Rüschlikon";2684;2385;2381
"2013";"Schönenberg (ZH)";819;769;764
"2013";"Thalwil";8914;8253;8181
"2013";"Wädenswil";10339;9376;9287
"2013";"Erlenbach (ZH)";2555;2303;2288
"2013";"Herrliberg";2881;2619;2610
"2013";"Hombrechtikon";3742;3452;3432
"2013";"Küsnacht (ZH)";7152;6184;6162
"2013";"Männedorf";5025;4623;4592
"2013";"Meilen";6595;5685;5666
"2013";"Oetwil am See";2059;1933;1923
"2013";"Stäfa";6735;6282;6246
"2013";"Uetikon am See";2693;2482;2478
"2013";"Zumikon";2493;2199;2190
"2013";"Zollikon";6538;5705;5659
"2013";"Fehraltorf";2770;2611;2597
"2013";"Hittnau";1518;1414;1408
"2013";"Illnau-Effretikon";8005;7438;7388
"2013";"Kyburg";191;177;174
"2013";"Lindau";2296;2158;2152
"2013";"Pfäffikon";5221;4869;4851
"2013";"Russikon";1818;1646;1643
"2013";"Weisslingen";1399;1288;1285
"2013";"Wila";903;822;820
"2013";"Wildberg";438;387;387
"2013";"Dübendorf";12976;11457;11327
"2013";"Egg";3760;3551;3537
"2013";"Fällanden";3813;3609;3599
"2013";"Greifensee";2343;2258;2248
"2013";"Maur";4480;4138;4119
"2013";"Mönchaltorf";1557;1455;1451
"2013";"Schwerzenbach";2374;2229;2214
"2013";"Uster";15843;14771;14647
"2013";"Volketswil";7918;7462;7441
"2013";"Wangen-Brüttisellen";3332;3157;3148
"2013";"Altikon";280;260;259
"2013";"Brütten";890;840;837
"2013";"Dägerlen";402;364;364
"2013";"Dättlikon";317;293;293
"2013";"Dinhard";624;593;593
"2013";"Elgg";1936;1784;1772
"2013";"Ellikon an der Thur";373;339;337
"2013";"Elsau";1505;1383;1380
"2013";"Hagenbuch";485;446;444
"2013";"Hettlingen";1206;1147;1142
"2013";"Hofstetten (ZH)";193;176;175
"2013";"Neftenbach";2301;2172;2165
"2013";"Pfungen";1579;1490;1486
"2013";"Rickenbach (ZH)";1075;1025;1024
"2013";"Schlatt (ZH)";289;279;279
"2013";"Seuzach";3279;3143;3140
"2013";"Turbenthal";1917;1736;1732
"2013";"Winterthur";51857;48468;47969
"2013";"Zell (ZH)";2610;2327;2319
"2013";"Aesch (ZH)";553;520;519
"2013";"Birmensdorf (ZH)";3036;2752;2726
"2013";"Dietikon";12023;11054;10959
"2013";"Geroldswil";2163;2069;2063
"2013";"Oberengstringen";3268;3009;2984
"2013";"Oetwil an der Limmat";1182;1063;1059
"2013";"Schlieren";8163;7552;7488
"2013";"Uitikon";1896;1707;1698
"2013";"Unterengstringen";1628;1499;1495
"2013";"Urdorf";4560;4297;4273
"2013";"Weiningen (ZH)";1924;1807;1803
"2013";"Zürich";214470;189932;185480
"2013";"Bauma";2131;1908;1903
"2013";"Wiesendangen";2523;2358;2353
"2013";"Aarberg";2125;1924;1919
"2013";"Bargen (BE)";428;395;395
"2013";"Grossaffoltern";1347;1209;1203
"2013";"Kallnach";891;805;801
"2013";"Kappelen";580;533;531
"2013";"Lyss";6909;6474;6432
"2013";"Meikirch";1132;1059;1056
"2013";"Radelfingen";602;546;544
"2013";"Rapperswil (BE)";1090;984;980
"2013";"Schüpfen";1749;1569;1558
"2013";"Seedorf (BE)";1449;1292;1284
"2013";"Aarwangen";1943;1789;1782
"2013";"Auswil";212;192;190
"2013";"Bannwil";327;293;292
"2013";"Bleienbach";345;301;298
"2013";"Busswil bei Melchnau";102;91;91
"2013";"Gondiswil";369;311;311
"2013";"Langenthal";7796;7105;7043
"2013";"Lotzwil";1175;1059;1053
"2013";"Madiswil";1511;1323;1313
"2013";"Melchnau";759;638;635
"2013";"Obersteckholz";195;166;166
"2013";"Oeschenbach";115;99;99
"2013";"Reisiswil";93;78;78
"2013";"Roggwil (BE)";1839;1609;1597
"2013";"Rohrbach";719;637;632
"2013";"Rohrbachgraben";166;151;151
"2013";"Rütschelen";256;224;223
"2013";"Schwarzhäusern";222;207;207
"2013";"Thunstetten";1452;1307;1302
"2013";"Ursenbach";450;365;364
"2013";"Wynau";786;659;653
"2013";"Bern";76892;64151;61489
"2013";"Bolligen";2900;2721;2692
"2013";"Bremgarten bei Bern";2011;1901;1889
"2013";"Kirchlindach";1385;1280;1273
"2013";"Köniz";20571;18376;18093
"2013";"Muri bei Bern";6523;5867;5822
"2013";"Oberbalm";440;363;363
"2013";"Stettlen";1394;1275;1265
"2013";"Vechigen";2323;2123;2110
"2013";"Wohlen bei Bern";4325;3990;3965
"2013";"Zollikofen";5026;4667;4588
"2013";"Ittigen";5784;5188;5101
"2013";"Ostermundigen";8673;8054;7938
"2013";"Biel/Bienne";29976;24814;24478
"2013";"Evilard";1253;1077;1063
"2013";"Arch";727;673;666
"2013";"Büetigen";348;325;325
"2013";"Büren an der Aare";1698;1499;1493
"2013";"Diessbach bei Büren";428;381;378
"2013";"Dotzigen";659;583;583
"2013";"Lengnau (BE)";2429;2165;2159
"2013";"Leuzigen";593;528;522
"2013";"Meienried";25;23;23
"2013";"Meinisberg";585;549;545
"2013";"Oberwil bei Büren";390;344;341
"2013";"Pieterlen";1900;1727;1699
"2013";"Rüti bei Büren";421;363;359
"2013";"Wengi";282;251;250
"2013";"Aefligen";519;486;484
"2013";"Alchenstorf";263;236;236
"2013";"Bäriswil";464;440;440
"2013";"Burgdorf";8466;7561;7433
"2013";"Ersigen";756;678;677
"2013";"Hasle bei Burgdorf";1572;1390;1382
"2013";"Heimiswil";765;654;652
"2013";"Hellsau";79;77;77
"2013";"Hindelbank";1137;1022;1012
"2013";"Höchstetten";123;112;111
"2013";"Kernenried";194;185;183
"2013";"Kirchberg (BE)";2725;2565;2549
"2013";"Koppigen";973;872;867
"2013";"Krauchthal";1056;970;959
"2013";"Lyssach";686;629;627
"2013";"Mötschwil";60;53;53
"2013";"Niederösch";109;91;91
"2013";"Oberburg";1407;1253;1242
"2013";"Oberösch";56;46;46
"2013";"Rüdtligen-Alchenflüh";1161;1071;1061
"2013";"Rumendingen";42;36;36
"2013";"Rüti bei Lyssach";78;75;75
"2013";"Willadingen";98;94;94
"2013";"Wynigen";956;824;822
"2013";"Corgémont";812;683;678
"2013";"Cormoret";251;205;205
"2013";"Cortébert";364;317;315
"2013";"Courtelary";660;532;531
"2013";"La Ferrière";284;215;213
"2013";"Mont-Tramelan";56;44;43
"2013";"Orvin";833;508;508
"2013";"Renan (BE)";465;362;360
"2013";"Romont (BE)";109;81;81
"2013";"Saint-Imier";2899;2381;2356
"2013";"Sonceboz-Sombeval";892;766;763
"2013";"Sonvilier";674;534;530
"2013";"Tramelan";2372;1927;1914
"2013";"Villeret";480;424;418
"2013";"Sauge";556;357;353
"2013";"Péry-La Heutte";1011;817;814
"2013";"Brüttelen";298;265;263
"2013";"Erlach";715;595;587
"2013";"Finsterhennen";207;192;192
"2013";"Gals";369;323;319
"2013";"Gampelen";419;337;333
"2013";"Ins";1593;1409;1399
"2013";"Lüscherz";380;254;254
"2013";"Müntschemier";609;556;551
"2013";"Siselen";286;250;250
"2013";"Treiten";208;179;178
"2013";"Tschugg";234;205;201
"2013";"Vinelz";510;382;382
"2013";"Bangerten";78;72;71
"2013";"Bätterkinden";1464;1324;1319
"2013";"Deisswil bei Münchenbuchsee";43;37;37
"2013";"Diemerswil";75;70;70
"2013";"Fraubrunnen";2207;2047;2033
"2013";"Jegenstorf";2542;2392;2372
"2013";"Iffwil";177;161;160
"2013";"Mattstetten";249;230;229
"2013";"Moosseedorf";1868;1651;1635
"2013";"Münchenbuchsee";4679;4417;4366
"2013";"Urtenen-Schönbühl";3056;2831;2802
"2013";"Utzenstorf";1915;1774;1768
"2013";"Wiggiswil";52;46;46
"2013";"Wiler bei Utzenstorf";402;374;373
"2013";"Zielebach";155;150;149
"2013";"Zuzwil (BE)";237;231;230
"2013";"Adelboden";3700;1446;1403
"2013";"Aeschi bei Spiez";1311;940;933
"2013";"Frutigen";3621;2799;2770
"2013";"Kandergrund";476;355;353
"2013";"Kandersteg";1458;608;600
"2013";"Krattigen";694;502;499
"2013";"Reichenbach im Kandertal";2392;1508;1501
"2013";"Beatenberg";1556;572;565
"2013";"Bönigen";1256;1086;1073
"2013";"Brienz (BE)";2419;1402;1367
"2013";"Brienzwiler";356;232;229
"2013";"Därligen";291;195;194
"2013";"Grindelwald";4889;1922;1861
"2013";"Gsteigwiler";250;190;190
"2013";"Gündlischwand";191;140;139
"2013";"Habkern";519;266;266
"2013";"Hofstetten bei Brienz";333;232;228
"2013";"Interlaken";3276;2791;2724
"2013";"Iseltwald";448;197;195
"2013";"Lauterbrunnen";3425;1178;1138
"2013";"Leissigen";649;451;442
"2013";"Lütschental";145;111;106
"2013";"Matten bei Interlaken";1947;1762;1740
"2013";"Niederried bei Interlaken";339;173;171
"2013";"Oberried am Brienzersee";415;240;237
"2013";"Ringgenberg (BE)";1631;1211;1202
"2013";"Saxeten";100;48;48
"2013";"Schwanden bei Brienz";442;275;270
"2013";"Unterseen";3217;2685;2630
"2013";"Wilderswil";1446;1163;1150
"2013";"Arni (BE)";440;386;385
"2013";"Biglen";847;769;766
"2013";"Bowil";628;567;565
"2013";"Brenzikofen";240;224;224
"2013";"Freimettigen";199;191;191
"2013";"Grosshöchstetten";1621;1477;1468
"2013";"Häutligen";114;103;102
"2013";"Herbligen";257;232;231
"2013";"Kiesen";419;378;376
"2013";"Konolfingen";2366;2143;2130
"2013";"Landiswil";296;261;261
"2013";"Linden";536;476;470
"2013";"Mirchel";263;238;238
"2013";"Münsingen";5462;5104;5076
"2013";"Niederhünigen";285;250;247
"2013";"Oberdiessbach";1596;1422;1415
"2013";"Oberthal";362;319;318
"2013";"Oppligen";284;265;265
"2013";"Rubigen";1370;1291;1276
"2013";"Schlosswil";289;270;267
"2013";"Tägertschi";168;154;154
"2013";"Walkringen";848;748;744
"2013";"Worb";5527;5081;5048
"2013";"Zäziwil";748;690;687
"2013";"Oberhünigen";133;120;120
"2013";"Allmendingen";241;220;220
"2013";"Wichtrach";1896;1773;1765
"2013";"Clavaleyres";23;19;19
