"Emplois, exploitations agricoles, surface agricole utile (SAU) et animaux de rente selon le niveau de classification 1 par niveau géographique institutionnel"

"Année";"Canton (-) / District (>>) / Commune (......)";"Système d'exploitation";"Cheptel - Bovins"
"2013";"- Suisse";"Système d'exploitation - Total";1557474
"2013";"- Zürich";"Système d'exploitation - Total";93233
"2013";">>  Bezirk Affoltern";"Système d'exploitation - Total";9315
"2013";"......0001 Aeugst am Albis";"Système d'exploitation - Total";622
"2013";"......0002 Affoltern am Albis";"Système d'exploitation - Total";596
"2013";"......0003 Bonstetten";"Système d'exploitation - Total";314
"2013";"......0004 Hausen am Albis";"Système d'exploitation - Total";1368
"2013";"......0005 Hedingen";"Système d'exploitation - Total";312
"2013";"......0006 Kappel am Albis";"Système d'exploitation - Total";1012
"2013";"......0007 Knonau";"Système d'exploitation - Total";749
"2013";"......0008 Maschwanden";"Système d'exploitation - Total";522
"2013";"......0009 Mettmenstetten";"Système d'exploitation - Total";1889
"2013";"......0010 Obfelden";"Système d'exploitation - Total";521
"2013";"......0011 Ottenbach";"Système d'exploitation - Total";195
"2013";"......0012 Rifferswil";"Système d'exploitation - Total";618
"2013";"......0013 Stallikon";"Système d'exploitation - Total";551
"2013";"......0014 Wettswil am Albis";"Système d'exploitation - Total";46
"2013";">>  Bezirk Andelfingen";"Système d'exploitation - Total";8566
"2013";"......0021 Adlikon";"Système d'exploitation - Total";429
"2013";"......0022 Benken (ZH)";"Système d'exploitation - Total";323
"2013";"......0023 Berg am Irchel";"Système d'exploitation - Total";190
"2013";"......0024 Buch am Irchel";"Système d'exploitation - Total";962
"2013";"......0025 Dachsen";"Système d'exploitation - Total";0
"2013";"......0026 Dorf";"Système d'exploitation - Total";117
"2013";"......0027 Feuerthalen";"Système d'exploitation - Total";0
"2013";"......0028 Flaach";"Système d'exploitation - Total";532
"2013";"......0029 Flurlingen";"Système d'exploitation - Total";12
"2013";"......0030 Andelfingen";"Système d'exploitation - Total";128
"2013";"......0031 Henggart";"Système d'exploitation - Total";20
"2013";"......0032 Humlikon";"Système d'exploitation - Total";46
"2013";"......0033 Kleinandelfingen";"Système d'exploitation - Total";380
"2013";"......0034 Laufen-Uhwiesen";"Système d'exploitation - Total";278
"2013";"......0035 Marthalen";"Système d'exploitation - Total";439
"2013";"......0036 Oberstammheim";"Système d'exploitation - Total";791
"2013";"......0037 Ossingen";"Système d'exploitation - Total";1195
"2013";"......0038 Rheinau";"Système d'exploitation - Total";125
"2013";"......0039 Thalheim an der Thur";"Système d'exploitation - Total";543
"2013";"......0040 Trüllikon";"Système d'exploitation - Total";403
"2013";"......0041 Truttikon";"Système d'exploitation - Total";480
"2013";"......0042 Unterstammheim";"Système d'exploitation - Total";468
"2013";"......0043 Volken";"Système d'exploitation - Total";212
"2013";"......0044 Waltalingen";"Système d'exploitation - Total";493
"2013";">>  Bezirk Bülach";"Système d'exploitation - Total";7500
"2013";"......0051 Bachenbülach";"Système d'exploitation - Total";23
"2013";"......0052 Bassersdorf";"Système d'exploitation - Total";325
"2013";"......0053 Bülach";"Système d'exploitation - Total";362
"2013";"......0054 Dietlikon";"Système d'exploitation - Total";47
"2013";"......0055 Eglisau";"Système d'exploitation - Total";210
"2013";"......0056 Embrach";"Système d'exploitation - Total";501
"2013";"......0057 Freienstein-Teufen";"Système d'exploitation - Total";579
"2013";"......0058 Glattfelden";"Système d'exploitation - Total";762
"2013";"......0059 Hochfelden";"Système d'exploitation - Total";349
"2013";"......0060 Höri";"Système d'exploitation - Total";379
"2013";"......0061 Hüntwangen";"Système d'exploitation - Total";107
"2013";"......0062 Kloten";"Système d'exploitation - Total";566
"2013";"......0063 Lufingen";"Système d'exploitation - Total";57
"2013";"......0064 Nürensdorf";"Système d'exploitation - Total";428
"2013";"......0065 Oberembrach";"Système d'exploitation - Total";933
"2013";"......0066 Opfikon";"Système d'exploitation - Total";101
"2013";"......0067 Rafz";"Système d'exploitation - Total";637
"2013";"......0068 Rorbas";"Système d'exploitation - Total";172
"2013";"......0069 Wallisellen";"Système d'exploitation - Total";62
"2013";"......0070 Wasterkingen";"Système d'exploitation - Total";257
"2013";"......0071 Wil (ZH)";"Système d'exploitation - Total";449
"2013";"......0072 Winkel";"Système d'exploitation - Total";194
"2013";">>  Bezirk Dielsdorf";"Système d'exploitation - Total";7844
"2013";"......0081 Bachs";"Système d'exploitation - Total";583
"2013";"......0082 Boppelsen";"Système d'exploitation - Total";118
"2013";"......0083 Buchs (ZH)";"Système d'exploitation - Total";48
"2013";"......0084 Dällikon";"Système d'exploitation - Total";185
"2013";"......0085 Dänikon";"Système d'exploitation - Total";79
"2013";"......0086 Dielsdorf";"Système d'exploitation - Total";81
"2013";"......0087 Hüttikon";"Système d'exploitation - Total";223
"2013";"......0088 Neerach";"Système d'exploitation - Total";627
"2013";"......0089 Niederglatt";"Système d'exploitation - Total";270
"2013";"......0090 Niederhasli";"Système d'exploitation - Total";881
"2013";"......0091 Niederweningen";"Système d'exploitation - Total";463
"2013";"......0092 Oberglatt";"Système d'exploitation - Total";61
"2013";"......0093 Oberweningen";"Système d'exploitation - Total";148
"2013";"......0094 Otelfingen";"Système d'exploitation - Total";359
"2013";"......0095 Regensberg";"Système d'exploitation - Total";117
"2013";"......0096 Regensdorf";"Système d'exploitation - Total";814
"2013";"......0097 Rümlang";"Système d'exploitation - Total";248
"2013";"......0098 Schleinikon";"Système d'exploitation - Total";366
"2013";"......0099 Schöfflisdorf";"Système d'exploitation - Total";143
"2013";"......0100 Stadel";"Système d'exploitation - Total";1505
"2013";"......0101 Steinmaur";"Système d'exploitation - Total";358
"2013";"......0102 Weiach";"Système d'exploitation - Total";167
"2013";">>  Bezirk Hinwil";"Système d'exploitation - Total";14360
"2013";"......0111 Bäretswil";"Système d'exploitation - Total";1638
"2013";"......0112 Bubikon";"Système d'exploitation - Total";1168
"2013";"......0113 Dürnten";"Système d'exploitation - Total";849
"2013";"......0114 Fischenthal";"Système d'exploitation - Total";1348
"2013";"......0115 Gossau (ZH)";"Système d'exploitation - Total";1770
"2013";"......0116 Grüningen";"Système d'exploitation - Total";914
"2013";"......0117 Hinwil";"Système d'exploitation - Total";2221
"2013";"......0118 Rüti (ZH)";"Système d'exploitation - Total";681
"2013";"......0119 Seegräben";"Système d'exploitation - Total";389
"2013";"......0120 Wald (ZH)";"Système d'exploitation - Total";2477
