"Todesfälle nach institutionellen Gliederungen, Geschlecht, Staatsangehörigkeit, Zivilstand und Altersklasse"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht";"Staatsangehörigkeit";"Zivilstand - Total 40-49 Jahre";"Zivilstand - Total 50-59 Jahre";"Zivilstand - Total 60-69 Jahre";"Zivilstand - Total 70-79 Jahre";"Zivilstand - Total 80-89 Jahre";"Zivilstand - Total 90 Jahre und mehr"
"2013";"Schweiz / Suisse / Svizzera / Switzerland";"Geschlecht - Total";"Staatsangehörigkeit - Total";1490;3517;6927;12042;23430;16174
"2013";"- Zürich";"Geschlecht - Total";"Staatsangehörigkeit - Total";270;583;1101;1981;3958;2674
"2013";">> Bezirk Affoltern";"Geschlecht - Total";"Staatsangehörigkeit - Total";12;20;46;66;109;69
"2013";"......0001 Aeugst am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;1;0;3;7;1
"2013";"......0002 Affoltern am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;3;10;19;28;13
"2013";"......0003 Bonstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;1;3;6;6;6
"2013";"......0004 Hausen am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;1;8;8;10;5
"2013";"......0005 Hedingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;5;2;4;5;5
"2013";"......0006 Kappel am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;0;3;1
"2013";"......0007 Knonau";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;2;1;9;6
"2013";"......0008 Maschwanden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;0;2;0
"2013";"......0009 Mettmenstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;3;4;4;2
"2013";"......0010 Obfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;4;7;8;7
"2013";"......0011 Ottenbach";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;3;2;4;6
"2013";"......0012 Rifferswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;0;2;4;0
"2013";"......0013 Stallikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;0;5;1;4;6
"2013";"......0014 Wettswil am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;3;5;9;15;11
"2013";">> Bezirk Andelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;13;25;33;72;55
"2013";"......0021 Adlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;1;1;1
"2013";"......0022 Benken (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;1;2;1;3
"2013";"......0023 Berg am Irchel";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;0;1;0;3
"2013";"......0024 Buch am Irchel";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;0;3;1
"2013";"......0025 Dachsen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;3;2;4;2
"2013";"......0026 Dorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;1;1;1
"2013";"......0027 Feuerthalen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;4;4;7;9;8
"2013";"......0028 Flaach";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;0;2;4;3
"2013";"......0029 Flurlingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;2;1;3;1
"2013";"......0030 Andelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;4;4;7;6
"2013";"......0031 Henggart";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;1;1;4;1
"2013";"......0032 Humlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;0;1;0
"2013";"......0033 Kleinandelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;2;1;4;3
"2013";"......0034 Laufen-Uhwiesen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;2;4;0
"2013";"......0035 Marthalen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;2;2;6;4
"2013";"......0036 Oberstammheim";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;1;4;6
"2013";"......0037 Ossingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;1;0;6;2
"2013";"......0038 Rheinau";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;1;1;3;5
"2013";"......0039 Thalheim an der Thur";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;0;1;0
"2013";"......0040 Trüllikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;1;2;0
"2013";"......0041 Truttikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;0;1;2
"2013";"......0042 Unterstammheim";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;0;2;2
"2013";"......0043 Volken";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;1;1;1
"2013";"......0044 Waltalingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;2;0;0
"2013";">> Bezirk Bülach";"Geschlecht - Total";"Staatsangehörigkeit - Total";19;65;97;193;289;197
"2013";"......0051 Bachenbülach";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;4;8;4;6
"2013";"......0052 Bassersdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;3;6;13;26;15
"2013";"......0053 Bülach";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;8;9;36;37;30
"2013";"......0054 Dietlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;3;3;7;10;8
"2013";"......0055 Eglisau";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;7;5;10;6;5
"2013";"......0056 Embrach";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;7;8;12;7
"2013";"......0057 Freienstein-Teufen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;2;3;4;1
"2013";"......0058 Glattfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;6;4;4;10;11
"2013";"......0059 Hochfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;1;3;6;0
"2013";"......0060 Höri";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;6;0;4;6
"2013";"......0061 Hüntwangen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;0;2;1
"2013";"......0062 Kloten";"Geschlecht - Total";"Staatsangehörigkeit - Total";7;8;7;33;60;32
"2013";"......0063 Lufingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;3;1;2;2
"2013";"......0064 Nürensdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;7;5;7;2
"2013";"......0065 Oberembrach";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;1;1;1
"2013";"......0066 Opfikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;5;15;21;30;24
"2013";"......0067 Rafz";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;3;2;7;5;11
"2013";"......0068 Rorbas";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;3;4;9;3
"2013";"......0069 Wallisellen";"Geschlecht - Total";"Staatsangehörigkeit - Total";4;7;8;25;42;27
"2013";"......0070 Wasterkingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;1;0;0;1;0
"2013";"......0071 Wil (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;2;6;3
"2013";"......0072 Winkel";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;4;3;2;5;2
"2013";">> Bezirk Dielsdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";19;31;80;111;141;75
"2013";"......0081 Bachs";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;0;0;4;2
"2013";"......0082 Boppelsen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;1;2;2;0
"2013";"......0083 Buchs (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;3;0;5;4;2
"2013";"......0084 Dällikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;3;4;3;6;0
"2013";"......0085 Dänikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;2;1;0;3
"2013";"......0086 Dielsdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;6;5;12;6
"2013";"......0087 Hüttikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;0;1;1
"2013";"......0088 Neerach";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;4;4;4;1
"2013";"......0089 Niederglatt";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;6;6;10;9
"2013";"......0090 Niederhasli";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;5;9;15;15;2
"2013";"......0091 Niederweningen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;3;5;2;3;5
"2013";"......0092 Oberglatt";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;8;10;9;7
"2013";"......0093 Oberweningen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;3;1;0;1
"2013";"......0094 Otelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;1;4;3;2
"2013";"......0095 Regensberg";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;3;1;0
"2013";"......0096 Regensdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";5;6;18;32;39;14
"2013";"......0097 Rümlang";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;2;3;8;13;10
"2013";"......0098 Schleinikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;2;1;3;0
"2013";"......0099 Schöfflisdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;4;0;2;3
"2013";"......0100 Stadel";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;0;4;3;1
"2013";"......0101 Steinmaur";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;1;3;4;6;4
"2013";"......0102 Weiach";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;1;1;1;1;2
"2013";">> Bezirk Hinwil";"Geschlecht - Total";"Staatsangehörigkeit - Total";14;40;83;129;254;141
"2013";"......0111 Bäretswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;3;5;9;15;6
"2013";"......0112 Bubikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;12;3;17;12
"2013";"......0113 Dürnten";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;5;5;11;23;9
"2013";"......0114 Fischenthal";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;1;7;3;3;6
"2013";"......0115 Gossau (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;7;6;14;18;14
"2013";"......0116 Grüningen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;3;3;6;2
"2013";"......0117 Hinwil";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;6;8;22;35;18
"2013";"......0118 Rüti (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";3;5;9;14;41;23
"2013";"......0119 Seegräben";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;0;0;3;1
"2013";"......0120 Wald (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;3;10;10;24;20
"2013";"......0121 Wetzikon (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";4;8;18;40;69;30
"2013";">> Bezirk Horgen";"Geschlecht - Total";"Staatsangehörigkeit - Total";15;49;79;190;358;238
"2013";"......0131 Adliswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;7;13;27;45;23
"2013";"......0132 Hirzel";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;1;4;9;9
"2013";"......0133 Horgen";"Geschlecht - Total";"Staatsangehörigkeit - Total";4;7;16;37;65;41
"2013";"......0134 Hütten";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;0;0;3;2
"2013";"......0135 Kilchberg (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;4;11;34;18
"2013";"......0136 Langnau am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;5;2;12;23;10
"2013";"......0137 Oberrieden";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;1;12;15;7
"2013";"......0138 Richterswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";3;4;8;16;27;31
"2013";"......0139 Rüschlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;1;7;15;16
"2013";"......0140 Schönenberg (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;1;2;3;2
"2013";"......0141 Thalwil";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;7;14;28;60;41
"2013";"......0142 Wädenswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;12;18;34;59;38
"2013";">> Bezirk Meilen";"Geschlecht - Total";"Staatsangehörigkeit - Total";20;39;65;152;286;237
"2013";"......0151 Erlenbach (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;2;5;14;5
"2013";"......0152 Herrliberg";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;4;5;10;14;10
"2013";"......0153 Hombrechtikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";3;7;9;16;23;13
"2013";"......0154 Küsnacht (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;5;12;22;41;38
"2013";"......0155 Männedorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";4;4;6;16;28;15
"2013";"......0156 Meilen";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;4;6;15;42;46
"2013";"......0157 Oetwil am See";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;2;4;5;3;0
"2013";"......0158 Stäfa";"Geschlecht - Total";"Staatsangehörigkeit - Total";4;9;11;26;35;34
"2013";"......0159 Uetikon am See";"Geschlecht - Total";"Staatsangehörigkeit - Total";3;0;3;6;12;11
"2013";"......0160 Zumikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;3;14;22;12
"2013";"......0161 Zollikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;1;4;17;52;53
"2013";">> Bezirk Pfäffikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";11;23;40;72;140;68
"2013";"......0172 Fehraltorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;3;4;5;9;4
"2013";"......0173 Hittnau";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;2;3;3;8;3
"2013";"......0174 Illnau-Effretikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";4;9;10;22;35;20
"2013";"......0175 Kyburg";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0;1;0;1
"2013";"......0176 Lindau";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;3;3;3;8;6
"2013";"......0177 Pfäffikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;4;8;16;38;17
"2013";"......0178 Russikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;1;4;11;5
"2013";"......0180 Weisslingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;4;4;11;2
"2013";"......0181 Wila";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;2;2;9;3
"2013";"......0182 Wildberg";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;0;2;2;0
"2013";"......0297 Bauma";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;2;5;10;9;7
"2013";">> Bezirk Uster";"Geschlecht - Total";"Staatsangehörigkeit - Total";24;47;107;152;274;148
"2013";"......0191 Dübendorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;9;23;38;67;33
"2013";"......0192 Egg";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;5;6;17;22;11
"2013";"......0193 Fällanden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;4;8;11;21;11
"2013";"......0194 Greifensee";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;3;5;5;8;9
"2013";"......0195 Maur";"Geschlecht - Total";"Staatsangehörigkeit - Total";3;2;12;3;23;10
