"Todesfälle nach institutionellen Gliederungen, Geschlecht, Staatsangehörigkeit, Zivilstand und Altersklasse"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht";"Staatsangehörigkeit";"Zivilstand - Total Unter 20 Jahre";"Zivilstand - Total 20-29 Jahre";"Zivilstand - Total 30-39 Jahre"
"2013";"Schweiz / Suisse / Svizzera / Switzerland";"Geschlecht - Total";"Staatsangehörigkeit - Total";524;333;524
"2013";"- Zürich";"Geschlecht - Total";"Staatsangehörigkeit - Total";101;47;77
"2013";">> Bezirk Affoltern";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;3;0
"2013";"......0001 Aeugst am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0002 Affoltern am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;0
"2013";"......0003 Bonstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0004 Hausen am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;0
"2013";"......0005 Hedingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0006 Kappel am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0007 Knonau";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0008 Maschwanden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0009 Mettmenstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";1;0;0
"2013";"......0010 Obfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;1;0
"2013";"......0011 Ottenbach";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0012 Rifferswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0013 Stallikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0014 Wettswil am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";">> Bezirk Andelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";2;0;1
"2013";"......0021 Adlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0022 Benken (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0023 Berg am Irchel";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0024 Buch am Irchel";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
"2013";"......0025 Dachsen";"Geschlecht - Total";"Staatsangehörigkeit - Total";0;0;0
