"Todesfälle nach institutionellen Gliederungen, Geschlecht, Staatsangehörigkeit, Zivilstand und Altersklasse"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht";"Staatsangehörigkeit";"Zivilstand - Total Altersklasse - Total"
"2013";"Schweiz / Suisse / Svizzera / Switzerland";"Geschlecht - Total";"Staatsangehörigkeit - Total";64961
"2013";"Schweiz / Suisse / Svizzera / Switzerland";"Geschlecht - Total";"Schweiz";59019
"2013";"Schweiz / Suisse / Svizzera / Switzerland";"Geschlecht - Total";"Ausland";5942
"2013";"- Zürich";"Geschlecht - Total";"Staatsangehörigkeit - Total";10792
"2013";"- Zürich";"Geschlecht - Total";"Schweiz";9765
"2013";"- Zürich";"Geschlecht - Total";"Ausland";1027
"2013";">> Bezirk Affoltern";"Geschlecht - Total";"Staatsangehörigkeit - Total";326
"2013";">> Bezirk Affoltern";"Geschlecht - Total";"Schweiz";306
"2013";">> Bezirk Affoltern";"Geschlecht - Total";"Ausland";20
"2013";"......0001 Aeugst am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";13
"2013";"......0001 Aeugst am Albis";"Geschlecht - Total";"Schweiz";12
"2013";"......0001 Aeugst am Albis";"Geschlecht - Total";"Ausland";1
"2013";"......0002 Affoltern am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";75
"2013";"......0002 Affoltern am Albis";"Geschlecht - Total";"Schweiz";67
"2013";"......0002 Affoltern am Albis";"Geschlecht - Total";"Ausland";8
"2013";"......0003 Bonstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";24
"2013";"......0003 Bonstetten";"Geschlecht - Total";"Schweiz";24
"2013";"......0003 Bonstetten";"Geschlecht - Total";"Ausland";0
"2013";"......0004 Hausen am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";35
"2013";"......0004 Hausen am Albis";"Geschlecht - Total";"Schweiz";35
"2013";"......0004 Hausen am Albis";"Geschlecht - Total";"Ausland";0
"2013";"......0005 Hedingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";22
"2013";"......0005 Hedingen";"Geschlecht - Total";"Schweiz";21
"2013";"......0005 Hedingen";"Geschlecht - Total";"Ausland";1
"2013";"......0006 Kappel am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2013";"......0006 Kappel am Albis";"Geschlecht - Total";"Schweiz";5
