"Leer stehende Wohnungen nach Anzahl Wohnräumen und Typ der Leerwohnung"

"Kanton (-) / Gemeinde (......)";"Anzahl Wohnräume";"Leerwohnung (Typ)";"2013";"2014";"2015";"2016"
"Schweiz";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";40423;45355;50476;56518
"- Kanton Zürich";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";4168;5359;5518;6146
"......0001 Aeugst am Albis";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";4;14;18;19
"......0002 Affoltern am Albis";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";22;32;45;43
"......0003 Bonstetten";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";4;34;15;53
"......0004 Hausen am Albis";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";21;17;15;15
"......0005 Hedingen";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";37;12;26;15
"......0006 Kappel am Albis";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";24;21;35;18
"......0007 Knonau";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";15;14;4;15
"......0008 Maschwanden";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";3;7;5;7
"......0009 Mettmenstetten";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";47;19;24;34
"......0010 Obfelden";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";15;20;16;40
"......0011 Ottenbach";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";4;14;26;16
"......0012 Rifferswil";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";1;2;3;20
"......0013 Stallikon";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";15;13;13;12
"......0014 Wettswil am Albis";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";0;0;3;5
"......0021 Adlikon";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";4;2;6;2
