"Population résidante au domicile économique selon les niveaux géographiques institutionnels, la langue principale et la nationalité, 1970-2000"

"Année";"Canton (-) / District (>>) / Commune (......)";"Allemand Suisses";"Français Suisses";"Italien Suisses";"Romanche Suisses"
"2000";"Suisse";4201237;1216304;248980;33868
"2000";"- Kanton Zürich";915926;12971;10953;2419
"2000";">> Bezirk Affoltern";34433;299;190;67
"2000";"......0001 Aeugst am Albis";1412;12;5;1
"2000";"......0002 Affoltern am Albis";7215;58;41;13
"2000";"......0003 Bonstetten";3282;29;27;11
"2000";"......0004 Hausen am Albis";2706;16;16;1
"2000";"......0005 Hedingen";2420;21;17;9
"2000";"......0006 Kappel am Albis";802;5;1;0
"2000";"......0007 Knonau";1267;7;9;0
"2000";"......0008 Maschwanden";521;2;0;0
"2000";"......0009 Mettmenstetten";3278;17;17;3
"2000";"......0010 Obfelden";3430;29;20;13
"2000";"......0011 Ottenbach";1947;18;11;4
"2000";"......0012 Rifferswil";679;4;2;1
"2000";"......0013 Stallikon";2211;36;5;4
"2000";"......0014 Wettswil am Albis";3263;45;19;7
"2000";">> Bezirk Andelfingen";23696;109;66;27
"2000";"......0021 Adlikon";563;1;0;0
"2000";"......0022 Benken (ZH)";642;9;3;0
"2000";"......0023 Berg am Irchel";529;2;2;1
"2000";"......0024 Buch am Irchel";694;1;0;0
"2000";"......0025 Dachsen";1376;9;9;2
"2000";"......0026 Dorf";541;2;0;0
"2000";"......0027 Feuerthalen";2445;11;15;2
"2000";"......0028 Flaach";1027;4;1;4
"2000";"......0029 Flurlingen";1118;8;1;1
"2000";"......0030 Andelfingen";1372;3;4;0
"2000";"......0031 Henggart";1453;8;3;0
"2000";"......0032 Humlikon";375;4;1;2
"2000";"......0033 Kleinandelfingen";1592;7;5;1
"2000";"......0034 Laufen-Uhwiesen";1265;6;2;1
"2000";"......0035 Marthalen";1662;10;1;7
"2000";"......0036 Oberstammheim";1008;4;5;0
"2000";"......0037 Ossingen";1147;2;4;3
"2000";"......0038 Rheinau";1329;11;3;1
"2000";"......0039 Thalheim an der Thur";572;1;1;0
"2000";"......0040 Trüllikon";909;1;2;0
"2000";"......0041 Truttikon";406;0;2;1
"2000";"......0042 Unterstammheim";787;2;0;1
"2000";"......0043 Volken";242;0;1;0
"2000";"......0044 Waltalingen";642;3;1;0
"2000";">> Bezirk Bülach";81101;1188;819;207
"2000";"......0051 Bachenbülach";2079;39;21;5
"2000";"......0052 Bassersdorf";5795;81;69;8
"2000";"......0053 Bülach";10462;128;111;17
"2000";"......0054 Dietlikon";4678;76;47;14
"2000";"......0055 Eglisau";2399;26;9;5
"2000";"......0056 Embrach";5596;73;42;24
"2000";"......0057 Freienstein-Teufen";1812;15;8;2
"2000";"......0058 Glattfelden";2749;15;17;7
"2000";"......0059 Hochfelden";1314;20;8;1
"2000";"......0060 Höri";1498;11;20;0
"2000";"......0061 Hüntwangen";739;4;4;0
"2000";"......0062 Kloten";11490;272;170;40
"2000";"......0063 Lufingen";977;12;6;0
"2000";"......0064 Nürensdorf";3829;44;14;4
"2000";"......0065 Oberembrach";928;10;4;0
"2000";"......0066 Opfikon";6815;142;137;33
"2000";"......0067 Rafz";2775;12;7;4
"2000";"......0068 Rorbas";1730;28;10;7
"2000";"......0069 Wallisellen";8827;124;96;28
"2000";"......0070 Wasterkingen";529;4;0;1
"2000";"......0071 Wil (ZH)";1216;7;1;0
"2000";"......0072 Winkel";2864;45;18;7
"2000";">> Bezirk Dielsdorf";51517;584;393;121
"2000";"......0081 Bachs";534;6;2;0
"2000";"......0082 Boppelsen";885;5;2;7
"2000";"......0083 Buchs (ZH)";3331;39;26;9
"2000";"......0084 Dällikon";2391;24;18;2
"2000";"......0085 Dänikon";1330;8;13;1
"2000";"......0086 Dielsdorf";3579;43;34;8
"2000";"......0087 Hüttikon";433;2;2;0
"2000";"......0088 Neerach";2087;38;5;4
"2000";"......0089 Niederglatt";2923;27;15;6
"2000";"......0090 Niederhasli";5739;82;46;4
"2000";"......0091 Niederweningen";1862;26;12;5
"2000";"......0092 Oberglatt";3374;39;35;14
"2000";"......0093 Oberweningen";1095;9;8;2
"2000";"......0094 Otelfingen";1555;17;9;1
"2000";"......0095 Regensberg";425;3;0;0
"2000";"......0096 Regensdorf";9642;129;105;36
"2000";"......0097 Rümlang";4083;48;44;12
"2000";"......0098 Schleinikon";593;3;2;1
"2000";"......0099 Schöfflisdorf";979;8;1;3
"2000";"......0100 Stadel";1570;6;5;1
"2000";"......0101 Steinmaur";2227;18;7;4
"2000";"......0102 Weiach";880;4;2;1
"2000";">> Bezirk Hinwil";62062;319;423;115
"2000";"......0111 Bäretswil";3704;12;18;6
"2000";"......0112 Bubikon";4830;28;21;8
"2000";"......0113 Dürnten";4996;21;28;9
"2000";"......0114 Fischenthal";1772;4;6;0
"2000";"......0115 Gossau (ZH)";7612;37;40;19
"2000";"......0116 Grüningen";2651;17;17;3
