"Scheidungen nach institutionellen Gliederungen und Ehedauer"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Ehedauer - Total";"0-4 Jahre";"5-9 Jahre";"10-14 Jahre";"15-19 Jahre";"20 Jahre und mehr"
"2013";"Schweiz";17119;2079;4563;3199;2277;5001
"2013";"- Zürich";3195;503;921;596;380;795
"2013";">> Bezirk Affoltern";98;11;18;15;21;33
"2013";"......0001 Aeugst am Albis";1;0;0;0;0;1
"2013";"......0002 Affoltern am Albis";28;4;6;3;5;10
"2013";"......0003 Bonstetten";14;0;3;2;4;5
"2013";"......0004 Hausen am Albis";5;0;1;0;2;2
"2013";"......0005 Hedingen";5;2;0;0;2;1
"2013";"......0006 Kappel am Albis";2;1;0;1;0;0
"2013";"......0007 Knonau";5;0;1;0;0;4
"2013";"......0008 Maschwanden";1;0;0;1;0;0
"2013";"......0009 Mettmenstetten";4;1;0;0;2;1
"2013";"......0010 Obfelden";9;2;2;3;1;1
"2013";"......0011 Ottenbach";4;0;0;1;2;1
"2013";"......0012 Rifferswil";1;0;1;0;0;0
"2013";"......0013 Stallikon";9;0;3;3;1;2
"2013";"......0014 Wettswil am Albis";10;1;1;1;2;5
"2013";">> Bezirk Andelfingen";65;9;17;9;9;21
"2013";"......0021 Adlikon";3;0;1;1;0;1
"2013";"......0022 Benken (ZH)";3;0;1;0;0;2
"2013";"......0023 Berg am Irchel";0;0;0;0;0;0
"2013";"......0024 Buch am Irchel";2;1;1;0;0;0
"2013";"......0025 Dachsen";4;1;2;0;0;1
"2013";"......0026 Dorf";0;0;0;0;0;0
"2013";"......0027 Feuerthalen";9;0;3;1;1;4
"2013";"......0028 Flaach";2;0;2;0;0;0
"2013";"......0029 Flurlingen";5;1;2;1;1;0
"2013";"......0030 Andelfingen";6;2;2;0;1;1
"2013";"......0031 Henggart";3;1;0;0;1;1
"2013";"......0032 Humlikon";1;1;0;0;0;0
"2013";"......0033 Kleinandelfingen";3;0;0;0;1;2
"2013";"......0034 Laufen-Uhwiesen";4;0;0;1;1;2
"2013";"......0035 Marthalen";3;0;1;0;0;2
"2013";"......0036 Oberstammheim";2;0;0;1;1;0
"2013";"......0037 Ossingen";3;0;0;2;0;1
"2013";"......0038 Rheinau";2;0;0;1;0;1
"2013";"......0039 Thalheim an der Thur";0;0;0;0;0;0
"2013";"......0040 Trüllikon";1;0;0;0;1;0
"2013";"......0041 Truttikon";2;1;0;0;1;0
"2013";"......0042 Unterstammheim";3;0;1;0;0;2
"2013";"......0043 Volken";1;0;0;1;0;0
"2013";"......0044 Waltalingen";3;1;1;0;0;1
"2013";">> Bezirk Bülach";342;55;98;75;31;83
"2013";"......0051 Bachenbülach";7;3;0;1;2;1
"2013";"......0052 Bassersdorf";30;5;7;3;4;11
"2013";"......0053 Bülach";34;5;8;10;1;10
"2013";"......0054 Dietlikon";16;1;6;3;1;5
"2013";"......0055 Eglisau";7;0;1;1;2;3
"2013";"......0056 Embrach";20;4;4;4;2;6
"2013";"......0057 Freienstein-Teufen";5;3;0;0;0;2
"2013";"......0058 Glattfelden";14;5;5;1;1;2
"2013";"......0059 Hochfelden";1;0;0;0;1;0
"2013";"......0060 Höri";4;1;1;2;0;0
"2013";"......0061 Hüntwangen";0;0;0;0;0;0
"2013";"......0062 Kloten";56;7;17;16;5;11
"2013";"......0063 Lufingen";4;0;1;0;2;1
"2013";"......0064 Nürensdorf";9;1;3;0;0;5
"2013";"......0065 Oberembrach";3;0;0;0;0;3
"2013";"......0066 Opfikon";69;12;33;13;3;8
"2013";"......0067 Rafz";6;2;0;0;1;3
"2013";"......0068 Rorbas";9;2;2;3;1;1
"2013";"......0069 Wallisellen";34;2;8;12;4;8
"2013";"......0070 Wasterkingen";1;0;0;0;0;1
"2013";"......0071 Wil (ZH)";3;0;0;2;0;1
"2013";"......0072 Winkel";10;2;2;4;1;1
"2013";">> Bezirk Dielsdorf";212;30;74;39;27;42
"2013";"......0081 Bachs";0;0;0;0;0;0
"2013";"......0082 Boppelsen";0;0;0;0;0;0
"2013";"......0083 Buchs (ZH)";23;6;6;5;1;5
"2013";"......0084 Dällikon";12;2;3;4;0;3
"2013";"......0085 Dänikon";6;0;0;1;2;3
"2013";"......0086 Dielsdorf";14;3;3;5;1;2
"2013";"......0087 Hüttikon";2;0;0;1;1;0
"2013";"......0088 Neerach";6;1;3;1;1;0
"2013";"......0089 Niederglatt";8;2;2;1;1;2
"2013";"......0090 Niederhasli";22;3;7;2;7;3
"2013";"......0091 Niederweningen";3;0;1;1;0;1
"2013";"......0092 Oberglatt";17;1;8;2;2;4
"2013";"......0093 Oberweningen";2;0;1;0;1;0
"2013";"......0094 Otelfingen";7;0;0;2;1;4
"2013";"......0095 Regensberg";1;0;1;0;0;0
"2013";"......0096 Regensdorf";43;5;20;9;4;5
"2013";"......0097 Rümlang";26;3;13;1;3;6
"2013";"......0098 Schleinikon";3;1;0;0;1;1
"2013";"......0099 Schöfflisdorf";4;0;0;1;1;2
"2013";"......0100 Stadel";3;0;1;2;0;0
"2013";"......0101 Steinmaur";7;1;4;1;0;1
"2013";"......0102 Weiach";3;2;1;0;0;0
"2013";">> Bezirk Hinwil";181;21;41;27;28;64
"2013";"......0111 Bäretswil";5;0;1;0;1;3
"2013";"......0112 Bubikon";10;0;2;2;2;4
"2013";"......0113 Dürnten";9;0;5;0;1;3
"2013";"......0114 Fischenthal";3;0;1;0;0;2
"2013";"......0115 Gossau (ZH)";20;1;1;5;1;12
"2013";"......0116 Grüningen";5;1;1;2;1;0
"2013";"......0117 Hinwil";26;3;8;5;2;8
"2013";"......0118 Rüti (ZH)";25;7;0;2;5;11
"2013";"......0119 Seegräben";3;0;0;1;0;2
"2013";"......0120 Wald (ZH)";19;1;5;2;6;5
"2013";"......0121 Wetzikon (ZH)";56;8;17;8;9;14
"2013";">> Bezirk Horgen";231;30;52;42;31;76
"2013";"......0131 Adliswil";31;4;8;4;3;12
"2013";"......0132 Hirzel";4;1;0;1;0;2
"2013";"......0133 Horgen";40;3;12;12;7;6
"2013";"......0134 Hütten";3;1;0;2;0;0
"2013";"......0135 Kilchberg (ZH)";16;2;2;3;2;7
"2013";"......0136 Langnau am Albis";8;1;3;1;1;2
"2013";"......0137 Oberrieden";15;0;2;3;3;7
"2013";"......0138 Richterswil";25;3;5;3;1;13
"2013";"......0139 Rüschlikon";11;4;2;1;3;1
"2013";"......0140 Schönenberg (ZH)";1;0;0;1;0;0
"2013";"......0141 Thalwil";38;5;8;5;7;13
"2013";"......0142 Wädenswil";39;6;10;6;4;13
"2013";">> Bezirk Meilen";214;28;37;43;25;81
"2013";"......0151 Erlenbach (ZH)";12;0;0;4;5;3
"2013";"......0152 Herrliberg";12;1;1;2;1;7
"2013";"......0153 Hombrechtikon";15;1;3;4;2;5
"2013";"......0154 Küsnacht (ZH)";31;3;3;5;3;17
"2013";"......0155 Männedorf";20;8;4;2;2;4
"2013";"......0156 Meilen";28;2;7;6;3;10
"2013";"......0157 Oetwil am See";13;0;7;2;1;3
"2013";"......0158 Stäfa";34;6;3;7;3;15
"2013";"......0159 Uetikon am See";12;2;1;3;1;5
"2013";"......0160 Zumikon";13;1;3;3;1;5
"2013";"......0161 Zollikon";24;4;5;5;3;7
"2013";">> Bezirk Pfäffikon";110;12;28;20;15;35
"2013";"......0172 Fehraltorf";12;3;2;1;1;5
"2013";"......0173 Hittnau";2;0;1;0;0;1
"2013";"......0174 Illnau-Effretikon";35;5;10;8;3;9
"2013";"......0175 Kyburg";1;0;0;0;0;1
"2013";"......0176 Lindau";7;0;1;2;1;3
"2013";"......0177 Pfäffikon";18;2;4;2;4;6
"2013";"......0178 Russikon";11;1;4;2;1;3
"2013";"......0180 Weisslingen";9;0;2;2;1;4
"2013";"......0181 Wila";5;0;2;0;2;1
"2013";"......0182 Wildberg";0;0;0;0;0;0
"2013";"......0297 Bauma";10;1;2;3;2;2
"2013";">> Bezirk Uster";260;49;62;51;37;61
"2013";"......0191 Dübendorf";64;17;18;12;5;12
"2013";"......0192 Egg";22;4;0;5;6;7
"2013";"......0193 Fällanden";11;3;2;2;2;2
"2013";"......0194 Greifensee";4;0;1;0;0;3
"2013";"......0195 Maur";22;4;5;4;1;8
"2013";"......0196 Mönchaltorf";2;0;0;0;1;1
"2013";"......0197 Schwerzenbach";11;2;6;2;0;1
"2013";"......0198 Uster";76;12;16;14;15;19
"2013";"......0199 Volketswil";28;3;12;5;5;3
"2013";"......0200 Wangen-Brüttisellen";20;4;2;7;2;5
"2013";">> Bezirk Winterthur";379;74;107;74;34;90
"2013";"......0211 Altikon";2;0;1;0;0;1
"2013";"......0213 Brütten";6;1;0;2;1;2
"2013";"......0214 Dägerlen";1;0;1;0;0;0
"2013";"......0215 Dättlikon";1;1;0;0;0;0
"2013";"......0216 Dinhard";3;0;2;0;0;1
"2013";"......0217 Elgg";14;5;1;2;1;5
"2013";"......0218 Ellikon an der Thur";4;2;0;1;0;1
