"Heiraten nach institutionellen Gliederungen und Staatsangehörigkeit der Ehepartner"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Staatsangehörigkeit des Ehemannes - Total Staatsangehörigkeit der Ehefrau - Total"
"2013";"Schweiz";39794
"2013";"- Zürich";7975
"2013";">> Bezirk Affoltern";232
"2013";"......0001 Aeugst am Albis";12
"2013";"......0002 Affoltern am Albis";57
"2013";"......0003 Bonstetten";24
"2013";"......0004 Hausen am Albis";16
"2013";"......0005 Hedingen";15
"2013";"......0006 Kappel am Albis";3
"2013";"......0007 Knonau";10
"2013";"......0008 Maschwanden";3
"2013";"......0009 Mettmenstetten";30
"2013";"......0010 Obfelden";17
"2013";"......0011 Ottenbach";9
"2013";"......0012 Rifferswil";3
"2013";"......0013 Stallikon";15
"2013";"......0014 Wettswil am Albis";18
"2013";">> Bezirk Andelfingen";135
"2013";"......0021 Adlikon";1
"2013";"......0022 Benken (ZH)";7
"2013";"......0023 Berg am Irchel";4
"2013";"......0024 Buch am Irchel";2
"2013";"......0025 Dachsen";8
"2013";"......0026 Dorf";2
"2013";"......0027 Feuerthalen";20
"2013";"......0028 Flaach";10
"2013";"......0029 Flurlingen";4
"2013";"......0030 Andelfingen";10
"2013";"......0031 Henggart";11
"2013";"......0032 Humlikon";4
"2013";"......0033 Kleinandelfingen";10
"2013";"......0034 Laufen-Uhwiesen";4
"2013";"......0035 Marthalen";11
"2013";"......0036 Oberstammheim";7
"2013";"......0037 Ossingen";2
"2013";"......0038 Rheinau";4
"2013";"......0039 Thalheim an der Thur";1
"2013";"......0040 Trüllikon";7
"2013";"......0041 Truttikon";0
"2013";"......0042 Unterstammheim";2
"2013";"......0043 Volken";1
"2013";"......0044 Waltalingen";3
"2013";">> Bezirk Bülach";777
"2013";"......0051 Bachenbülach";21
"2013";"......0052 Bassersdorf";52
"2013";"......0053 Bülach";115
"2013";"......0054 Dietlikon";41
"2013";"......0055 Eglisau";38
"2013";"......0056 Embrach";43
"2013";"......0057 Freienstein-Teufen";1
"2013";"......0058 Glattfelden";30
"2013";"......0059 Hochfelden";6
"2013";"......0060 Höri";13
"2013";"......0061 Hüntwangen";2
"2013";"......0062 Kloten";115
"2013";"......0063 Lufingen";6
"2013";"......0064 Nürensdorf";30
"2013";"......0065 Oberembrach";4
"2013";"......0066 Opfikon";99
"2013";"......0067 Rafz";23
"2013";"......0068 Rorbas";9
"2013";"......0069 Wallisellen";97
"2013";"......0070 Wasterkingen";3
"2013";"......0071 Wil (ZH)";8
"2013";"......0072 Winkel";21
"2013";">> Bezirk Dielsdorf";462
"2013";"......0081 Bachs";5
"2013";"......0082 Boppelsen";5
"2013";"......0083 Buchs (ZH)";42
"2013";"......0084 Dällikon";19
"2013";"......0085 Dänikon";10
"2013";"......0086 Dielsdorf";32
"2013";"......0087 Hüttikon";3
"2013";"......0088 Neerach";8
"2013";"......0089 Niederglatt";17
"2013";"......0090 Niederhasli";53
"2013";"......0091 Niederweningen";10
"2013";"......0092 Oberglatt";40
"2013";"......0093 Oberweningen";10
"2013";"......0094 Otelfingen";19
"2013";"......0095 Regensberg";1
"2013";"......0096 Regensdorf";89
"2013";"......0097 Rümlang";50
"2013";"......0098 Schleinikon";2
"2013";"......0099 Schöfflisdorf";5
"2013";"......0100 Stadel";13
"2013";"......0101 Steinmaur";21
"2013";"......0102 Weiach";8
"2013";">> Bezirk Hinwil";489
"2013";"......0111 Bäretswil";32
"2013";"......0112 Bubikon";30
"2013";"......0113 Dürnten";35
"2013";"......0114 Fischenthal";11
"2013";"......0115 Gossau (ZH)";54
"2013";"......0116 Grüningen";13
"2013";"......0117 Hinwil";54
"2013";"......0118 Rüti (ZH)";66
"2013";"......0119 Seegräben";12
"2013";"......0120 Wald (ZH)";40
"2013";"......0121 Wetzikon (ZH)";142
"2013";">> Bezirk Horgen";595
"2013";"......0131 Adliswil";100
"2013";"......0132 Hirzel";6
"2013";"......0133 Horgen";109
"2013";"......0134 Hütten";7
"2013";"......0135 Kilchberg (ZH)";38
