pre_id,pre_name,post_id,post_name,date
308,Niederried bei Kallnach,304,Kallnach,01.01.2013
548,Ruppoldsried,310,Rapperswil (BE),01.01.2013
631,Trimstein,616,Münsingen,01.01.2013
1003,Escholzmatt,1010,Escholzmatt-Marbach,01.01.2013
1006,Marbach (LU),1010,Escholzmatt-Marbach,01.01.2013
1092,Neudorf,1081,Beromünster,01.01.2013
1096,Pfeffikon,1097,Rickenbach (LU),01.01.2013
1138,Ohmstal,1143,Schötz,01.01.2013
2244,Büchslen,2275,Murten,01.01.2013
2459,Nennigkofen,2464,Lüsslingen-Nennigkofen,01.01.2013
2454,Lüsslingen,2464,Lüsslingen-Nennigkofen,01.01.2013
2522,Hersiwil,2535,Drei Höfe,01.01.2013
2521,Heinrichswil-Winistorf,2535,Drei Höfe,01.01.2013
2902,Guntmadingen,2932,Beringen,01.01.2013
3314,Rieden,3341,Gommiswald,01.01.2013
3331,Ernetschwil,3341,Gommiswald,01.01.2013
3334,Gommiswald,3341,Gommiswald,01.01.2013
3332,Eschenbach (SG),3342,Eschenbach (SG),01.01.2013
3333,Goldingen,3342,Eschenbach (SG),01.01.2013
3337,St. Gallenkappel,3342,Eschenbach (SG),01.01.2013
3356,Stein (SG),3360,Nesslau,01.01.2013
3358,Nesslau-Krummenau,3360,Nesslau,01.01.2013
3373,Krinau,3379,Wattwil,01.01.2013
3377,Wattwil,3379,Wattwil,01.01.2013
3391,Bütschwil,3395,Bütschwil-Ganterschwil,01.01.2013
3403,Ganterschwil,3395,Bütschwil-Ganterschwil,01.01.2013
3421,Bronschhofen,3427,Wil (SG),01.01.2013
3425,Wil (SG),3427,Wil (SG),01.01.2013
3586,Valendas,3672,Safiental,01.01.2013
3587,Versam,3672,Safiental,01.01.2013
3651,Safien,3672,Safiental,01.01.2013
3652,Tenna,3672,Safiental,01.01.2013
3592,Cumbel,3618,Lumnezia,01.01.2013
3594,Degen,3618,Lumnezia,01.01.2013
3595,Lumbrein,3618,Lumnezia,01.01.2013
3596,Morissen,3618,Lumnezia,01.01.2013
3604,Vignogn,3618,Lumnezia,01.01.2013
3605,Vella,3618,Lumnezia,01.01.2013
3606,Vrin,3618,Lumnezia,01.01.2013
3599,Suraua,3618,Lumnezia,01.01.2013
3751,Ramosch,3764,Valsot,01.01.2013
3753,Tschlin,3764,Valsot,01.01.2013
3922,Calfreisen,3921,Arosa,01.01.2013
3923,Castiel,3921,Arosa,01.01.2013
3924,Langwies,3921,Arosa,01.01.2013
3925,Lüen,3921,Arosa,01.01.2013
3927,Molinis,3921,Arosa,01.01.2013
