commune_id,commune_name,canton
1,Aeugst am Albis,Zürich
2,Affoltern am Albis,Zürich
3,Bonstetten,Zürich
4,Hausen am Albis,Zürich
5,Hedingen,Zürich
6,Kappel am Albis,Zürich
7,Knonau,Zürich
8,Maschwanden,Zürich
9,Mettmenstetten,Zürich
10,Obfelden,Zürich
11,Ottenbach,Zürich
12,Rifferswil,Zürich
13,Stallikon,Zürich
14,Wettswil am Albis,Zürich
21,Adlikon,Zürich
22,Benken (ZH),Zürich
23,Berg am Irchel,Zürich
24,Buch am Irchel,Zürich
25,Dachsen,Zürich
26,Dorf,Zürich
27,Feuerthalen,Zürich
28,Flaach,Zürich
29,Flurlingen,Zürich
30,Andelfingen,Zürich
31,Henggart,Zürich
32,Humlikon,Zürich
33,Kleinandelfingen,Zürich
34,Laufen-Uhwiesen,Zürich
35,Marthalen,Zürich
36,Oberstammheim,Zürich
37,Ossingen,Zürich
38,Rheinau,Zürich
39,Thalheim an der Thur,Zürich
40,Trüllikon,Zürich
41,Truttikon,Zürich
42,Unterstammheim,Zürich
43,Volken,Zürich
44,Waltalingen,Zürich
51,Bachenbülach,Zürich
52,Bassersdorf,Zürich
53,Bülach,Zürich
54,Dietlikon,Zürich
55,Eglisau,Zürich
56,Embrach,Zürich
57,Freienstein-Teufen,Zürich
58,Glattfelden,Zürich
59,Hochfelden,Zürich
60,Höri,Zürich
61,Hüntwangen,Zürich
62,Kloten,Zürich
63,Lufingen,Zürich
64,Nürensdorf,Zürich
65,Oberembrach,Zürich
66,Opfikon,Zürich
67,Rafz,Zürich
68,Rorbas,Zürich
69,Wallisellen,Zürich
70,Wasterkingen,Zürich
71,Wil (ZH),Zürich
72,Winkel,Zürich
81,Bachs,Zürich
82,Boppelsen,Zürich
83,Buchs (ZH),Zürich
84,Dällikon,Zürich
85,Dänikon,Zürich
86,Dielsdorf,Zürich
87,Hüttikon,Zürich
88,Neerach,Zürich
89,Niederglatt,Zürich
90,Niederhasli,Zürich
91,Niederweningen,Zürich
92,Oberglatt,Zürich
93,Oberweningen,Zürich
94,Otelfingen,Zürich
95,Regensberg,Zürich
96,Regensdorf,Zürich
97,Rümlang,Zürich
98,Schleinikon,Zürich
99,Schöfflisdorf,Zürich
100,Stadel,Zürich
101,Steinmaur,Zürich
102,Weiach,Zürich
111,Bäretswil,Zürich
112,Bubikon,Zürich
113,Dürnten,Zürich
114,Fischenthal,Zürich
115,Gossau (ZH),Zürich
116,Grüningen,Zürich
117,Hinwil,Zürich
118,Rüti (ZH),Zürich
119,Seegräben,Zürich
120,Wald (ZH),Zürich
121,Wetzikon (ZH),Zürich
131,Adliswil,Zürich
132,Hirzel,Zürich
133,Horgen,Zürich
134,Hütten,Zürich
135,Kilchberg (ZH),Zürich
136,Langnau am Albis,Zürich
137,Oberrieden,Zürich
138,Richterswil,Zürich
139,Rüschlikon,Zürich
140,Schönenberg (ZH),Zürich
141,Thalwil,Zürich
142,Wädenswil,Zürich
151,Erlenbach (ZH),Zürich
152,Herrliberg,Zürich
153,Hombrechtikon,Zürich
154,Küsnacht (ZH),Zürich
155,Männedorf,Zürich
156,Meilen,Zürich
157,Oetwil am See,Zürich
158,Stäfa,Zürich
159,Uetikon am See,Zürich
160,Zumikon,Zürich
161,Zollikon,Zürich
172,Fehraltorf,Zürich
173,Hittnau,Zürich
174,Illnau-Effretikon,Zürich
175,Kyburg,Zürich
176,Lindau,Zürich
177,Pfäffikon,Zürich
178,Russikon,Zürich
180,Weisslingen,Zürich
181,Wila,Zürich
182,Wildberg,Zürich
191,Dübendorf,Zürich
192,Egg,Zürich
193,Fällanden,Zürich
194,Greifensee,Zürich
195,Maur,Zürich
