id,commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
1,Aeugst am Albis,1959,0.19,0.21,0.43,0.16,0.5,0.87
2,Affoltern am Albis,11551,0.18,0.3,0.35,0.17,0.5,0.73
3,Bonstetten,5287,0.22,0.26,0.38,0.14,0.49,0.86
4,Hausen am Albis,3466,0.2,0.23,0.4,0.17,0.48,0.86
5,Hedingen,3650,0.2,0.26,0.4,0.14,0.5,0.85
6,Kappel am Albis,1014,0.22,0.24,0.4,0.14,0.51,0.86
7,Knonau,2037,0.21,0.26,0.39,0.15,0.51,0.84
8,Maschwanden,665,0.21,0.27,0.36,0.16,0.52,0.86
9,Mettmenstetten,4472,0.2,0.26,0.39,0.16,0.5,0.86
10,Obfelden,4927,0.21,0.26,0.38,0.16,0.5,0.81
11,Ottenbach,2547,0.19,0.23,0.41,0.17,0.5,0.89
12,Rifferswil,999,0.24,0.23,0.39,0.14,0.48,0.92
13,Stallikon,3297,0.18,0.23,0.42,0.16,0.5,0.81
14,Wettswil am Albis,4715,0.2,0.22,0.37,0.2,0.49,0.86
21,Adlikon,608,0.19,0.26,0.39,0.16,0.49,0.92
22,Benken (ZH),832,0.19,0.24,0.44,0.14,0.51,0.89
23,Berg am Irchel,579,0.13,0.24,0.41,0.21,0.51,0.91
24,Buch am Irchel,927,0.23,0.26,0.39,0.13,0.49,0.92
25,Dachsen,2008,0.21,0.24,0.38,0.17,0.51,0.85
26,Dorf,646,0.2,0.24,0.41,0.15,0.5,0.92
27,Feuerthalen,3498,0.18,0.29,0.36,0.17,0.5,0.76
28,Flaach,1363,0.19,0.26,0.39,0.16,0.5,0.86
29,Flurlingen,1426,0.19,0.24,0.4,0.17,0.51,0.84
30,Andelfingen,2153,0.21,0.28,0.32,0.19,0.49,0.87
31,Henggart,2275,0.23,0.24,0.37,0.17,0.48,0.9
32,Humlikon,498,0.22,0.22,0.37,0.2,0.5,0.94
33,Kleinandelfingen,2062,0.2,0.25,0.4,0.16,0.5,0.88
34,Laufen-Uhwiesen,1631,0.19,0.19,0.4,0.21,0.5,0.88
35,Marthalen,1990,0.18,0.29,0.36,0.16,0.5,0.89
36,Oberstammheim,1153,0.2,0.24,0.39,0.18,0.5,0.92
37,Ossingen,1391,0.22,0.22,0.39,0.17,0.51,0.92
38,Rheinau,1315,0.17,0.21,0.44,0.18,0.5,0.8
39,Thalheim an der Thur,915,0.22,0.21,0.42,0.15,0.52,0.9
40,Trüllikon,1011,0.17,0.23,0.38,0.21,0.52,0.91
41,Truttikon,463,0.23,0.19,0.4,0.17,0.48,0.95
42,Unterstammheim,894,0.21,0.25,0.37,0.17,0.5,0.89
43,Volken,339,0.23,0.26,0.39,0.12,0.51,0.9
44,Waltalingen,675,0.18,0.24,0.42,0.15,0.49,0.93
51,Bachenbülach,4078,0.19,0.27,0.36,0.18,0.5,0.76
52,Bassersdorf,11404,0.2,0.3,0.36,0.14,0.5,0.76
53,Bülach,18891,0.18,0.33,0.33,0.16,0.49,0.74
54,Dietlikon,7576,0.18,0.29,0.34,0.19,0.49,0.76
55,Eglisau,4966,0.21,0.28,0.36,0.15,0.51,0.78
56,Embrach,9113,0.2,0.29,0.37,0.15,0.5,0.74
57,Freienstein-Teufen,2310,0.19,0.24,0.41,0.16,0.51,0.87
58,Glattfelden,4838,0.19,0.29,0.38,0.13,0.5,0.77
59,Hochfelden,2024,0.22,0.25,0.39,0.14,0.5,0.85
60,Höri,2663,0.19,0.29,0.38,0.14,0.51,0.68
61,Hüntwangen,1015,0.2,0.22,0.41,0.16,0.51,0.89
62,Kloten,18371,0.17,0.32,0.35,0.17,0.51,0.69
63,Lufingen,1915,0.22,0.24,0.43,0.11,0.52,0.82
64,Nürensdorf,5385,0.17,0.24,0.39,0.2,0.5,0.84
65,Oberembrach,1092,0.18,0.28,0.4,0.15,0.5,0.88
66,Opfikon,17173,0.18,0.38,0.31,0.13,0.52,0.56
67,Rafz,4242,0.2,0.27,0.38,0.16,0.5,0.81
68,Rorbas,2704,0.21,0.3,0.38,0.11,0.5,0.73
69,Wallisellen,15370,0.17,0.34,0.33,0.16,0.5,0.7
70,Wasterkingen,568,0.19,0.2,0.47,0.15,0.49,0.88
71,Wil (ZH),1357,0.18,0.23,0.41,0.18,0.51,0.9
72,Winkel,4172,0.17,0.24,0.41,0.18,0.51,0.86
81,Bachs,598,0.18,0.23,0.42,0.18,0.51,0.91
82,Boppelsen,1284,0.22,0.2,0.4,0.18,0.5,0.88
83,Buchs (ZH),6172,0.19,0.32,0.38,0.11,0.51,0.76
84,Dällikon,3904,0.19,0.3,0.36,0.15,0.51,0.71
85,Dänikon,1947,0.2,0.31,0.38,0.11,0.5,0.72
86,Dielsdorf,5916,0.18,0.32,0.35,0.15,0.5,0.71
87,Hüttikon,703,0.17,0.24,0.43,0.16,0.49,0.86
88,Neerach,3008,0.14,0.23,0.45,0.18,0.51,0.88
89,Niederglatt,4721,0.19,0.29,0.37,0.14,0.5,0.74
90,Niederhasli,9044,0.2,0.3,0.35,0.14,0.5,0.75
91,Niederweningen,2877,0.22,0.25,0.41,0.12,0.5,0.83
92,Oberglatt,6639,0.21,0.36,0.33,0.1,0.51,0.64
93,Oberweningen,1825,0.19,0.27,0.4,0.14,0.51,0.79
94,Otelfingen,2800,0.21,0.27,0.36,0.15,0.5,0.79
95,Regensberg,489,0.2,0.21,0.41,0.18,0.52,0.82
96,Regensdorf,17477,0.19,0.31,0.34,0.16,0.51,0.66
97,Rümlang,7552,0.18,0.33,0.34,0.15,0.5,0.7
98,Schleinikon,730,0.18,0.28,0.42,0.12,0.52,0.91
99,Schöfflisdorf,1389,0.18,0.23,0.4,0.19,0.49,0.84
100,Stadel,2159,0.19,0.26,0.4,0.15,0.49,0.88
101,Steinmaur,3393,0.17,0.31,0.35,0.17,0.51,0.76
102,Weiach,1157,0.16,0.27,0.42,0.14,0.51,0.81
111,Bäretswil,4993,0.2,0.25,0.38,0.17,0.5,0.9
112,Bubikon,6974,0.21,0.24,0.38,0.17,0.49,0.89
113,Dürnten,7401,0.2,0.27,0.37,0.16,0.51,0.82
114,Fischenthal,2323,0.22,0.27,0.38,0.14,0.51,0.88
115,Gossau (ZH),9772,0.2,0.25,0.38,0.17,0.5,0.86
116,Grüningen,3373,0.19,0.26,0.38,0.16,0.5,0.87
117,Hinwil,10798,0.18,0.27,0.36,0.18,0.5,0.84
118,Rüti (ZH),12009,0.18,0.29,0.35,0.18,0.5,0.77
119,Seegräben,1398,0.2,0.28,0.38,0.14,0.5,0.83
120,Wald (ZH),9477,0.18,0.28,0.37,0.17,0.5,0.74
121,Wetzikon (ZH),23935,0.18,0.32,0.33,0.16,0.5,0.76
131,Adliswil,18446,0.18,0.31,0.33,0.19,0.5,0.66
132,Hirzel,2134,0.21,0.23,0.39,0.17,0.49,0.86
133,Horgen,20030,0.19,0.28,0.35,0.18,0.49,0.7
134,Hütten,907,0.22,0.25,0.37,0.16,0.51,0.93
135,Kilchberg (ZH),7865,0.18,0.25,0.37,0.2,0.48,0.7
136,Langnau am Albis,7425,0.19,0.25,0.35,0.21,0.49,0.74
137,Oberrieden,5031,0.17,0.22,0.37,0.23,0.49,0.81
138,Richterswil,13034,0.2,0.26,0.37,0.18,0.49,0.8
139,Rüschlikon,5572,0.19,0.24,0.38,0.2,0.49,0.71
140,Schönenberg (ZH),1884,0.18,0.23,0.4,0.2,0.5,0.88
141,Thalwil,17629,0.18,0.27,0.36,0.18,0.49,0.73
142,Wädenswil,21238,0.18,0.27,0.36,0.19,0.49,0.77
151,Erlenbach (ZH),5449,0.2,0.21,0.4,0.19,0.49,0.79
152,Herrliberg,6241,0.19,0.21,0.4,0.2,0.48,0.79
153,Hombrechtikon,8429,0.19,0.25,0.37,0.19,0.49,0.8
154,Küsnacht (ZH),13844,0.18,0.22,0.36,0.24,0.48,0.75
155,Männedorf,10534,0.2,0.22,0.38,0.21,0.48,0.81
156,Meilen,13235,0.18,0.22,0.38,0.21,0.48,0.79
157,Oetwil am See,4598,0.19,0.29,0.38,0.14,0.5,0.71
158,Stäfa,13954,0.17,0.23,0.38,0.22,0.49,0.82
159,Uetikon am See,5960,0.2,0.22,0.4,0.19,0.49,0.82
160,Zumikon,5151,0.19,0.19,0.37,0.26,0.48,0.77
161,Zollikon,12529,0.17,0.22,0.36,0.24,0.48,0.77
172,Fehraltorf,6316,0.19,0.29,0.37,0.14,0.49,0.83
173,Hittnau,3644,0.21,0.25,0.42,0.12,0.5,0.91
174,Illnau-Effretikon,16287,0.18,0.3,0.33,0.19,0.49,0.75
175,Kyburg,405,0.2,0.21,0.45,0.13,0.51,0.91
176,Lindau,5388,0.2,0.27,0.38,0.15,0.51,0.79
177,Pfäffikon,11274,0.18,0.27,0.36,0.19,0.49,0.81
178,Russikon,4202,0.19,0.23,0.4,0.18,0.5,0.87
180,Weisslingen,3241,0.2,0.21,0.41,0.17,0.5,0.9
181,Wila,1921,0.17,0.25,0.4,0.17,0.51,0.87
182,Wildberg,994,0.21,0.25,0.39,0.16,0.5,0.91
191,Dübendorf,26316,0.18,0.31,0.34,0.16,0.49,0.67
192,Egg,8335,0.18,0.23,0.39,0.2,0.48,0.81
193,Fällanden,8191,0.2,0.26,0.36,0.19,0.49,0.78
194,Greifensee,5309,0.2,0.28,0.32,0.2,0.49,0.81
195,Maur,9736,0.19,0.22,0.39,0.2,0.49,0.8
196,Mönchaltorf,3633,0.19,0.23,0.38,0.19,0.5,0.85
197,Schwerzenbach,5003,0.18,0.32,0.33,0.16,0.5,0.75
198,Uster,33408,0.18,0.3,0.35,0.17,0.5,0.78
199,Volketswil,18437,0.2,0.29,0.36,0.15,0.5,0.76
200,Wangen-Brüttisellen,7626,0.19,0.3,0.38,0.12,0.51,0.73
211,Altikon,667,0.19,0.2,0.43,0.17,0.51,0.9
213,Brütten,2030,0.18,0.24,0.39,0.19,0.51,0.93
214,Dägerlen,980,0.22,0.22,0.43,0.13,0.51,0.92
215,Dättlikon,762,0.22,0.22,0.4,0.16,0.52,0.9
216,Dinhard,1490,0.21,0.23,0.36,0.2,0.51,0.91
217,Elgg,4146,0.2,0.26,0.36,0.18,0.51,0.83
218,Ellikon an der Thur,905,0.21,0.25,0.4,0.14,0.5,0.88
219,Elsau,3472,0.19,0.26,0.38,0.17,0.5,0.84
220,Hagenbuch,1111,0.2,0.27,0.42,0.12,0.52,0.9
221,Hettlingen,3066,0.23,0.2,0.4,0.17,0.49,0.91
222,Hofstetten (ZH),482,0.22,0.29,0.37,0.13,0.53,0.95
223,Neftenbach,5504,0.21,0.26,0.39,0.14,0.5,0.89
224,Pfungen,3650,0.21,0.31,0.35,0.13,0.5,0.74
225,Rickenbach (ZH),2562,0.22,0.24,0.36,0.18,0.49,0.89
226,Schlatt (ZH),754,0.26,0.24,0.36,0.15,0.52,0.93
227,Seuzach,7240,0.17,0.26,0.35,0.22,0.5,0.87
228,Turbenthal,4444,0.2,0.26,0.38,0.16,0.5,0.82
