total deaths,id
15,1
70,2
21,3
17,4
17,5
8,6
11,7
4,8
23,9
23,10
14,11
6,12
10,13
37,14
8,21
4,22
2,23
5,24
8,25
1,26
23,27
9,28
11,29
16,30
12,31
5,32
12,33
6,34
18,35
10,36
13,37
9,38
4,39
8,40
2,41
4,42
2,43
3,44
15,51
73,52
108,53
52,54
35,55
52,56
12,57
20,58
4,59
13,60
8,61
131,62
6,63
32,64
9,65
105,66
17,67
6,68
106,69
4,70
6,71
25,72
2,81
7,82
16,83
16,84
7,85
28,86
1,87
13,88
26,89
48,90
20,91
26,92
7,93
10,94
0,95
105,96
53,97
3,98
9,99
12,100
19,101
10,102
26,111
45,112
39,113
17,114
50,115
28,116
71,117
103,118
13,119
58,120
167,121
138,131
11,132
154,133
10,134
63,135
50,136
42,137
75,138
50,139
10,140
120,141
139,142
38,151
56,152
71,153
126,154
76,155
123,156
32,157
104,158
41,159
47,160
143,161
35,172
12,173
109,174
1,175
22,176
86,177
25,178
14,180
15,181
4,182
33,297
189,191
56,192
53,193
26,194
55,195
28,196
30,197
228,198
78,199
37,200
4,211
12,213
3,214
2,215
6,216
26,217
5,218
21,219
7,220
26,221
2,222
20,223
11,224
14,225
1,226
58,227
26,228
843,230
41,231
48,298
8,241
49,242
217,243
40,244
74,245
20,246
123,247
35,248
21,249
68,250
29,251
3441,261
15,431
7,432
11,433
9,434
1,435
2,437
10,438
8,441
1,442
54,443
10,444
10,445
47,446
7,448
8,449
21,450
2,681
0,683
4,687
14,690
6,691
5,692
5,694
1,696
79,700
3,701
23,703
2,704
6,706
0,707
2,708
0,709
1,711
41,713
0,715
4,716
43,717
33,723
5,724
13,726
560,371
21,372
51,387
9,390
43,392
11,731
6,732
39,733
21,739
6,740
12,742
90,743
25,744
43,745
11,746
4,747
7,748
10,750
11,756
40,301
7,302
22,303
12,304
7,305
110,306
8,309
15,310
25,311
21,312
12,381
5,382
34,383
2,385
9,386
12,388
0,389
3,391
8,393
4,394
6,491
7,492
4,493
10,494
4,495
26,496
5,497
12,498
9,499
2,500
5,501
7,502
4,532
0,734
2,735
2,736
3,737
4,738
5,741
19,749
23,751
6,754
16,755
32,321
4,322
4,323
5,324
1,325
9,326
157,329
17,331
29,332
18,333
3,334
1,335
2,336
39,337
19,338
7,339
4,340
7,341
29,342
13,344
14,345
11,953
49,954
6,959
5,960
16,971
0,972
3,973
0,975
0,976
9,977
1,978
72,979
1,980
44,981
12,982
10,983
3,985
2,987
8,988
6,989
4,990
7,991
11,992
1,993
24,995
0,996
5,401
3,402
161,404
9,405
27,406
10,407
2,408
13,409
4,410
5,411
44,412
15,413
15,414
9,415
2,416
2,417
35,418
1,419
25,420
2,421
2,422
0,423
17,424
27,533
41,552
9,554
5,556
14,901
79,902
30,903
14,904
20,905
8,906
25,907
12,908
21,909
12,951
7,952
24,955
29,956
44,957
11,958
26,307
1265,351
54,352
38,353
24,354
367,355
152,356
5,357
14,358
31,359
67,360
83,361
110,362
160,363
4,403
1,535
1,536
41,538
42,540
3,541
4,543
27,544
54,546
36,551
2,553
4,557
6,602
15,603
10,605
7,606
3,607
29,608
2,609
4,610
6,611
48,612
6,613
15,614
1,615
84,616
2,617
27,619
7,620
5,622
16,623
4,624
5,625
20,626
98,627
11,628
1,629
4,630
31,632
0,661
11,662
12,663
2,664
2,665
6,666
31,667
26,668
3,669
41,670
2,671
14,852
18,853
72,855
84,861
2,865
11,866
0,868
5,869
36,870
7,872
6,873
0,874
1,875
4,876
5,877
1,878
27,879
16,880
2,881
14,884
9,888
5,767
11,770
3,863
4,867
13,883
13,885
15,886
9,921
10,922
10,923
3,924
9,925
9,927
45,928
54,929
2,931
3,932
28,934
3,935
0,936
2,937
58,938
127,939
2,940
14,941
422,942
5,943
46,944
11,945
2,946
1,947
9,948
14,791
23,792
11,793
30,794
8,841
6,842
54,843
42,561
26,562
50,563
11,564
18,565
14,566
32,567
7,761
21,762
19,763
11,766
142,768
28,769
10,571
29,572
32,573
1,574
6,575
40,576
6,577
1,578
8,579
2,580
49,581
3,582
29,584
9,585
4,586
27,587
3,588
6,589
33,590
1,591
9,592
54,593
23,594
4,782
12,783
9,784
36,785
9,786
744,1061
20,1051
32,1052
7,1053
93,1054
3,1055
7,1056
1,1057
99,1058
234,1059
44,1062
46,1063
5,1064
22,1065
9,1066
8,1067
14,1068
40,1069
5,1021
1,1022
18,1023
257,1024
6,1025
20,1026
35,1030
64,1031
15,1032
11,1033
10,1037
16,1039
41,1040
8,1041
49,1081
11,1082
25,1083
7,1084
12,1085
13,1086
14,1088
13,1089
6,1091
34,1093
16,1094
21,1095
23,1097
52,1098
15,1099
5,1100
21,1102
64,1103
36,1104
3,1121
8,1122
3,1123
38,1125
0,1126
5,1127
18,1128
6,1129
4,1130
6,1131
11,1132
14,1135
14,1136
18,1137
14,1139
43,1140
5,1142
23,1143
5,1145
12,1146
17,1147
19,1150
52,1151
4,1001
24,1002
21,1004
10,1005
5,1007
34,1008
17,1009
43,1010
32,1107
92,1201
13,1202
18,1203
2,1204
37,1205
32,1206
20,1207
5,1208
6,1209
3,1210
4,1211
3,1212
37,1213
8,1214
5,1215
15,1216
4,1217
5,1218
2,1219
9,1220
116,1301
20,1311
38,1321
110,1322
35,1323
87,1331
27,1341
31,1342
2,1343
54,1344
26,1345
56,1346
18,1347
7,1348
30,1349
7,1361
80,1362
5,1363
92,1364
4,1365
6,1366
30,1367
3,1368
3,1369
13,1370
10,1371
117,1372
19,1373
6,1374
16,1375
39,1401
36,1402
22,1403
41,1404
11,1405
39,1406
67,1407
26,1501
32,1502
10,1503
15,1504
36,1505
15,1506
56,1507
16,1508
45,1509
35,1510
14,1511
136,1630
113,1631
123,1632
135,1701
86,1702
45,1703
26,1704
12,1705
37,1706
37,1707
52,1708
52,1709
29,1710
231,1711
3,2004
4,2005
1,2008
1,2009
7,2010
13,2011
15,2013
5,2014
47,2015
4,2016
8,2022
6,2024
5,2025
2,2027
9,2029
1,2033
2,2034
2,2035
0,2038
0,2039
1,2040
13,2041
0,2043
4,2044
2,2045
1,2047
1,2049
5,2050
9,2051
7,2052
0,2061
4,2063
1,2066
6,2067
4,2068
2,2072
0,2079
2,2086
7,2087
3,2089
41,2096
12,2097
21,2099
15,2102
7,2111
12,2113
6,2114
4,2115
3,2116
10,2121
10,2122
2,2123
30,2124
149,2125
0,2128
8,2129
5,2130
5,2131
4,2134
14,2135
3,2137
6,2138
6,2140
3,2143
5,2145
3,2147
11,2148
15,2149
9,2152
11,2153
7,2155
13,2160
12,2162
18,2163
3,2171
0,2172
8,2173
6,2174
9,2175
5,2177
0,2179
11,2183
5,2184
4,2185
3,2186
7,2189
11,2192
3,2194
308,2196
14,2197
13,2198
9,2200
62,2206
16,2208
3,2211
4,2213
1,2216
4,2217
30,2220
5,2221
6,2222
4,2223
0,2225
13,2226
66,2228
1,2230
4,2231
13,2233
9,2234
9,2235
7,2243
5,2250
1,2251
16,2254
7,2257
5,2258
4,2259
2,2260
1,2261
23,2262
0,2264
29,2265
2,2266
4,2270
2,2271
7,2272
6,2274
61,2275
3,2276
1,2277
3,2278
4,2279
25,2280
13,2281
3,2283
10,2291
7,2292
57,2293
8,2294
20,2295
7,2296
10,2298
18,2299
6,2300
9,2301
16,2302
6,2303
16,2304
25,2305
19,2306
6,2307
21,2308
32,2309
6,2310
18,2321
9,2323
42,2325
4,2328
5,2333
9,2335
9,2336
11,2337
13,2338
23,2401
9,2402
9,2403
7,2404
7,2405
13,2406
39,2407
22,2408
2,2421
50,2422
1,2423
2,2424
9,2425
14,2426
9,2427
25,2428
14,2429
3,2445
9,2455
8,2456
11,2457
4,2461
2,2463
5,2464
21,2465
9,2471
5,2472
53,2473
7,2474
7,2475
18,2476
7,2477
10,2478
13,2479
9,2480
14,2481
0,2491
6,2492
32,2493
42,2495
15,2497
1,2498
10,2499
63,2500
17,2501
2,2502
32,2503
8,2511
100,2513
2,2514
16,2516
42,2517
5,2518
49,2519
3,2520
6,2523
3,2524
3,2525
19,2526
29,2527
13,2528
5,2529
12,2530
25,2532
103,2534
3,2535
0,2541
62,2542
39,2543
8,2544
7,2545
193,2546
5,2547
4,2548
0,2549
48,2550
9,2551
11,2553
17,2554
15,2555
24,2556
4,2571
21,2572
33,2573
2,2574
13,2575
24,2576
8,2578
41,2579
24,2580
181,2581
6,2582
48,2583
13,2584
6,2585
47,2586
168,2601
7,2611
4,2612
22,2613
10,2614
9,2615
6,2616
5,2617
6,2618
22,2619
8,2620
14,2621
3,2622
1876,2701
6,2702
256,2703
84,2761
166,2762
101,2763
20,2764
152,2765
118,2766
59,2767
35,2768
125,2769
148,2770
95,2771
14,2772
195,2773
8,2774
78,2775
7,2781
9,2782
2,2783
12,2784
7,2785
9,2786
46,2787
14,2788
2,2789
0,2790
18,2791
10,2792
16,2793
14,2821
9,2822
17,2823
48,2824
28,2825
7,2826
4,2827
45,2828
99,2829
11,2830
121,2831
6,2832
8,2833
14,2834
1,2841
3,2842
2,2843
9,2844
7,2845
55,2846
1,2847
2,2848
9,2849
4,2850
1,2851
22,2852
8,2853
0,2854
6,2855
14,2856
9,2857
7,2858
2,2859
5,2860
56,2861
2,2862
3,2863
9,2864
0,2865
7,2866
1,2867
4,2868
17,2869
4,2881
3,2882
7,2883
6,2884
3,2885
16,2886
5,2887
8,2888
2,2889
1,2890
17,2891
15,2892
17,2893
4,2894
11,2895
9,2901
10,2903
11,2904
4,2914
3,2915
3,2917
6,2919
52,2920
5,2931
35,2932
7,2933
8,2936
121,2937
6,2938
361,2939
3,2951
16,2952
6,2953
3,2961
1,2962
8,2963
51,2964
21,2971
2,2972
6,2973
14,2974
149,3001
8,3002
5,3003
14,3004
13,3005
20,3006
15,3007
11,3021
21,3022
34,3023
61,3024
10,3025
8,3031
36,3032
6,3033
21,3034
3,3035
3,3036
25,3037
15,3038
120,3101
0,3102
0,3103
0,3104
0,3105
11,3111
5,3201
8,3202
637,3203
72,3204
16,3212
11,3441
54,3442
142,3443
33,3444
7,3211
83,3213
19,3214
92,3215
56,3216
34,3217
9,3218
4,3219
51,3237
53,3231
30,3232
25,3233
35,3234
34,3235
55,3236
54,3238
115,3251
12,3252
8,3253
75,3254
43,3255
19,3256
96,3271
19,3272
51,3273
28,3274
33,3275
38,3276
54,3291
43,3292
53,3293
10,3294
29,3295
42,3296
24,3297
43,3298
14,3311
12,3312
31,3313
23,3315
10,3316
27,3338
28,3339
164,3340
35,3341
77,3342
45,3352
27,3359
37,3360
7,3372
14,3374
17,3375
33,3378
85,3379
44,3392
7,3393
25,3394
44,3395
30,3401
82,3402
19,3405
56,3407
79,3408
9,3422
12,3423
30,3424
30,3426
198,3427
1,3503
21,3506
2,3513
7,3514
7,3521
6,3522
2,3531
3,3532
0,3533
1,3534
2,3536
2,3538
8,3539
5,3540
3,3541
16,3542
15,3551
46,3561
0,3633
1,3637
8,3638
5,3640
23,3661
1,3662
2,3663
28,3668
2,3669
1,3670
16,3673
3,3681
0,3691
1,3693
3,3694
1,3695
10,3701
0,3703
1,3705
0,3707
0,3708
0,3711
3,3712
2,3713
18,3721
56,3722
6,3723
21,3731
19,3732
15,3733
7,3734
11,3746
5,3752
43,3762
8,3764
17,3847
3,3941
16,3945
12,3946
33,3947
3,3951
6,3952
24,3953
18,3954
57,3955
3,3781
7,3782
3,3783
5,3784
4,3785
27,3786
38,3787
6,3788
1,3789
5,3790
9,3791
18,3792
2,3804
1,3805
1,3808
1,3810
7,3821
18,3822
7,3823
5,3831
7,3832
1,3833
23,3834
3,3835
