commune_name,id,mother age 30-34,mother age 35-39,mother age 40-99,total births,mother age 0-25,mother age 25-29
Aadorf,4551,37,16,4,92,9,26
Aarau,4001,100,80,22,249,11,36
Aarberg,301,22,11,3,46,2,8
Aarburg,4271,27,12,5,88,15,29
Aarwangen,321,12,11,1,43,2,17
Abtwil,4221,7,2,2,13,0,2
Aclens,5621,0,2,0,5,0,3
Acquarossa,5048,9,6,0,18,0,3
Adelboden,561,10,4,1,24,1,8
Adligenswil,1051,21,8,3,40,2,6
Adlikon,21,7,1,0,12,0,4
Adliswil,131,79,61,16,222,10,56
Aedermannsdorf,2421,2,0,0,2,0,0
Aefligen,401,8,4,0,15,0,3
Aegerten,731,3,5,0,14,1,5
Aesch (BL),2761,38,20,4,90,4,24
Aesch (LU),1021,1,0,0,9,0,8
Aesch (ZH),241,8,6,2,16,0,0
Aeschi (SO),2511,5,3,3,14,0,3
Aeschi bei Spiez,562,12,3,1,23,3,4
Aeugst am Albis,1,8,4,3,19,2,2
Affeltrangen,4711,13,7,2,28,2,4
Affoltern am Albis,2,47,24,8,115,10,26
Affoltern im Emmental,951,4,0,0,7,1,2
Agarn,6101,2,1,0,4,1,0
Agiez,5742,2,0,0,3,0,1
Agno,5141,17,12,1,43,3,10
Aigle,5401,29,18,3,109,23,36
Aire-la-Ville,6601,3,4,0,7,0,0
Airolo,5061,9,4,2,20,0,5
Alberswil,1121,3,0,0,8,2,3
Albinen,6102,1,0,0,1,0,0
Albula/Alvra,3542,0,6,0,10,3,1
Alchenstorf,402,5,1,1,7,0,0
Allaman,5851,2,1,0,3,0,0
Alle,6771,6,4,0,17,2,5
Allmendingen,630,0,2,0,2,0,0
Allschwil,2762,80,57,14,195,6,38
Alpnach,1401,28,12,8,72,6,18
Alpthal,1361,1,0,0,2,1,0
Altbüron,1122,2,4,0,11,1,4
Altdorf (UR),1201,32,15,4,78,5,22
Altendorf,1341,34,22,6,75,0,13
Alterswil,2291,9,8,1,23,2,3
Altikon,211,2,0,0,4,0,2
Altishofen,1123,11,4,0,22,0,7
Altnau,4641,8,14,3,32,0,7
Alto Malcantone,5237,4,2,3,10,1,0
Altstätten,3251,56,23,7,128,10,32
Altwis,1022,0,0,0,1,0,1
Amden,3311,9,3,0,14,1,1
Amlikon-Bissegg,4881,5,5,0,13,0,3
Ammerswil,4191,4,2,0,7,0,1
Amriswil,4461,60,25,4,171,23,59
Amsoldingen,921,3,1,1,6,0,1
Andeer,3701,3,4,0,8,1,0
Andelfingen,30,14,8,0,27,2,3
Andermatt,1202,7,2,0,11,0,2
Andiast,3611,2,0,0,3,0,1
Andwil (SG),3441,5,10,1,24,1,7
Anières,6602,7,1,3,24,1,12
Anniviers,6252,11,5,1,21,0,4
Anwil,2841,4,0,0,6,0,2
Appenzell,3101,79,29,9,164,12,35
Apples,5421,5,7,2,17,1,2
Aranno,5143,1,0,1,3,1,0
Arbaz,6261,3,0,1,12,1,7
Arbedo-Castione,5001,16,7,4,40,2,11
Arboldswil,2881,0,1,0,3,0,2
Arbon,4401,58,33,4,152,21,36
Arch,381,4,4,0,11,1,2
Arconciel,2171,6,1,0,10,0,3
Ardon,6021,5,7,2,26,4,8
Arisdorf,2821,4,3,1,12,1,3
Aristau,4222,9,4,1,18,0,4
Arlesheim,2763,23,20,5,63,0,15
Arnex-sur-Nyon,5701,1,0,2,3,0,0
Arnex-sur-Orbe,5743,1,0,0,4,0,3
Arni (AG),4061,5,10,3,20,2,0
Arni (BE),602,8,1,0,9,0,0
Arogno,5144,3,0,0,3,0,0
Arosa,3921,14,3,2,25,2,4
Arth,1362,56,21,7,123,14,25
Arzier-Le Muids,5702,5,7,3,21,2,4
Ascona,5091,9,6,6,25,2,2
Assens,5511,2,4,2,13,1,4
Astano,5146,1,0,0,2,0,1
Attalens,2321,11,5,2,27,1,8
Attelwil,4272,1,1,0,3,0,1
Attinghausen,1203,7,2,0,13,0,4
Attiswil,971,2,3,2,9,1,1
Au (SG),3231,34,11,3,70,5,17
Aubonne,5422,9,7,5,29,2,6
Auboranges,2061,1,1,0,2,0,0
Auenstein,4091,3,4,0,9,0,2
Augst,2822,3,1,0,6,1,1
Ausserberg,6191,2,0,0,2,0,0
Auswil,322,5,2,1,9,0,1
Autafond,2172,0,0,0,0,0,0
Autigny,2173,5,2,2,10,0,1
Auw,4223,9,3,0,15,1,2
Avegno Gordevio,5324,6,2,0,15,2,5
Avenches,5451,13,17,5,56,7,14
Avers,3681,2,0,0,2,0,0
Avry,2174,6,3,2,14,0,3
Avully,6603,7,3,1,19,2,6
Avusy,6604,2,3,0,5,0,0
Ayent,6082,12,16,3,40,1,8
Baar,1701,110,83,24,283,12,54
Bachenbülach,51,11,9,5,38,5,8
Bachs,81,2,1,0,5,1,1
Bad Ragaz,3291,19,14,0,49,5,11
Bad Zurzach,4323,10,6,3,35,3,13
Baden,4021,94,85,19,234,10,26
Bagnes,6031,28,21,2,72,3,18
Baldingen,4301,0,0,0,0,0,0
Balerna,5242,10,2,4,18,0,2
Balgach,3232,26,12,5,59,1,15
Ballaigues,5744,3,1,0,13,3,6
Ballens,5423,2,2,1,7,0,2
Ballwil,1023,20,9,1,39,1,8
Balm bei Günsberg,2541,1,0,0,1,0,0
Balsthal,2422,16,11,4,66,9,26
Baltschieder,6281,6,2,0,13,3,2
Bangerten,532,1,1,0,2,0,0
Bannwil,323,1,2,0,6,1,2
Barberêche,2243,1,1,1,3,0,0
Bardonnex,6605,13,9,4,30,2,2
Bargen (BE),302,6,3,3,15,1,2
Bargen (SH),2931,0,0,0,2,0,2
Bas-Intyamon,2162,8,2,1,19,5,3
Bas-Vully,2280,6,4,1,14,2,1
Basadingen-Schlattingen,4536,5,6,0,16,1,4
Basel,2701,701,531,127,1873,130,384
Basse-Allaine,6807,3,6,0,17,3,5
Bassersdorf,52,46,28,7,114,10,23
Bassins,5703,4,3,0,7,0,0
Bauen,1204,1,0,0,1,0,0
Baulmes,5745,6,4,0,14,2,2
Bauma,297,19,14,3,49,4,9
Bavois,5746,6,2,2,13,0,3
Beatenberg,571,4,2,1,8,0,1
Beckenried,1501,19,11,2,43,6,5
Bedano,5148,3,5,3,19,1,7
Bedigliora,5149,2,1,0,4,0,1
Bedretto,5063,0,0,0,1,0,1
Beggingen,2951,0,1,0,2,0,1
Begnins,5704,4,3,4,15,2,2
Beinwil (Freiamt),4224,6,1,0,9,1,1
Beinwil (SO),2612,0,1,0,1,0,0
Beinwil am See,4131,9,8,3,28,2,6
Belfaux,2175,20,10,1,49,7,11
Bellach,2542,19,9,1,55,7,19
Bellevue,6606,16,6,4,31,1,4
Bellikon,4022,5,2,3,11,0,1
Bellinzona,5002,51,41,11,157,15,39
Bellmund,732,7,7,2,17,0,1
Bellwald,6052,0,0,1,2,0,1
Belmont-sur-Lausanne,5581,13,17,4,39,1,4
Belmont-sur-Yverdon,5902,3,3,0,6,0,0
Belp,861,50,29,4,124,13,28
Belprahon,681,3,1,0,5,0,1
Benken (SG),3312,7,6,0,28,2,13
Benken (ZH),22,3,4,0,11,1,3
Bennwil,2882,1,0,0,1,0,0
Bercher,5512,3,2,1,10,0,4
Berg (SG),3211,5,2,0,10,0,3
Berg (TG),4891,10,2,0,22,2,8
Berg am Irchel,23,1,1,0,2,0,0
Bergdietikon,4023,16,9,1,41,1,14
Bergün/Bravuogn,3521,1,2,0,6,1,2
Berikon,4062,13,12,6,40,0,9
Beringen,2932,16,10,0,47,6,15
Berken,972,0,0,0,0,0,0
Berlingen,4801,4,2,0,10,1,3
Bern,351,691,502,114,1670,86,277
Berneck,3233,18,11,1,43,3,10
Bernex,6607,24,30,5,68,1,8
Berolle,5424,1,0,0,1,0,0
Beromünster,1081,25,14,6,70,5,20
Besenbüren,4226,1,3,0,7,0,3
Bettenhausen,973,5,1,0,6,0,0
Bettens,5471,8,1,2,17,1,5
Bettingen,2702,4,0,1,8,0,3
Bettlach,2543,20,11,2,45,4,8
Bettmeralp,6205,1,3,0,6,0,2
Bettwiesen,4716,3,2,2,14,2,5
Bettwil,4227,2,1,0,6,0,3
Beurnevésin,6773,0,0,0,0,0,0
Bevaix,6402,8,13,0,30,4,5
Bever,3781,1,2,0,3,0,0
Bex,5402,28,11,3,81,15,24
Biasca,5281,23,8,4,60,6,19
Biberist,2513,32,25,2,81,7,15
Biberstein,4002,5,4,1,10,0,0
Bichelsee-Balterswil,4721,9,6,1,31,6,9
Biel-Benken,2764,8,11,1,23,1,2
Biel/Bienne,371,232,154,33,680,73,188
Biezwil,2445,0,0,0,1,0,1
Biglen,603,7,4,0,22,2,9
Billens-Hennens,2063,4,1,0,8,0,3
Binn,6054,0,2,0,2,0,0
Binningen,2765,55,50,23,167,8,31
Bioggio,5151,13,6,6,29,1,3
Bioley-Magnoux,5903,2,0,0,4,0,2
Bioley-Orjulaz,5513,7,2,2,13,0,2
Birmensdorf (ZH),242,26,20,5,64,2,11
Birmenstorf (AG),4024,15,12,3,35,0,5
Birr,4092,19,8,0,55,8,20
Birrhard,4093,2,1,1,6,0,2
Birrwil,4132,4,2,1,10,0,3
Birsfelden,2766,42,25,10,110,9,24
Birwinken,4901,8,2,0,15,2,3
Bischofszell,4471,15,10,4,51,6,16
Bissone,5154,2,1,1,6,0,2
Bister,6172,0,0,0,0,0,0
Bitsch,6173,5,1,1,9,0,2
Bivio,3531,0,0,0,0,0,0
Bière,5425,6,2,1,18,1,8
Blatten,6192,1,0,0,1,0,0
Blauen,2781,2,1,1,4,0,0
Bleienbach,324,1,0,0,3,0,2
Blenio,5049,3,3,0,16,3,7
Blitzingen,6055,1,0,0,1,0,0
Blonay,5881,12,12,5,37,1,7
Blumenstein,922,6,0,1,11,1,3
Bodio,5064,7,3,0,14,0,4
Bofflens,5747,1,0,0,1,0,0
Bogis-Bossey,5705,1,3,1,5,0,0
Bolken,2514,1,0,2,3,0,0
Bolligen,352,16,10,1,37,2,8
Boltigen,791,7,3,0,14,2,2
Bonaduz,3721,25,7,0,39,1,6
Boncourt,6774,7,1,1,11,0,2
Bonfol,6775,2,0,0,5,0,3
Boningen,2571,3,4,0,8,0,1
Boniswil,4192,2,2,2,11,1,4
Bonstetten,3,23,16,2,55,2,12
Bonvillars,5551,2,1,1,6,0,2
Boppelsen,82,2,2,1,6,0,1
Borex,5706,6,6,5,17,0,0
Bosco/Gurin,5304,0,1,0,1,0,0
Bossonnens,2323,6,2,1,16,2,5
Boswil,4228,9,4,1,23,2,7
Bottens,5514,7,4,0,17,2,4
