commune_id,percentages FDP/PLR (PRD),percentages CVP/PDC,percentages SP/PS,percentages SVP/UDC,percentages LPS/PLS,percentages LdU/AdI,percentages EVP/PEV,percentages CSP/PCS,percentages GLP/PVL,percentages BDP/PBD,percentages PdA/PST,percentages PSA,percentages POCH,percentages GPS/PES,percentages FGA/AVF,percentages Sol.,percentages SD/DS,percentages Rep./Rép.,percentages EDU/UDF,percentages FPS/PSL,percentages Lega,percentages MCR,percentages Sep./Sép.,percentages Übrige/Autres
1,18.69166,2.0764278,18.6459405,30.9292491,0.0,0.0,3.4670629,0.0,8.4352497,2.617442,0.1676382,0.0,0.0,7.0750943,0.0,0.0,0.3124167,0.0,4.575761,0.0,0.0,0.0,0.0,3.0060578
2,14.2266236,4.5853868,19.0803141,33.7857855,0.0,0.0,5.464827,0.0,7.3578595,4.1642988,0.1900485,0.0,0.0,6.211047,0.0,0.0,0.1909801,0.0,1.5772165,0.0,0.0,0.0,0.0,3.1656124
3,16.4726356,3.3785406,20.4032645,29.100156,0.0,0.0,3.1430029,0.0,11.862398,3.8031085,0.112518,0.0,0.0,6.6610658,0.0,0.0,0.1665266,0.0,1.7492799,0.0,0.0,0.0,0.0,3.1475036
4,12.7936522,2.881915,19.3933045,34.9373691,0.0,0.0,2.5698747,0.0,8.7482726,4.656087,0.1939108,0.0,0.0,8.0216645,0.0,0.0,0.1849953,0.0,1.6404404,0.0,0.0,0.0,0.0,3.9785138
5,15.8058268,3.9181664,22.4780082,30.1145993,0.0,0.0,3.5892987,0.0,9.6259382,3.7688645,0.2279881,0.0,0.0,6.4663869,0.0,0.0,0.0181583,0.0,1.8218869,0.0,0.0,0.0,0.0,2.1648777
6,10.9525418,2.7444688,10.2854248,48.6150988,0.0,0.0,6.6036143,0.0,5.62405,5.1342679,0.3124472,0.0,0.0,4.3827056,0.0,0.0,0.0253336,0.0,2.7444688,0.0,0.0,0.0,0.0,2.5755784
7,11.4565803,3.1260518,18.4365533,32.876136,0.0,0.0,6.1679569,0.0,10.4215752,5.944968,0.0084147,0.0,0.0,5.8019185,0.0,0.0,0.1682935,0.0,3.2691013,0.0,0.0,0.0,0.0,2.3224504
8,4.8901371,3.5023955,22.7325293,43.3834462,0.0,0.0,3.7336858,0.0,4.8570957,3.4528333,0.6443086,0.0,0.0,5.1709896,0.0,0.0,0.0,0.0,2.1146539,0.0,0.0,0.0,0.0,5.517925
9,13.1847175,3.6491554,18.8002821,35.6710151,0.0,0.0,3.4680599,0.0,9.6205007,4.3527036,0.1330171,0.0,0.0,5.059457,0.0,0.0,0.250008,0.0,3.3190166,0.0,0.0,0.0,0.0,2.4920671
10,14.4130318,6.4881756,16.9221382,36.1740288,0.0,0.0,4.7926335,0.0,7.3886434,4.3581162,0.0869035,0.0,0.0,3.7054157,0.0,0.0,0.1053936,0.0,2.8770593,0.0,0.0,0.0,0.0,2.6884603
11,16.8383429,4.1343015,18.6085782,34.8896769,0.0,0.0,2.0995159,0.0,8.2179444,4.9082517,0.1660475,0.0,0.0,4.8153777,0.0,0.0,0.0197006,0.0,2.1361027,0.0,0.0,0.0,0.0,3.1661601
12,9.321812,1.7216549,21.1311862,30.5184603,0.0,0.0,7.3972244,0.0,9.020686,3.5676879,0.2487562,0.0,0.0,10.7685258,0.0,0.0,0.2029327,0.0,2.90652,0.0,0.0,0.0,0.0,3.1945535
13,18.8134955,3.4616832,17.6194657,40.4615578,0.0,0.0,1.6831807,0.0,6.6374012,4.0662235,0.2357958,0.0,0.0,3.993478,0.0,0.0,0.0351185,0.0,0.516744,0.0,0.0,0.0,0.0,2.475856
14,24.8477333,4.5036418,14.3868517,32.0890368,0.0,0.0,2.2369082,0.0,9.2333291,4.0813764,0.0737787,0.0,0.0,4.607246,0.0,0.0,0.0800578,0.0,1.2495291,0.0,0.0,0.0,0.0,2.6105111
