commune_id,commune_name,canton,canton_id
1,Aeugst am Albis,Zürich,1
2,Affoltern am Albis,Zürich,1
3,Bonstetten,Zürich,1
4,Hausen am Albis,Zürich,1
5,Hedingen,Zürich,1
6,Kappel am Albis,Zürich,1
7,Knonau,Zürich,1
8,Maschwanden,Zürich,1
9,Mettmenstetten,Zürich,1
10,Obfelden,Zürich,1
11,Ottenbach,Zürich,1
12,Rifferswil,Zürich,1
13,Stallikon,Zürich,1
14,Wettswil am Albis,Zürich,1
21,Adlikon,Zürich,1
22,Benken (ZH),Zürich,1
23,Berg am Irchel,Zürich,1
24,Buch am Irchel,Zürich,1
25,Dachsen,Zürich,1
26,Dorf,Zürich,1
27,Feuerthalen,Zürich,1
28,Flaach,Zürich,1
29,Flurlingen,Zürich,1
30,Andelfingen,Zürich,1
31,Henggart,Zürich,1
32,Humlikon,Zürich,1
33,Kleinandelfingen,Zürich,1
34,Laufen-Uhwiesen,Zürich,1
35,Marthalen,Zürich,1
36,Oberstammheim,Zürich,1
37,Ossingen,Zürich,1
38,Rheinau,Zürich,1
39,Thalheim an der Thur,Zürich,1
40,Trüllikon,Zürich,1
41,Truttikon,Zürich,1
42,Unterstammheim,Zürich,1
43,Volken,Zürich,1
44,Waltalingen,Zürich,1
51,Bachenbülach,Zürich,1
52,Bassersdorf,Zürich,1
53,Bülach,Zürich,1
54,Dietlikon,Zürich,1
55,Eglisau,Zürich,1
56,Embrach,Zürich,1
57,Freienstein-Teufen,Zürich,1
58,Glattfelden,Zürich,1
59,Hochfelden,Zürich,1
60,Höri,Zürich,1
61,Hüntwangen,Zürich,1
62,Kloten,Zürich,1
63,Lufingen,Zürich,1
64,Nürensdorf,Zürich,1
65,Oberembrach,Zürich,1
66,Opfikon,Zürich,1
67,Rafz,Zürich,1
68,Rorbas,Zürich,1
69,Wallisellen,Zürich,1
70,Wasterkingen,Zürich,1
71,Wil (ZH),Zürich,1
72,Winkel,Zürich,1
81,Bachs,Zürich,1
82,Boppelsen,Zürich,1
83,Buchs (ZH),Zürich,1
