,commune,id,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss,FDP/PLR (PRD),CVP/PDC,SP/PS,SVP/UDC,GLP/PVL,BDP/PBD,GPS/PES,Other/Autres
0,Aeugst am Albis,1,1981,0.19,0.23,0.42,0.16,0.5,0.87,18.69,2.08,18.65,30.93,8.44,2.62,7.08,11.54
1,Affoltern am Albis,2,11707,0.18,0.3,0.35,0.17,0.5,0.73,14.23,4.59,19.08,33.79,7.36,4.16,6.21,10.59
2,Bonstetten,3,5326,0.22,0.26,0.37,0.15,0.49,0.86,16.47,3.38,20.4,29.1,11.86,3.8,6.66,8.32
3,Hausen am Albis,4,3477,0.2,0.23,0.4,0.17,0.49,0.86,12.79,2.88,19.39,34.94,8.75,4.66,8.02,8.56
4,Hedingen,5,3659,0.21,0.25,0.39,0.15,0.5,0.85,15.81,3.92,22.48,30.11,9.63,3.77,6.47,7.82
5,Kappel am Albis,6,1033,0.23,0.23,0.4,0.14,0.5,0.86,10.95,2.74,10.29,48.62,5.62,5.13,4.38,12.26
6,Knonau,7,2097,0.21,0.25,0.39,0.15,0.51,0.84,11.46,3.13,18.44,32.88,10.42,5.94,5.8,11.94
7,Maschwanden,8,641,0.2,0.28,0.36,0.16,0.52,0.88,4.89,3.5,22.73,43.38,4.86,3.45,5.17,12.0
8,Mettmenstetten,9,4669,0.19,0.26,0.38,0.16,0.5,0.86,13.18,3.65,18.8,35.67,9.62,4.35,5.06,9.66
9,Obfelden,10,5009,0.21,0.25,0.37,0.16,0.5,0.8,14.41,6.49,16.92,36.17,7.39,4.36,3.71,10.56
10,Ottenbach,11,2568,0.18,0.23,0.41,0.18,0.49,0.89,16.84,4.13,18.61,34.89,8.22,4.91,4.82,7.6
11,Rifferswil,12,1057,0.26,0.21,0.39,0.15,0.47,0.91,9.32,1.72,21.13,30.52,9.02,3.57,10.77,13.95
12,Stallikon,13,3455,0.19,0.24,0.41,0.17,0.51,0.81,18.81,3.46,17.62,40.46,6.64,4.07,3.99,4.96
13,Wettswil am Albis,14,4920,0.21,0.23,0.36,0.2,0.49,0.85,24.85,4.5,14.39,32.09,9.23,4.08,4.61,6.25
14,Adlikon,21,662,0.19,0.26,0.38,0.16,0.49,0.91,7.39,0.86,8.32,56.82,3.92,6.63,3.83,12.24
15,Benken (ZH),22,860,0.19,0.24,0.44,0.14,0.51,0.88,10.86,1.59,11.94,43.81,3.84,9.63,9.44,8.89
16,Berg am Irchel,23,573,0.13,0.22,0.42,0.23,0.51,0.9,10.59,2.88,7.67,50.15,7.91,8.23,4.22,8.35
17,Buch am Irchel,24,966,0.23,0.27,0.38,0.13,0.49,0.92,12.91,2.0,7.54,51.42,9.52,7.41,2.28,6.92
