commune_id,FDP/PLR (PRD),CVP/PDC,SP/PS,SVP/UDC,GLP/PVL,GPS/PES,Other/Autres
1,18.69,2.08,18.65,30.93,8.44,7.08,14.16
2,14.23,4.59,19.08,33.79,7.36,6.21,14.75
3,16.47,3.38,20.4,29.1,11.86,6.66,12.12
4,12.79,2.88,19.39,34.94,8.75,8.02,13.22
5,15.81,3.92,22.48,30.11,9.63,6.47,11.59
6,10.95,2.74,10.29,48.62,5.62,4.38,17.39
7,11.46,3.13,18.44,32.88,10.42,5.8,17.88
8,4.89,3.5,22.73,43.38,4.86,5.17,15.45
9,13.18,3.65,18.8,35.67,9.62,5.06,14.01
10,14.41,6.49,16.92,36.17,7.39,3.71,14.92
11,16.84,4.13,18.61,34.89,8.22,4.82,12.51
12,9.32,1.72,21.13,30.52,9.02,10.77,17.52
13,18.81,3.46,17.62,40.46,6.64,3.99,9.03
14,24.85,4.5,14.39,32.09,9.23,4.61,10.33
21,7.39,0.86,8.32,56.82,3.92,3.83,18.87
22,10.86,1.59,11.94,43.81,3.84,9.44,18.52
23,10.59,2.88,7.67,50.15,7.91,4.22,16.58
24,12.91,2.0,7.54,51.42,9.52,2.28,14.33
25,12.09,5.17,19.79,32.06,8.85,6.94,15.1
26,10.47,1.97,10.52,49.15,3.22,2.62,22.04
27,10.62,3.7,23.27,36.59,6.12,5.71,13.98
28,11.0,1.22,11.06,50.95,3.79,3.23,18.75
29,16.93,4.22,21.96,28.05,9.03,6.46,13.34
30,16.43,2.33,11.77,34.09,10.4,6.72,18.27
31,13.5,2.21,15.41,37.78,8.55,4.95,17.62
32,15.03,1.77,9.36,50.01,7.54,2.77,13.52
33,12.59,1.59,14.19,42.63,8.66,5.39,14.97
34,16.71,3.89,11.15,39.72,7.14,4.41,16.99
35,7.8,2.06,11.17,47.76,7.06,8.02,16.12
36,27.43,1.5,9.33,36.37,5.73,6.03,13.62
37,12.29,2.75,12.65,44.07,7.78,5.24,15.2
38,7.42,7.46,20.66,30.48,6.71,9.54,17.75
39,9.52,0.31,10.74,53.99,3.88,3.55,18.01
40,7.73,0.57,14.18,50.03,4.59,5.5,17.39
