id,inhabitant per km^2
4551,441.86
4001,1678.99
301,571.59
4271,1746.83
321,446.4
4221,233.73
5621,134.62
5048,30.12
561,38.94
1051,765.09
21,99.7
131,2385.0
2421,42.59
401,520.49
731,867.59
2761,1374.73
1021,233.48
241,230.19
2511,223.53
562,71.7
1,251.72
4711,173.75
2,1104.43
951,100.87
6101,101.96
5742,56.67
5141,1793.57
5401,603.52
6601,402.78
5061,16.68
1121,183.99
6102,15.65
3542,14.16
402,90.94
5851,154.9
6771,166.04
630,144.18
2762,2293.5
1401,109.84
1361,26.04
1122,145.43
1201,899.41
1341,329.73
2291,127.3
211,85.29
1123,270.91
4641,320.75
5237,64.8
3251,287.2
1022,143.45
3311,41.2
4881,91.56
4191,213.12
4461,689.58
921,172.28
3701,20.66
30,324.36
1202,22.31
3611,14.89
3441,303.68
6602,632.9
6252,11.17
2841,146.12
3101,345.31
5421,105.4
5143,127.57
6261,61.98
5001,225.77
2881,165.12
4401,2405.23
381,240.25
2171,141.41
6021,149.73
2821,165.97
4222,158.9
2763,1322.67
5701,104.29
5743,81.39
4061,535.94
602,88.57
5144,117.43
3921,20.71
1362,275.44
5091,1091.57
5511,194.16
5146,80.42
2321,335.88
4272,128.18
1203,34.66
971,184.16
3231,1566.45
5422,344.21
2061,141.67
4091,273.6
2822,583.95
6191,42.18
322,102.17
2172,29.22
2173,129.1
4223,231.81
5324,53.55
5451,211.53
3681,1.8
2174,322.55
6603,381.68
6604,274.76
6082,71.24
1701,950.65
51,940.09
81,63.93
3291,225.55
4323,637.52
4021,1442.03
6031,28.55
4301,96.44
5242,1307.72
3232,687.77
5744,118.34
5423,59.67
1023,314.78
2541,37.0
2422,383.37
6281,41.41
532,73.18
323,146.95
2243,57.5
6605,449.3
302,126.11
2931,35.06
2162,38.8
2280,212.96
4536,116.59
2701,7091.48
6807,54.02
52,1288.1
5703,63.39
1204,41.69
5745,45.76
297,164.19
5746,101.18
571,40.79
1501,146.02
5148,804.17
5149,257.09
5063,1.44
2951,38.05
5704,380.79
4224,95.41
2612,11.7
4131,796.1
2175,500.31
2542,990.49
6606,742.6
4022,313.36
5002,958.67
732,425.98
6052,29.96
5581,1386.15
5902,56.68
861,496.22
681,80.21
3312,177.64
22,151.68
2882,99.08
5512,270.75
3211,222.22
4891,251.41
23,81.16
4023,445.51
3521,3.48
4062,856.51
2932,243.88
972,28.57
4801,242.54
351,2549.0
3233,705.38
6607,765.77
5424,30.34
1081,152.71
4226,258.3
973,166.67
5471,148.53
2702,531.19
2543,398.69
6205,15.4
4716,299.74
4227,134.04
6773,24.71
6402,353.1
3781,13.73
5402,76.21
5281,104.26
2513,671.73
4002,356.76
4721,230.53
2764,833.25
371,2548.42
2445,77.27
603,487.43
2063,140.2
6054,2.23
2765,3396.85
5151,405.39
5903,46.85
5513,151.61
242,547.07
4024,377.03
4092,873.41
4093,231.56
4132,328.78
2766,4076.77
4901,110.81
4471,504.45
5154,475.96
6172,5.32
6173,219.66
3531,2.33
5425,62.72
6192,3.18
2781,97.75
324,118.98
5049,8.82
6055,6.27
5881,382.04
922,78.69
5064,163.31
5747,44.42
5705,369.39
2514,268.08
352,370.65
791,16.74
3721,220.28
6774,135.59
6775,49.3
2571,261.57
4192,603.4
3,714.9
5551,67.25
82,337.5
5706,551.28
5304,2.36
2323,366.18
4228,236.6
5514,176.22
4273,153.53
2123,130.94
4643,904.58
2767,2176.01
6404,341.64
5426,272.47
5661,95.03
6032,2.02
5613,542.69
5472,95.88
6703,19.63
5473,302.2
6131,65.84
605,93.2
6702,72.95
4723,82.7
3792,6.11
5269,80.16
3981,24.75
2613,549.63
5622,173.56
4063,687.44
353,2332.45
5662,37.8
606,234.84
5515,279.65
5748,46.17
2883,105.84
573,64.54
574,27.04
6002,344.34
5095,3.75
5096,130.0
2782,171.72
5097,99.38
4274,282.02
2124,249.11
6405,20.77
6433,16.81
