,id,German,French,Italian,Romansh,Main Langage
0,1,98.7413,0.8392,0.3497,0.0699,German
1,2,98.4714,0.7916,0.5596,0.1774,German
2,3,97.9994,0.8659,0.8062,0.3285,German
3,4,98.7952,0.5842,0.5842,0.0365,German
4,5,98.0949,0.8512,0.6891,0.3648,German
5,6,99.2574,0.6188,0.1238,0.0,German
6,7,98.7529,0.5456,0.7015,0.0,German
7,8,99.6176,0.3824,0.0,0.0,German
8,9,98.8839,0.5128,0.5128,0.0905,German
9,10,98.2245,0.8305,0.5727,0.3723,German
10,11,98.3333,0.9091,0.5556,0.202,German
11,12,98.9796,0.5831,0.2915,0.1458,German
12,13,98.0053,1.5957,0.2216,0.1773,German
13,14,97.8704,1.3497,0.5699,0.21,German
14,21,99.8227,0.1773,0.0,0.0,German
15,22,98.1651,1.3761,0.4587,0.0,German
16,23,99.0637,0.3745,0.3745,0.1873,German
17,24,99.8561,0.1439,0.0,0.0,German
18,25,98.5673,0.6447,0.6447,0.1433,German
19,26,99.6317,0.3683,0.0,0.0,German
20,27,98.8678,0.4448,0.6066,0.0809,German
21,28,99.1338,0.385,0.0962,0.385,German
22,29,99.1135,0.7092,0.0887,0.0887,German
23,30,99.4924,0.2175,0.2901,0.0,German
24,31,99.2486,0.5464,0.2049,0.0,German
25,32,98.1675,1.0471,0.2618,0.5236,German
26,33,99.19,0.4361,0.3115,0.0623,German
27,34,99.2936,0.471,0.157,0.0785,German
28,35,98.9286,0.5952,0.0595,0.4167,German
29,36,99.115,0.3933,0.4916,0.0,German
30,37,99.2215,0.173,0.346,0.2595,German
31,38,98.8839,0.8185,0.2232,0.0744,German
32,39,99.6516,0.1742,0.1742,0.0,German
33,40,99.6711,0.1096,0.2193,0.0,German
34,41,99.2665,0.0,0.489,0.2445,German
35,42,99.6203,0.2532,0.0,0.1266,German
36,43,99.5885,0.0,0.4115,0.0,German
37,44,99.3808,0.4644,0.1548,0.0,German
38,51,96.9683,1.819,0.9795,0.2332,German
39,52,97.3503,1.3584,1.1571,0.1342,German
40,53,97.6115,1.1943,1.0356,0.1586,German
41,54,97.1547,1.5784,0.9761,0.2908,German
42,55,98.36,1.066,0.369,0.205,German
43,56,97.5763,1.2729,0.7323,0.4185,German
44,57,98.6391,0.8165,0.4355,0.1089,German
45,58,98.6011,0.538,0.6098,0.2511,German
46,59,97.8407,1.4892,0.5957,0.0745,German
47,60,97.9725,0.7194,1.308,0.0,German
48,61,98.929,0.5355,0.5355,0.0,German
49,62,95.9739,2.272,1.42,0.3341,German
50,63,98.191,1.206,0.603,0.0,German
51,64,98.4066,1.1308,0.3598,0.1028,German
52,65,98.5138,1.0616,0.4246,0.0,German
53,66,95.6223,1.9924,1.9223,0.463,German
54,67,99.178,0.4289,0.2502,0.143,German
55,68,97.4648,1.5775,0.5634,0.3944,German
56,69,97.2672,1.3664,1.0579,0.3085,German
57,70,99.0637,0.7491,0.0,0.1873,German
58,71,99.3464,0.5719,0.0817,0.0,German
59,72,97.6142,1.5337,0.6135,0.2386,German
60,81,98.5348,1.0989,0.3663,0.0,German
61,82,98.4427,0.5562,0.2225,0.7786,German
62,83,97.8331,1.142,0.7613,0.2635,German
63,84,98.193,0.9856,0.7392,0.0821,German
64,85,98.3728,0.5917,0.9615,0.074,German
65,86,97.7052,1.1609,0.9179,0.216,German
66,87,99.0847,0.4577,0.4577,0.0,German
67,88,97.7976,1.7807,0.2343,0.1874,German
68,89,98.3844,0.9088,0.5049,0.202,German
69,90,97.7517,1.3967,0.7835,0.0681,German
70,91,97.7428,1.3648,0.6299,0.2625,German
71,92,97.4581,1.1265,1.011,0.4044,German
72,93,98.2944,0.8079,0.7181,0.1795,German
73,94,98.2933,1.0746,0.5689,0.0632,German
74,95,99.2991,0.7009,0.0,0.0,German
75,96,97.276,1.3015,1.0593,0.3632,German
76,97,97.5161,1.1464,1.0509,0.2866,German
77,98,98.9983,0.5008,0.3339,0.1669,German
78,99,98.7891,0.8073,0.1009,0.3027,German
79,100,99.2415,0.3793,0.3161,0.0632,German
80,101,98.7123,0.7993,0.3108,0.1776,German
81,102,99.2108,0.451,0.2255,0.1127,German
82,111,99.0367,0.3211,0.4817,0.1606,German
83,112,98.8336,0.5729,0.4297,0.1637,German
84,113,98.8524,0.4155,0.554,0.1781,German
85,114,99.4388,0.2245,0.3367,0.0,German
86,115,98.7545,0.48,0.5189,0.2465,German
87,116,98.6235,0.6324,0.6324,0.1116,German
88,117,99.0001,0.4615,0.3589,0.1795,German
89,118,98.341,0.5813,0.9082,0.1695,German
90,119,98.8626,0.5687,0.4739,0.0948,German
91,120,98.7629,0.3013,0.7454,0.1903,German
92,121,98.1086,0.6671,1.0117,0.2126,German
93,131,96.4788,2.0713,1.0874,0.3625,German
94,132,98.6199,0.7476,0.5175,0.115,German
95,133,97.4949,1.099,1.1798,0.2263,German
96,134,98.7212,0.8951,0.2558,0.1279,German
97,135,96.6123,2.0752,1.1352,0.1774,German
98,136,97.1517,1.3664,1.2702,0.2117,German
99,137,97.7192,1.4698,0.6842,0.1267,German
100,138,97.9764,0.9124,0.9241,0.1872,German
101,139,96.6354,2.1127,1.0172,0.2347,German
102,140,99.0605,0.7634,0.1174,0.0587,German
103,141,96.9332,1.6025,1.0982,0.3661,German
104,142,96.9707,1.9601,0.8646,0.2046,German
105,151,97.2051,1.5318,0.9944,0.2687,German
106,152,97.1538,1.9754,0.5947,0.2761,German
107,153,98.6882,0.6223,0.5045,0.185,German
108,154,96.8962,1.8171,1.0608,0.2259,German
109,155,98.0631,0.9098,0.7337,0.2935,German
110,156,97.3366,1.6553,0.764,0.2441,German
111,157,98.4415,0.6997,0.6043,0.2545,German
112,158,98.1761,0.9797,0.6774,0.1668,German
113,159,97.8311,1.0383,0.8306,0.3,German
114,160,97.1267,1.8797,0.7787,0.2148,German
115,161,96.4354,2.1895,1.0683,0.3067,German
116,172,98.3178,0.8023,0.5435,0.3364,German
117,173,98.8074,0.6867,0.3253,0.1807,German
118,174,98.088,0.8804,0.6759,0.3557,German
119,175,99.7375,0.0,0.0,0.2625,German
120,176,97.903,1.0016,0.939,0.1565,German
121,177,98.5748,0.4619,0.8182,0.1452,German
122,178,98.8751,0.6057,0.4038,0.1154,German
123,180,99.1231,0.4575,0.3812,0.0381,German
124,181,99.2453,0.3145,0.2516,0.1887,German
125,182,99.2866,0.4756,0.2378,0.0,German
126,191,96.801,1.8333,1.1443,0.2215,German
127,192,98.4067,0.7392,0.6242,0.23,German
128,193,97.5718,1.6574,0.5781,0.1927,German
129,194,97.5859,1.5785,0.5803,0.2553,German
130,195,97.1119,1.8879,0.6762,0.324,German
131,196,98.5201,1.0218,0.3171,0.1409,German
132,197,97.2924,1.3839,1.1432,0.1805,German
