name,data,id
Zürich,47.131713,1
Bern / Berne,43.816363,2
Luzern,38.982262,3
Uri,40.498234,4
Schwyz,31.908193,5
Obwalden,35.125337,6
Nidwalden,34.955135,7
Glarus,38.534466,8
Zug,37.914976,9
Fribourg / Freiburg,48.497936,10
Solothurn,39.474176,11
Basel-Stadt,60.476357,12
Basel-Landschaft,50.435962,13
Schaffhausen,46.862656,14
Appenzell Ausserrhoden,42.565227,15
Appenzell Innerrhoden,34.183789,16
St. Gallen,39.86006,17
Graubünden / Grigioni / Grischun,44.051099,18
Aargau,37.054486,19
Thurgau,40.212539,20
Ticino,46.258115,21
Vaud,54.569561,22
Valais / Wallis,46.743125,23
Neuchâtel,56.781851,24
Genève,58.963969,25
Jura,57.471264,26
