id,idVotation,municipality,date,bulletins,valables,inscrit,non,oui,percentage_oui,participation
70,5680,Wasterkingen,2013-03-03,214,214,422,67,147,68.69,50.71
71,5680,Wil (ZH),2013-03-03,490,482,992,112,370,76.76,49.4
72,5680,Winkel,2013-03-03,1498,1483,2974,534,949,63.99,50.37
81,5680,Bachs,2013-03-03,228,225,451,66,159,70.67,50.55
82,5680,Boppelsen,2013-03-03,484,480,886,138,342,71.25,54.63
83,5680,Buchs (ZH),2013-03-03,1399,1392,3744,423,969,69.61,37.37
84,5680,Dällikon,2013-03-03,870,863,2217,245,618,71.61,39.24
85,5680,Dänikon,2013-03-03,501,501,1153,143,358,71.46,43.45
86,5680,Dielsdorf,2013-03-03,1413,1403,3481,370,1033,73.63,40.59
87,5680,Hüttikon,2013-03-03,225,221,500,79,142,64.25,45.0
88,5680,Neerach,2013-03-03,1086,1080,2250,407,673,62.31,48.27
89,5680,Niederglatt,2013-03-03,1189,1171,2819,331,840,71.73,42.18
90,5680,Niederhasli,2013-03-03,2079,2054,5336,565,1489,72.49,38.96
91,5680,Niederweningen,2013-03-03,894,887,1823,240,647,72.94,49.04
92,5680,Oberglatt,2013-03-03,1084,1072,3184,279,793,73.97,34.05
93,5680,Oberweningen,2013-03-03,537,531,1136,150,381,71.75,47.27
94,5680,Otelfingen,2013-03-03,753,746,1741,220,526,70.51,43.25
95,5680,Regensberg,2013-03-03,184,184,324,63,121,65.76,56.79
96,5680,Regensdorf,2013-03-03,3625,3592,9334,962,2630,73.22,38.84
97,5680,Rümlang,2013-03-03,1574,1562,4190,381,1181,75.61,37.57
98,5680,Schleinikon,2013-03-03,261,261,527,61,200,76.63,49.53
99,5680,Schöfflisdorf,2013-03-03,506,504,958,140,364,72.22,52.82
100,5680,Stadel,2013-03-03,639,636,1460,186,450,70.75,43.77
101,5680,Steinmaur,2013-03-03,965,959,2173,283,676,70.49,44.41
102,5680,Weiach,2013-03-03,324,323,765,78,245,75.85,42.35
104,5680,Bezirk Dielsdorf,2013-03-03,20820,20647,50452,5810,14837,71.86,41.27
105,5680,Bezirk Hinwil,2013-03-03,27486,27170,60354,7366,19804,72.89,45.54
106,5680,Bezirk Horgen,2013-03-03,36640,36187,74617,12059,24128,66.68,49.1
107,5680,Bezirk Meilen,2013-03-03,36071,35691,65481,14213,21478,60.18,55.09
111,5680,Bäretswil,2013-03-03,1842,1819,3586,479,1340,73.67,51.37
112,5680,Bubikon,2013-03-03,2424,2403,4851,668,1735,72.2,49.97
113,5680,Dürnten,2013-03-03,2293,2263,4763,621,1642,72.56,48.14
114,5680,Fischenthal,2013-03-03,750,739,1621,215,524,70.91,46.27
115,5680,Gossau (ZH),2013-03-03,3316,3264,6848,924,2340,71.69,48.42
116,5680,Grüningen,2013-03-03,1109,1095,2302,318,777,70.96,48.18
117,5680,Hinwil,2013-03-03,3454,3422,7348,895,2527,73.85,47.01
118,5680,Rüti (ZH),2013-03-03,3316,3285,7705,895,2390,72.75,43.04
119,5680,Seegräben,2013-03-03,539,534,884,151,383,71.72,60.97
120,5680,Wald (ZH),2013-03-03,2433,2406,5792,621,1785,74.19,42.01
121,5680,Wetzikon (ZH),2013-03-03,6010,5940,14654,1579,4361,73.42,41.01
131,5680,Adliswil,2013-03-03,4717,4627,10411,1453,3174,68.6,45.31
