idVotation,votation,id,municipality,date,bulletins,valables,inscrit,non,oui,percentage_oui,participation
5780,Financement et aménagement de l'infrastructure ferroviaire,CH,Suisse,2014-02-09,2930777,2865054,5211681,1088176,1776878,62.02,56.23
5790,Initiative «Financer l'avortement est une affaire privée»,CH,Suisse,2014-02-09,2940167,2892609,5211681,2019549,873060,30.18,56.41
5800,Initiative «Contre l'immigration de masse»,CH,Suisse,2014-02-09,2948156,2908406,5211681,1444552,1463854,50.33,56.57
5810,Soins médicaux de base,CH,Suisse,2014-05-18,2915993,2817066,5221880,336196,2480870,88.07,55.84
5820,Initiative «Pour que les pédophiles ne travaillent plus avec des enfants»,CH,Suisse,2014-05-18,2933259,2864526,5221880,1044704,1819822,63.53,56.17
5830,Initiative sur les salaires minimums,CH,Suisse,2014-05-18,2942915,2897763,5221880,2210192,687571,23.73,56.36
5840,Acquisition de l'avion de combat Gripen,CH,Suisse,2014-05-18,2941136,2888487,5221880,1542761,1345726,46.59,56.32
5850,Initiative «Stop à la TVA discriminatoire pour la restauration!»,CH,Suisse,2014-09-28,2460809,2403390,5240134,1718827,684563,28.48,46.96
5860,Initiative «Pour une caisse publique d'assurance-maladie»,CH,Suisse,2014-09-28,2472295,2445048,5240134,1512036,933012,38.16,47.18
5870,Initiative pour l'abolition des forfaits fiscaux,CH,Suisse,2014-11-30,2618768,2581239,5247512,1528114,1053125,40.8,49.9
5880,Initiative «Halte à la surpopulation» (ECOPOP),CH,Suisse,2014-11-30,2622700,2591553,5247512,1920454,671099,25.9,49.98
5890,Initiative sur l'or,CH,Suisse,2014-11-30,2613900,2554665,5247512,1974137,580528,22.72,49.81
